count,lon,lat,area
4402,-84.6,33.6,"POLYGON((-84.6 33.6,-84.6 33.7,-84.5 33.7,-84.5 33.6,-84.6 33.6))"
3427,-84.5,33.6,"POLYGON((-84.5 33.6,-84.5 33.7,-84.4 33.7,-84.4 33.6,-84.5 33.6))"
6998,-84.4,33.6,"POLYGON((-84.4 33.6,-84.4 33.7,-84.3 33.7,-84.3 33.6,-84.4 33.6))"
7553,-84.6,33.7,"POLYGON((-84.6 33.7,-84.6 33.8,-84.5 33.8,-84.5 33.7,-84.6 33.7))"
44250,-84.5,33.7,"POLYGON((-84.5 33.7,-84.5 33.8,-84.4 33.8,-84.4 33.7,-84.5 33.7))"
57270,-84.4,33.7,"POLYGON((-84.4 33.7,-84.4 33.8,-84.3 33.8,-84.3 33.7,-84.4 33.7))"
847,-84.3,33.7,"POLYGON((-84.3 33.7,-84.3 33.8,-84.2 33.8,-84.2 33.7,-84.3 33.7))"
1,-84.6,33.8,"POLYGON((-84.6 33.8,-84.6 33.9,-84.5 33.9,-84.5 33.8,-84.6 33.8))"
15480,-84.5,33.8,"POLYGON((-84.5 33.8,-84.5 33.9,-84.4 33.9,-84.4 33.8,-84.5 33.8))"
28942,-84.4,33.8,"POLYGON((-84.4 33.8,-84.4 33.9,-84.3 33.9,-84.3 33.8,-84.4 33.8))"
