count,lon,lat,area
296,-82.9,31.3,"POLYGON((-82.9 31.3,-82.9 31.4,-82.8 31.4,-82.8 31.3,-82.9 31.3))"
192,-82.8,31.3,"POLYGON((-82.8 31.3,-82.8 31.4,-82.7 31.4,-82.7 31.3,-82.8 31.3))"
127,-82.7,31.3,"POLYGON((-82.7 31.3,-82.7 31.4,-82.6 31.4,-82.6 31.3,-82.7 31.3))"
136,-83.2,31.4,"POLYGON((-83.2 31.4,-83.2 31.5,-83.1 31.5,-83.1 31.4,-83.2 31.4))"
350,-83.1,31.4,"POLYGON((-83.1 31.4,-83.1 31.5,-83.0 31.5,-83.0 31.4,-83.1 31.4))"
1686,-83.0,31.4,"POLYGON((-83.0 31.4,-83.0 31.5,-82.9 31.5,-82.9 31.4,-83.0 31.4))"
3505,-82.9,31.4,"POLYGON((-82.9 31.4,-82.9 31.5,-82.8 31.5,-82.8 31.4,-82.9 31.4))"
1009,-82.8,31.4,"POLYGON((-82.8 31.4,-82.8 31.5,-82.7 31.5,-82.7 31.4,-82.8 31.4))"
399,-82.7,31.4,"POLYGON((-82.7 31.4,-82.7 31.5,-82.6 31.5,-82.6 31.4,-82.7 31.4))"
46,-82.6,31.4,"POLYGON((-82.6 31.4,-82.6 31.5,-82.5 31.5,-82.5 31.4,-82.6 31.4))"
621,-83.1,31.5,"POLYGON((-83.1 31.5,-83.1 31.6,-83.0 31.6,-83.0 31.5,-83.1 31.5))"
1280,-83.0,31.5,"POLYGON((-83.0 31.5,-83.0 31.6,-82.9 31.6,-82.9 31.5,-83.0 31.5))"
5754,-82.9,31.5,"POLYGON((-82.9 31.5,-82.9 31.6,-82.8 31.6,-82.8 31.5,-82.9 31.5))"
1195,-82.8,31.5,"POLYGON((-82.8 31.5,-82.8 31.6,-82.7 31.6,-82.7 31.5,-82.8 31.5))"
1329,-82.7,31.5,"POLYGON((-82.7 31.5,-82.7 31.6,-82.6 31.6,-82.6 31.5,-82.7 31.5))"
50,-82.6,31.5,"POLYGON((-82.6 31.5,-82.6 31.6,-82.5 31.6,-82.5 31.5,-82.6 31.5))"
194,-83.1,31.6,"POLYGON((-83.1 31.6,-83.1 31.7,-83.0 31.7,-83.0 31.6,-83.1 31.6))"
836,-83.0,31.6,"POLYGON((-83.0 31.6,-83.0 31.7,-82.9 31.7,-82.9 31.6,-83.0 31.6))"
973,-82.9,31.6,"POLYGON((-82.9 31.6,-82.9 31.7,-82.8 31.7,-82.8 31.6,-82.9 31.6))"
625,-82.8,31.6,"POLYGON((-82.8 31.6,-82.8 31.7,-82.7 31.7,-82.7 31.6,-82.8 31.6))"
188,-82.7,31.6,"POLYGON((-82.7 31.6,-82.7 31.7,-82.6 31.7,-82.6 31.6,-82.7 31.6))"
451,-83.0,31.7,"POLYGON((-83.0 31.7,-83.0 31.8,-82.9 31.8,-82.9 31.7,-83.0 31.7))"
187,-82.9,31.7,"POLYGON((-82.9 31.7,-82.9 31.8,-82.8 31.8,-82.8 31.7,-82.9 31.7))"
