count,lon,lat,area
18,-84.1,31.0,"POLYGON((-84.1 31.0,-84.1 31.1,-84.0 31.1,-84.0 31.0,-84.1 31.0))"
407,-84.0,31.0,"POLYGON((-84.0 31.0,-84.0 31.1,-83.9 31.1,-83.9 31.0,-84.0 31.0))"
438,-83.9,31.0,"POLYGON((-83.9 31.0,-83.9 31.1,-83.8 31.1,-83.8 31.0,-83.9 31.0))"
759,-83.8,31.0,"POLYGON((-83.8 31.0,-83.8 31.1,-83.7 31.1,-83.7 31.0,-83.8 31.0))"
875,-83.7,31.0,"POLYGON((-83.7 31.0,-83.7 31.1,-83.6 31.1,-83.6 31.0,-83.7 31.0))"
143,-83.6,31.0,"POLYGON((-83.6 31.0,-83.6 31.1,-83.5 31.1,-83.5 31.0,-83.6 31.0))"
46,-84.1,31.1,"POLYGON((-84.1 31.1,-84.1 31.2,-84.0 31.2,-84.0 31.1,-84.1 31.1))"
765,-84.0,31.1,"POLYGON((-84.0 31.1,-84.0 31.2,-83.9 31.2,-83.9 31.1,-84.0 31.1))"
2302,-83.9,31.1,"POLYGON((-83.9 31.1,-83.9 31.2,-83.8 31.2,-83.8 31.1,-83.9 31.1))"
8658,-83.8,31.1,"POLYGON((-83.8 31.1,-83.8 31.2,-83.7 31.2,-83.7 31.1,-83.8 31.1))"
988,-83.7,31.1,"POLYGON((-83.7 31.1,-83.7 31.2,-83.6 31.2,-83.6 31.1,-83.7 31.1))"
514,-83.6,31.1,"POLYGON((-83.6 31.1,-83.6 31.2,-83.5 31.2,-83.5 31.1,-83.6 31.1))"
15,-84.1,31.2,"POLYGON((-84.1 31.2,-84.1 31.3,-84.0 31.3,-84.0 31.2,-84.1 31.2))"
785,-84.0,31.2,"POLYGON((-84.0 31.2,-84.0 31.3,-83.9 31.3,-83.9 31.2,-84.0 31.2))"
1299,-83.9,31.2,"POLYGON((-83.9 31.2,-83.9 31.3,-83.8 31.3,-83.8 31.2,-83.9 31.2))"
2079,-83.8,31.2,"POLYGON((-83.8 31.2,-83.8 31.3,-83.7 31.3,-83.7 31.2,-83.8 31.2))"
1203,-83.7,31.2,"POLYGON((-83.7 31.2,-83.7 31.3,-83.6 31.3,-83.6 31.2,-83.7 31.2))"
682,-83.6,31.2,"POLYGON((-83.6 31.2,-83.6 31.3,-83.5 31.3,-83.5 31.2,-83.6 31.2))"
811,-84.0,31.3,"POLYGON((-84.0 31.3,-84.0 31.4,-83.9 31.4,-83.9 31.3,-84.0 31.3))"
246,-83.9,31.3,"POLYGON((-83.9 31.3,-83.9 31.4,-83.8 31.4,-83.8 31.3,-83.9 31.3))"
154,-83.8,31.3,"POLYGON((-83.8 31.3,-83.8 31.4,-83.7 31.4,-83.7 31.3,-83.8 31.3))"
304,-83.7,31.3,"POLYGON((-83.7 31.3,-83.7 31.4,-83.6 31.4,-83.6 31.3,-83.7 31.3))"
278,-83.6,31.3,"POLYGON((-83.6 31.3,-83.6 31.4,-83.5 31.4,-83.5 31.3,-83.6 31.3))"
