count,lon,lat,area
1,-81.8,31.5,"POLYGON((-81.8 31.5,-81.8 31.6,-81.7 31.6,-81.7 31.5,-81.8 31.5))"
7,-81.7,31.5,"POLYGON((-81.7 31.5,-81.7 31.6,-81.6 31.6,-81.6 31.5,-81.7 31.5))"
2,-81.6,31.5,"POLYGON((-81.6 31.5,-81.6 31.6,-81.5 31.6,-81.5 31.5,-81.6 31.5))"
44,-81.9,31.6,"POLYGON((-81.9 31.6,-81.9 31.7,-81.8 31.7,-81.8 31.6,-81.9 31.6))"
227,-81.8,31.6,"POLYGON((-81.8 31.6,-81.8 31.7,-81.7 31.7,-81.7 31.6,-81.8 31.6))"
253,-81.7,31.6,"POLYGON((-81.7 31.6,-81.7 31.7,-81.6 31.7,-81.6 31.6,-81.7 31.6))"
28,-81.6,31.6,"POLYGON((-81.6 31.6,-81.6 31.7,-81.5 31.7,-81.5 31.6,-81.6 31.6))"
1,-81.5,31.6,"POLYGON((-81.5 31.6,-81.5 31.7,-81.4 31.7,-81.4 31.6,-81.5 31.6))"
28,-82.0,31.7,"POLYGON((-82.0 31.7,-82.0 31.8,-81.9 31.8,-81.9 31.7,-82.0 31.7))"
206,-81.9,31.7,"POLYGON((-81.9 31.7,-81.9 31.8,-81.8 31.8,-81.8 31.7,-81.9 31.7))"
1914,-81.8,31.7,"POLYGON((-81.8 31.7,-81.8 31.8,-81.7 31.8,-81.7 31.7,-81.8 31.7))"
1878,-81.7,31.7,"POLYGON((-81.7 31.7,-81.7 31.8,-81.6 31.8,-81.6 31.7,-81.7 31.7))"
30,-81.6,31.7,"POLYGON((-81.6 31.7,-81.6 31.8,-81.5 31.8,-81.5 31.7,-81.6 31.7))"
255,-82.0,31.8,"POLYGON((-82.0 31.8,-82.0 31.9,-81.9 31.9,-81.9 31.8,-82.0 31.8))"
1078,-81.9,31.8,"POLYGON((-81.9 31.8,-81.9 31.9,-81.8 31.9,-81.8 31.8,-81.9 31.8))"
951,-81.8,31.8,"POLYGON((-81.8 31.8,-81.8 31.9,-81.7 31.9,-81.7 31.8,-81.8 31.8))"
266,-81.7,31.8,"POLYGON((-81.7 31.8,-81.7 31.9,-81.6 31.9,-81.6 31.8,-81.7 31.8))"
168,-81.9,31.9,"POLYGON((-81.9 31.9,-81.9 32.0,-81.8 32.0,-81.8 31.9,-81.9 31.9))"
