count,lon,lat,area
53,-84.1,30.6,"POLYGON((-84.1 30.6,-84.1 30.7,-84.0 30.7,-84.0 30.6,-84.1 30.6))"
110,-84.0,30.6,"POLYGON((-84.0 30.6,-84.0 30.7,-83.9 30.7,-83.9 30.6,-84.0 30.6))"
193,-83.9,30.6,"POLYGON((-83.9 30.6,-83.9 30.7,-83.8 30.7,-83.8 30.6,-83.9 30.6))"
28,-83.8,30.6,"POLYGON((-83.8 30.6,-83.8 30.7,-83.7 30.7,-83.7 30.6,-83.8 30.6))"
279,-84.1,30.7,"POLYGON((-84.1 30.7,-84.1 30.8,-84.0 30.8,-84.0 30.7,-84.1 30.7))"
526,-84.0,30.7,"POLYGON((-84.0 30.7,-84.0 30.8,-83.9 30.8,-83.9 30.7,-84.0 30.7))"
347,-83.9,30.7,"POLYGON((-83.9 30.7,-83.9 30.8,-83.8 30.8,-83.8 30.7,-83.9 30.7))"
1026,-83.8,30.7,"POLYGON((-83.8 30.7,-83.8 30.8,-83.7 30.8,-83.7 30.7,-83.8 30.7))"
831,-84.1,30.8,"POLYGON((-84.1 30.8,-84.1 30.9,-84.0 30.9,-84.0 30.8,-84.1 30.8))"
13800,-84.0,30.8,"POLYGON((-84.0 30.8,-84.0 30.9,-83.9 30.9,-83.9 30.8,-84.0 30.8))"
716,-83.9,30.8,"POLYGON((-83.9 30.8,-83.9 30.9,-83.8 30.9,-83.8 30.8,-83.9 30.8))"
708,-83.8,30.8,"POLYGON((-83.8 30.8,-83.8 30.9,-83.7 30.9,-83.7 30.8,-83.8 30.8))"
51,-84.2,30.9,"POLYGON((-84.2 30.9,-84.2 31.0,-84.1 31.0,-84.1 30.9,-84.2 30.9))"
1114,-84.1,30.9,"POLYGON((-84.1 30.9,-84.1 31.0,-84.0 31.0,-84.0 30.9,-84.1 30.9))"
1799,-84.0,30.9,"POLYGON((-84.0 30.9,-84.0 31.0,-83.9 31.0,-83.9 30.9,-84.0 30.9))"
904,-83.9,30.9,"POLYGON((-83.9 30.9,-83.9 31.0,-83.8 31.0,-83.8 30.9,-83.9 30.9))"
857,-83.8,30.9,"POLYGON((-83.8 30.9,-83.8 31.0,-83.7 31.0,-83.7 30.9,-83.8 30.9))"
80,-84.2,31.0,"POLYGON((-84.2 31.0,-84.2 31.1,-84.1 31.1,-84.1 31.0,-84.2 31.0))"
955,-84.1,31.0,"POLYGON((-84.1 31.0,-84.1 31.1,-84.0 31.1,-84.0 31.0,-84.1 31.0))"
181,-84.0,31.0,"POLYGON((-84.0 31.0,-84.0 31.1,-83.9 31.1,-83.9 31.0,-84.0 31.0))"
676,-83.9,31.0,"POLYGON((-83.9 31.0,-83.9 31.1,-83.8 31.1,-83.8 31.0,-83.9 31.0))"
193,-83.8,31.0,"POLYGON((-83.8 31.0,-83.8 31.1,-83.7 31.1,-83.7 31.0,-83.8 31.0))"
