count,lon,lat,area
365,-83.7,31.3,"POLYGON((-83.7 31.3,-83.7 31.4,-83.6 31.4,-83.6 31.3,-83.7 31.3))"
1275,-83.6,31.3,"POLYGON((-83.6 31.3,-83.6 31.4,-83.5 31.4,-83.5 31.3,-83.6 31.3))"
568,-83.5,31.3,"POLYGON((-83.5 31.3,-83.5 31.4,-83.4 31.4,-83.4 31.3,-83.5 31.3))"
36,-83.4,31.3,"POLYGON((-83.4 31.3,-83.4 31.4,-83.3 31.4,-83.3 31.3,-83.4 31.3))"
1092,-83.7,31.4,"POLYGON((-83.7 31.4,-83.7 31.5,-83.6 31.5,-83.6 31.4,-83.7 31.4))"
8216,-83.6,31.4,"POLYGON((-83.6 31.4,-83.6 31.5,-83.5 31.5,-83.5 31.4,-83.6 31.4))"
4695,-83.5,31.4,"POLYGON((-83.5 31.4,-83.5 31.5,-83.4 31.5,-83.4 31.4,-83.5 31.4))"
640,-83.4,31.4,"POLYGON((-83.4 31.4,-83.4 31.5,-83.3 31.5,-83.3 31.4,-83.4 31.4))"
294,-83.7,31.5,"POLYGON((-83.7 31.5,-83.7 31.6,-83.6 31.6,-83.6 31.5,-83.7 31.5))"
1179,-83.6,31.5,"POLYGON((-83.6 31.5,-83.6 31.6,-83.5 31.6,-83.5 31.5,-83.6 31.5))"
1076,-83.5,31.5,"POLYGON((-83.5 31.5,-83.5 31.6,-83.4 31.6,-83.4 31.5,-83.5 31.5))"
81,-83.4,31.5,"POLYGON((-83.4 31.5,-83.4 31.6,-83.3 31.6,-83.3 31.5,-83.4 31.5))"
