count,lon,lat,area
1826,-85.2,32.8,"POLYGON((-85.2 32.8,-85.2 32.9,-85.1 32.9,-85.1 32.8,-85.2 32.8))"
270,-85.1,32.8,"POLYGON((-85.1 32.8,-85.1 32.9,-85.0 32.9,-85.0 32.8,-85.1 32.8))"
348,-85.0,32.8,"POLYGON((-85.0 32.8,-85.0 32.9,-84.9 32.9,-84.9 32.8,-85.0 32.8))"
208,-84.9,32.8,"POLYGON((-84.9 32.8,-84.9 32.9,-84.8 32.9,-84.8 32.8,-84.9 32.8))"
5,-85.3,32.9,"POLYGON((-85.3 32.9,-85.3 33.0,-85.2 33.0,-85.2 32.9,-85.3 32.9))"
1378,-85.2,32.9,"POLYGON((-85.2 32.9,-85.2 33.0,-85.1 33.0,-85.1 32.9,-85.2 32.9))"
1682,-85.1,32.9,"POLYGON((-85.1 32.9,-85.1 33.0,-85.0 33.0,-85.0 32.9,-85.1 32.9))"
1644,-85.0,32.9,"POLYGON((-85.0 32.9,-85.0 33.0,-84.9 33.0,-84.9 32.9,-85.0 32.9))"
439,-84.9,32.9,"POLYGON((-84.9 32.9,-84.9 33.0,-84.8 33.0,-84.8 32.9,-84.9 32.9))"
353,-85.3,33.0,"POLYGON((-85.3 33.0,-85.3 33.1,-85.2 33.1,-85.2 33.0,-85.3 33.0))"
3260,-85.2,33.0,"POLYGON((-85.2 33.0,-85.2 33.1,-85.1 33.1,-85.1 33.0,-85.2 33.0))"
13602,-85.1,33.0,"POLYGON((-85.1 33.0,-85.1 33.1,-85.0 33.1,-85.0 33.0,-85.1 33.0))"
3090,-85.0,33.0,"POLYGON((-85.0 33.0,-85.0 33.1,-84.9 33.1,-84.9 33.0,-85.0 33.0))"
495,-84.9,33.0,"POLYGON((-84.9 33.0,-84.9 33.1,-84.8 33.1,-84.8 33.0,-84.9 33.0))"
188,-85.3,33.1,"POLYGON((-85.3 33.1,-85.3 33.2,-85.2 33.2,-85.2 33.1,-85.3 33.1))"
575,-85.2,33.1,"POLYGON((-85.2 33.1,-85.2 33.2,-85.1 33.2,-85.1 33.1,-85.2 33.1))"
2106,-85.1,33.1,"POLYGON((-85.1 33.1,-85.1 33.2,-85.0 33.2,-85.0 33.1,-85.1 33.1))"
3044,-85.0,33.1,"POLYGON((-85.0 33.1,-85.0 33.2,-84.9 33.2,-84.9 33.1,-85.0 33.1))"
555,-84.9,33.1,"POLYGON((-84.9 33.1,-84.9 33.2,-84.8 33.2,-84.8 33.1,-84.9 33.1))"
281,-85.0,33.2,"POLYGON((-85.0 33.2,-85.0 33.3,-84.9 33.3,-84.9 33.2,-85.0 33.2))"
151,-84.9,33.2,"POLYGON((-84.9 33.2,-84.9 33.3,-84.8 33.3,-84.8 33.2,-84.9 33.2))"
