count,lon,lat,area
181,-91.9,41.8,"POLYGON((-91.9 41.8,-91.9 41.9,-91.8 41.9,-91.8 41.8,-91.9 41.8))"
103,-91.8,41.8,"POLYGON((-91.8 41.8,-91.8 41.9,-91.7 41.9,-91.7 41.8,-91.8 41.8))"
564,-91.7,41.8,"POLYGON((-91.7 41.8,-91.7 41.9,-91.6 41.9,-91.6 41.8,-91.7 41.8))"
1063,-91.6,41.8,"POLYGON((-91.6 41.8,-91.6 41.9,-91.5 41.9,-91.5 41.8,-91.6 41.8))"
179,-91.5,41.8,"POLYGON((-91.5 41.8,-91.5 41.9,-91.4 41.9,-91.4 41.8,-91.5 41.8))"
39,-91.4,41.8,"POLYGON((-91.4 41.8,-91.4 41.9,-91.3 41.9,-91.3 41.8,-91.4 41.8))"
61,-91.9,41.9,"POLYGON((-91.9 41.9,-91.9 42.0,-91.8 42.0,-91.8 41.9,-91.9 41.9))"
16685,-91.8,41.9,"POLYGON((-91.8 41.9,-91.8 42.0,-91.7 42.0,-91.7 41.9,-91.8 41.9))"
25384,-91.7,41.9,"POLYGON((-91.7 41.9,-91.7 42.0,-91.6 42.0,-91.6 41.9,-91.7 41.9))"
1493,-91.6,41.9,"POLYGON((-91.6 41.9,-91.6 42.0,-91.5 42.0,-91.5 41.9,-91.6 41.9))"
2058,-91.5,41.9,"POLYGON((-91.5 41.9,-91.5 42.0,-91.4 42.0,-91.4 41.9,-91.5 41.9))"
880,-91.4,41.9,"POLYGON((-91.4 41.9,-91.4 42.0,-91.3 42.0,-91.3 41.9,-91.4 41.9))"
378,-91.9,42.0,"POLYGON((-91.9 42.0,-91.9 42.1,-91.8 42.1,-91.8 42.0,-91.9 42.0))"
4704,-91.8,42.0,"POLYGON((-91.8 42.0,-91.8 42.1,-91.7 42.1,-91.7 42.0,-91.8 42.0))"
26541,-91.7,42.0,"POLYGON((-91.7 42.0,-91.7 42.1,-91.6 42.1,-91.6 42.0,-91.7 42.0))"
12637,-91.6,42.0,"POLYGON((-91.6 42.0,-91.6 42.1,-91.5 42.1,-91.5 42.0,-91.6 42.0))"
1043,-91.5,42.0,"POLYGON((-91.5 42.0,-91.5 42.1,-91.4 42.1,-91.4 42.0,-91.5 42.0))"
128,-91.4,42.0,"POLYGON((-91.4 42.0,-91.4 42.1,-91.3 42.1,-91.3 42.0,-91.4 42.0))"
107,-91.9,42.1,"POLYGON((-91.9 42.1,-91.9 42.2,-91.8 42.2,-91.8 42.1,-91.9 42.1))"
1688,-91.8,42.1,"POLYGON((-91.8 42.1,-91.8 42.2,-91.7 42.2,-91.7 42.1,-91.8 42.1))"
714,-91.7,42.1,"POLYGON((-91.7 42.1,-91.7 42.2,-91.6 42.2,-91.6 42.1,-91.7 42.1))"
346,-91.6,42.1,"POLYGON((-91.6 42.1,-91.6 42.2,-91.5 42.2,-91.5 42.1,-91.6 42.1))"
313,-91.5,42.1,"POLYGON((-91.5 42.1,-91.5 42.2,-91.4 42.2,-91.4 42.1,-91.5 42.1))"
107,-91.4,42.1,"POLYGON((-91.4 42.1,-91.4 42.2,-91.3 42.2,-91.3 42.1,-91.4 42.1))"
84,-91.9,42.2,"POLYGON((-91.9 42.2,-91.9 42.3,-91.8 42.3,-91.8 42.2,-91.9 42.2))"
594,-91.8,42.2,"POLYGON((-91.8 42.2,-91.8 42.3,-91.7 42.3,-91.7 42.2,-91.8 42.2))"
527,-91.7,42.2,"POLYGON((-91.7 42.2,-91.7 42.3,-91.6 42.3,-91.6 42.2,-91.7 42.2))"
1309,-91.6,42.2,"POLYGON((-91.6 42.2,-91.6 42.3,-91.5 42.3,-91.5 42.2,-91.6 42.2))"
298,-91.5,42.2,"POLYGON((-91.5 42.2,-91.5 42.3,-91.4 42.3,-91.4 42.2,-91.5 42.2))"
54,-91.4,42.2,"POLYGON((-91.4 42.2,-91.4 42.3,-91.3 42.3,-91.3 42.2,-91.4 42.2))"
