count,lon,lat,area
1,-116.2,43.1,"POLYGON((-116.2 43.1,-116.2 43.2,-116.1 43.2,-116.1 43.1,-116.2 43.1))"
6,-116.1,43.1,"POLYGON((-116.1 43.1,-116.1 43.2,-116.0 43.2,-116.0 43.1,-116.1 43.1))"
1,-116.5,43.2,"POLYGON((-116.5 43.2,-116.5 43.3,-116.4 43.3,-116.4 43.2,-116.5 43.2))"
1,-116.3,43.2,"POLYGON((-116.3 43.2,-116.3 43.3,-116.2 43.3,-116.2 43.2,-116.3 43.2))"
5,-116.2,43.2,"POLYGON((-116.2 43.2,-116.2 43.3,-116.1 43.3,-116.1 43.2,-116.2 43.2))"
48,-116.1,43.2,"POLYGON((-116.1 43.2,-116.1 43.3,-116.0 43.3,-116.0 43.2,-116.1 43.2))"
5,-116.0,43.2,"POLYGON((-116.0 43.2,-116.0 43.3,-115.9 43.3,-115.9 43.2,-116.0 43.2))"
37,-116.6,43.3,"POLYGON((-116.6 43.3,-116.6 43.4,-116.5 43.4,-116.5 43.3,-116.6 43.3))"
16,-116.5,43.3,"POLYGON((-116.5 43.3,-116.5 43.4,-116.4 43.4,-116.4 43.3,-116.5 43.3))"
3,-116.4,43.3,"POLYGON((-116.4 43.3,-116.4 43.4,-116.3 43.4,-116.3 43.3,-116.4 43.3))"
5,-116.3,43.3,"POLYGON((-116.3 43.3,-116.3 43.4,-116.2 43.4,-116.2 43.3,-116.3 43.3))"
24,-116.1,43.3,"POLYGON((-116.1 43.3,-116.1 43.4,-116.0 43.4,-116.0 43.3,-116.1 43.3))"
8,-116.0,43.3,"POLYGON((-116.0 43.3,-116.0 43.4,-115.9 43.4,-115.9 43.3,-116.0 43.3))"
19,-116.6,43.4,"POLYGON((-116.6 43.4,-116.6 43.5,-116.5 43.5,-116.5 43.4,-116.6 43.4))"
4113,-116.5,43.4,"POLYGON((-116.5 43.4,-116.5 43.5,-116.4 43.5,-116.4 43.4,-116.5 43.4))"
951,-116.4,43.4,"POLYGON((-116.4 43.4,-116.4 43.5,-116.3 43.5,-116.3 43.4,-116.4 43.4))"
103,-116.3,43.4,"POLYGON((-116.3 43.4,-116.3 43.5,-116.2 43.5,-116.2 43.4,-116.3 43.4))"
12,-116.2,43.4,"POLYGON((-116.2 43.4,-116.2 43.5,-116.1 43.5,-116.1 43.4,-116.2 43.4))"
15,-116.1,43.4,"POLYGON((-116.1 43.4,-116.1 43.5,-116.0 43.5,-116.0 43.4,-116.1 43.4))"
7,-116.0,43.4,"POLYGON((-116.0 43.4,-116.0 43.5,-115.9 43.5,-115.9 43.4,-116.0 43.4))"
8123,-116.5,43.5,"POLYGON((-116.5 43.5,-116.5 43.6,-116.4 43.6,-116.4 43.5,-116.5 43.5))"
26025,-116.4,43.5,"POLYGON((-116.4 43.5,-116.4 43.6,-116.3 43.6,-116.3 43.5,-116.4 43.5))"
23877,-116.3,43.5,"POLYGON((-116.3 43.5,-116.3 43.6,-116.2 43.6,-116.2 43.5,-116.3 43.5))"
21762,-116.2,43.5,"POLYGON((-116.2 43.5,-116.2 43.6,-116.1 43.6,-116.1 43.5,-116.2 43.5))"
522,-116.1,43.5,"POLYGON((-116.1 43.5,-116.1 43.6,-116.0 43.6,-116.0 43.5,-116.1 43.5))"
1,-116.0,43.5,"POLYGON((-116.0 43.5,-116.0 43.6,-115.9 43.6,-115.9 43.5,-116.0 43.5))"
757,-116.6,43.6,"POLYGON((-116.6 43.6,-116.6 43.7,-116.5 43.7,-116.5 43.6,-116.6 43.6))"
24669,-116.5,43.6,"POLYGON((-116.5 43.6,-116.5 43.7,-116.4 43.7,-116.4 43.6,-116.5 43.6))"
46121,-116.4,43.6,"POLYGON((-116.4 43.6,-116.4 43.7,-116.3 43.7,-116.3 43.6,-116.4 43.6))"
50805,-116.3,43.6,"POLYGON((-116.3 43.6,-116.3 43.7,-116.2 43.7,-116.2 43.6,-116.3 43.6))"
8080,-116.2,43.6,"POLYGON((-116.2 43.6,-116.2 43.7,-116.1 43.7,-116.1 43.6,-116.2 43.6))"
1,-116.1,43.6,"POLYGON((-116.1 43.6,-116.1 43.7,-116.0 43.7,-116.0 43.6,-116.1 43.6))"
779,-116.6,43.7,"POLYGON((-116.6 43.7,-116.6 43.8,-116.5 43.8,-116.5 43.7,-116.6 43.7))"
4402,-116.5,43.7,"POLYGON((-116.5 43.7,-116.5 43.8,-116.4 43.8,-116.4 43.7,-116.5 43.7))"
4809,-116.4,43.7,"POLYGON((-116.4 43.7,-116.4 43.8,-116.3 43.8,-116.3 43.7,-116.4 43.7))"
2556,-116.3,43.7,"POLYGON((-116.3 43.7,-116.3 43.8,-116.2 43.8,-116.2 43.7,-116.3 43.7))"
32,-116.2,43.7,"POLYGON((-116.2 43.7,-116.2 43.8,-116.1 43.8,-116.1 43.7,-116.2 43.7))"
5,-116.1,43.7,"POLYGON((-116.1 43.7,-116.1 43.8,-116.0 43.8,-116.0 43.7,-116.1 43.7))"
1,-116.5,43.8,"POLYGON((-116.5 43.8,-116.5 43.9,-116.4 43.9,-116.4 43.8,-116.5 43.8))"
