count,lon,lat,area
55,-89.8,40.3,"POLYGON((-89.8 40.3,-89.8 40.4,-89.7 40.4,-89.7 40.3,-89.8 40.3))"
356,-89.7,40.3,"POLYGON((-89.7 40.3,-89.7 40.4,-89.6 40.4,-89.6 40.3,-89.7 40.3))"
1287,-89.6,40.3,"POLYGON((-89.6 40.3,-89.6 40.4,-89.5 40.4,-89.5 40.3,-89.6 40.3))"
395,-89.5,40.3,"POLYGON((-89.5 40.3,-89.5 40.4,-89.4 40.4,-89.4 40.3,-89.5 40.3))"
652,-89.4,40.3,"POLYGON((-89.4 40.3,-89.4 40.4,-89.3 40.4,-89.3 40.3,-89.4 40.3))"
120,-89.3,40.3,"POLYGON((-89.3 40.3,-89.3 40.4,-89.2 40.4,-89.2 40.3,-89.3 40.3))"
14,-90.0,40.4,"POLYGON((-90.0 40.4,-90.0 40.5,-89.9 40.5,-89.9 40.4,-90.0 40.4))"
761,-89.9,40.4,"POLYGON((-89.9 40.4,-89.9 40.5,-89.8 40.5,-89.8 40.4,-89.9 40.4))"
451,-89.8,40.4,"POLYGON((-89.8 40.4,-89.8 40.5,-89.7 40.5,-89.7 40.4,-89.8 40.4))"
1797,-89.7,40.4,"POLYGON((-89.7 40.4,-89.7 40.5,-89.6 40.5,-89.6 40.4,-89.7 40.4))"
842,-89.6,40.4,"POLYGON((-89.6 40.4,-89.6 40.5,-89.5 40.5,-89.5 40.4,-89.6 40.4))"
1392,-89.5,40.4,"POLYGON((-89.5 40.4,-89.5 40.5,-89.4 40.5,-89.4 40.4,-89.5 40.4))"
1134,-89.4,40.4,"POLYGON((-89.4 40.4,-89.4 40.5,-89.3 40.5,-89.3 40.4,-89.4 40.4))"
113,-89.3,40.4,"POLYGON((-89.3 40.4,-89.3 40.5,-89.2 40.5,-89.2 40.4,-89.3 40.4))"
211,-89.9,40.5,"POLYGON((-89.9 40.5,-89.9 40.6,-89.8 40.6,-89.8 40.5,-89.9 40.5))"
583,-89.8,40.5,"POLYGON((-89.8 40.5,-89.8 40.6,-89.7 40.6,-89.7 40.5,-89.8 40.5))"
15203,-89.7,40.5,"POLYGON((-89.7 40.5,-89.7 40.6,-89.6 40.6,-89.6 40.5,-89.7 40.5))"
2502,-89.6,40.5,"POLYGON((-89.6 40.5,-89.6 40.6,-89.5 40.6,-89.5 40.5,-89.6 40.5))"
3150,-89.5,40.5,"POLYGON((-89.5 40.5,-89.5 40.6,-89.4 40.6,-89.4 40.5,-89.5 40.5))"
2794,-89.4,40.5,"POLYGON((-89.4 40.5,-89.4 40.6,-89.3 40.6,-89.3 40.5,-89.4 40.5))"
234,-89.3,40.5,"POLYGON((-89.3 40.5,-89.3 40.6,-89.2 40.6,-89.2 40.5,-89.3 40.5))"
2690,-89.7,40.6,"POLYGON((-89.7 40.6,-89.7 40.7,-89.6 40.7,-89.6 40.6,-89.7 40.6))"
12976,-89.6,40.6,"POLYGON((-89.6 40.6,-89.6 40.7,-89.5 40.7,-89.5 40.6,-89.6 40.6))"
10284,-89.5,40.6,"POLYGON((-89.5 40.6,-89.5 40.7,-89.4 40.7,-89.4 40.6,-89.5 40.6))"
761,-89.4,40.6,"POLYGON((-89.4 40.6,-89.4 40.7,-89.3 40.7,-89.3 40.6,-89.4 40.6))"
127,-89.3,40.6,"POLYGON((-89.3 40.6,-89.3 40.7,-89.2 40.7,-89.2 40.6,-89.3 40.6))"
843,-89.6,40.7,"POLYGON((-89.6 40.7,-89.6 40.8,-89.5 40.8,-89.5 40.7,-89.6 40.7))"
5537,-89.5,40.7,"POLYGON((-89.5 40.7,-89.5 40.8,-89.4 40.8,-89.4 40.7,-89.5 40.7))"
860,-89.4,40.7,"POLYGON((-89.4 40.7,-89.4 40.8,-89.3 40.8,-89.3 40.7,-89.4 40.7))"
