count,lon,lat,area
89,-90.2,41.5,"POLYGON((-90.2 41.5,-90.2 41.6,-90.1 41.6,-90.1 41.5,-90.2 41.5))"
86,-90.1,41.5,"POLYGON((-90.1 41.5,-90.1 41.6,-90.0 41.6,-90.0 41.5,-90.1 41.5))"
111,-90.0,41.5,"POLYGON((-90.0 41.5,-90.0 41.6,-89.9 41.6,-89.9 41.5,-90.0 41.5))"
81,-89.9,41.5,"POLYGON((-89.9 41.5,-89.9 41.6,-89.8 41.6,-89.8 41.5,-89.9 41.5))"
38,-89.8,41.5,"POLYGON((-89.8 41.5,-89.8 41.6,-89.7 41.6,-89.7 41.5,-89.8 41.5))"
42,-89.7,41.5,"POLYGON((-89.7 41.5,-89.7 41.6,-89.6 41.6,-89.6 41.5,-89.7 41.5))"
51,-90.3,41.6,"POLYGON((-90.3 41.6,-90.3 41.7,-90.2 41.7,-90.2 41.6,-90.3 41.6))"
466,-90.2,41.6,"POLYGON((-90.2 41.6,-90.2 41.7,-90.1 41.7,-90.1 41.6,-90.2 41.6))"
1723,-90.1,41.6,"POLYGON((-90.1 41.6,-90.1 41.7,-90.0 41.7,-90.0 41.6,-90.1 41.6))"
1809,-90.0,41.6,"POLYGON((-90.0 41.6,-90.0 41.7,-89.9 41.7,-89.9 41.6,-90.0 41.6))"
472,-89.9,41.6,"POLYGON((-89.9 41.6,-89.9 41.7,-89.8 41.7,-89.8 41.6,-89.9 41.6))"
919,-89.8,41.6,"POLYGON((-89.8 41.6,-89.8 41.7,-89.7 41.7,-89.7 41.6,-89.8 41.6))"
410,-89.7,41.6,"POLYGON((-89.7 41.6,-89.7 41.7,-89.6 41.7,-89.6 41.6,-89.7 41.6))"
850,-90.3,41.7,"POLYGON((-90.3 41.7,-90.3 41.8,-90.2 41.8,-90.2 41.7,-90.3 41.7))"
772,-90.2,41.7,"POLYGON((-90.2 41.7,-90.2 41.8,-90.1 41.8,-90.1 41.7,-90.2 41.7))"
765,-90.1,41.7,"POLYGON((-90.1 41.7,-90.1 41.8,-90.0 41.8,-90.0 41.7,-90.1 41.7))"
1179,-90.0,41.7,"POLYGON((-90.0 41.7,-90.0 41.8,-89.9 41.8,-89.9 41.7,-90.0 41.7))"
814,-89.9,41.7,"POLYGON((-89.9 41.7,-89.9 41.8,-89.8 41.8,-89.8 41.7,-89.9 41.7))"
5079,-89.8,41.7,"POLYGON((-89.8 41.7,-89.8 41.8,-89.7 41.8,-89.7 41.7,-89.8 41.7))"
7142,-89.7,41.7,"POLYGON((-89.7 41.7,-89.7 41.8,-89.6 41.8,-89.6 41.7,-89.7 41.7))"
3274,-90.2,41.8,"POLYGON((-90.2 41.8,-90.2 41.9,-90.1 41.9,-90.1 41.8,-90.2 41.8))"
778,-90.1,41.8,"POLYGON((-90.1 41.8,-90.1 41.9,-90.0 41.9,-90.0 41.8,-90.1 41.8))"
3201,-90.0,41.8,"POLYGON((-90.0 41.8,-90.0 41.9,-89.9 41.9,-89.9 41.8,-90.0 41.8))"
778,-89.9,41.8,"POLYGON((-89.9 41.8,-89.9 41.9,-89.8 41.9,-89.8 41.8,-89.9 41.8))"
1922,-89.8,41.8,"POLYGON((-89.8 41.8,-89.8 41.9,-89.7 41.9,-89.7 41.8,-89.8 41.8))"
3092,-89.7,41.8,"POLYGON((-89.7 41.8,-89.7 41.9,-89.6 41.9,-89.6 41.8,-89.7 41.8))"
131,-90.2,41.9,"POLYGON((-90.2 41.9,-90.2 42.0,-90.1 42.0,-90.1 41.9,-90.2 41.9))"
226,-90.1,41.9,"POLYGON((-90.1 41.9,-90.1 42.0,-90.0 42.0,-90.0 41.9,-90.1 41.9))"
189,-90.0,41.9,"POLYGON((-90.0 41.9,-90.0 42.0,-89.9 42.0,-89.9 41.9,-90.0 41.9))"
341,-89.9,41.9,"POLYGON((-89.9 41.9,-89.9 42.0,-89.8 42.0,-89.8 41.9,-89.9 41.9))"
210,-89.8,41.9,"POLYGON((-89.8 41.9,-89.8 42.0,-89.7 42.0,-89.7 41.9,-89.8 41.9))"
126,-89.7,41.9,"POLYGON((-89.7 41.9,-89.7 42.0,-89.6 42.0,-89.6 41.9,-89.7 41.9))"
