count,lon,lat,area
22,-85.3,39.7,"POLYGON((-85.3 39.7,-85.3 39.8,-85.2 39.8,-85.2 39.7,-85.3 39.7))"
625,-85.2,39.7,"POLYGON((-85.2 39.7,-85.2 39.8,-85.1 39.8,-85.1 39.7,-85.2 39.7))"
373,-85.1,39.7,"POLYGON((-85.1 39.7,-85.1 39.8,-85.0 39.8,-85.0 39.7,-85.1 39.7))"
627,-85.0,39.7,"POLYGON((-85.0 39.7,-85.0 39.8,-84.9 39.8,-84.9 39.7,-85.0 39.7))"
691,-84.9,39.7,"POLYGON((-84.9 39.7,-84.9 39.8,-84.8 39.8,-84.8 39.7,-84.9 39.7))"
492,-85.3,39.8,"POLYGON((-85.3 39.8,-85.3 39.9,-85.2 39.9,-85.2 39.8,-85.3 39.8))"
2087,-85.2,39.8,"POLYGON((-85.2 39.8,-85.2 39.9,-85.1 39.9,-85.1 39.8,-85.2 39.8))"
1105,-85.1,39.8,"POLYGON((-85.1 39.8,-85.1 39.9,-85.0 39.9,-85.0 39.8,-85.1 39.8))"
9065,-85.0,39.8,"POLYGON((-85.0 39.8,-85.0 39.9,-84.9 39.9,-84.9 39.8,-85.0 39.8))"
13325,-84.9,39.8,"POLYGON((-84.9 39.8,-84.9 39.9,-84.8 39.9,-84.8 39.8,-84.9 39.8))"
18,-85.3,39.9,"POLYGON((-85.3 39.9,-85.3 40.0,-85.2 40.0,-85.2 39.9,-85.3 39.9))"
1831,-85.2,39.9,"POLYGON((-85.2 39.9,-85.2 40.0,-85.1 40.0,-85.1 39.9,-85.2 39.9))"
618,-85.1,39.9,"POLYGON((-85.1 39.9,-85.1 40.0,-85.0 40.0,-85.0 39.9,-85.1 39.9))"
1433,-85.0,39.9,"POLYGON((-85.0 39.9,-85.0 40.0,-84.9 40.0,-84.9 39.9,-85.0 39.9))"
652,-84.9,39.9,"POLYGON((-84.9 39.9,-84.9 40.0,-84.8 40.0,-84.8 39.9,-84.9 39.9))"
5,-85.3,40.0,"POLYGON((-85.3 40.0,-85.3 40.1,-85.2 40.1,-85.2 40.0,-85.3 40.0))"
43,-85.2,40.0,"POLYGON((-85.2 40.0,-85.2 40.1,-85.1 40.1,-85.1 40.0,-85.2 40.0))"
52,-85.1,40.0,"POLYGON((-85.1 40.0,-85.1 40.1,-85.0 40.1,-85.0 40.0,-85.1 40.0))"
83,-85.0,40.0,"POLYGON((-85.0 40.0,-85.0 40.1,-84.9 40.1,-84.9 40.0,-85.0 40.0))"
63,-84.9,40.0,"POLYGON((-84.9 40.0,-84.9 40.1,-84.8 40.1,-84.8 40.0,-84.9 40.0))"
