count,lon,lat,area
21,-98.0,38.6,"POLYGON((-98.0 38.6,-98.0 38.7,-97.9 38.7,-97.9 38.6,-98.0 38.6))"
61,-97.9,38.6,"POLYGON((-97.9 38.6,-97.9 38.7,-97.8 38.7,-97.8 38.6,-97.9 38.6))"
278,-97.8,38.6,"POLYGON((-97.8 38.6,-97.8 38.7,-97.7 38.7,-97.7 38.6,-97.8 38.6))"
554,-97.7,38.6,"POLYGON((-97.7 38.6,-97.7 38.7,-97.6 38.7,-97.6 38.6,-97.7 38.6))"
260,-97.6,38.6,"POLYGON((-97.6 38.6,-97.6 38.7,-97.5 38.7,-97.5 38.6,-97.6 38.6))"
193,-97.5,38.6,"POLYGON((-97.5 38.6,-97.5 38.7,-97.4 38.7,-97.4 38.6,-97.5 38.6))"
51,-97.4,38.6,"POLYGON((-97.4 38.6,-97.4 38.7,-97.3 38.7,-97.3 38.6,-97.4 38.6))"
20,-98.0,38.7,"POLYGON((-98.0 38.7,-98.0 38.8,-97.9 38.8,-97.9 38.7,-98.0 38.7))"
249,-97.9,38.7,"POLYGON((-97.9 38.7,-97.9 38.8,-97.8 38.8,-97.8 38.7,-97.9 38.7))"
272,-97.8,38.7,"POLYGON((-97.8 38.7,-97.8 38.8,-97.7 38.8,-97.7 38.7,-97.8 38.7))"
2574,-97.7,38.7,"POLYGON((-97.7 38.7,-97.7 38.8,-97.6 38.8,-97.6 38.7,-97.7 38.7))"
1440,-97.6,38.7,"POLYGON((-97.6 38.7,-97.6 38.8,-97.5 38.8,-97.5 38.7,-97.6 38.7))"
621,-97.5,38.7,"POLYGON((-97.5 38.7,-97.5 38.8,-97.4 38.8,-97.4 38.7,-97.5 38.7))"
56,-97.4,38.7,"POLYGON((-97.4 38.7,-97.4 38.8,-97.3 38.8,-97.3 38.7,-97.4 38.7))"
41,-98.0,38.8,"POLYGON((-98.0 38.8,-98.0 38.9,-97.9 38.9,-97.9 38.8,-98.0 38.8))"
201,-97.9,38.8,"POLYGON((-97.9 38.8,-97.9 38.9,-97.8 38.9,-97.8 38.8,-97.9 38.8))"
510,-97.8,38.8,"POLYGON((-97.8 38.8,-97.8 38.9,-97.7 38.9,-97.7 38.8,-97.8 38.8))"
10639,-97.7,38.8,"POLYGON((-97.7 38.8,-97.7 38.9,-97.6 38.9,-97.6 38.8,-97.7 38.8))"
6673,-97.6,38.8,"POLYGON((-97.6 38.8,-97.6 38.9,-97.5 38.9,-97.5 38.8,-97.6 38.8))"
347,-97.5,38.8,"POLYGON((-97.5 38.8,-97.5 38.9,-97.4 38.9,-97.4 38.8,-97.5 38.8))"
63,-97.4,38.8,"POLYGON((-97.4 38.8,-97.4 38.9,-97.3 38.9,-97.3 38.8,-97.4 38.8))"
20,-98.0,38.9,"POLYGON((-98.0 38.9,-98.0 39.0,-97.9 39.0,-97.9 38.9,-98.0 38.9))"
84,-97.9,38.9,"POLYGON((-97.9 38.9,-97.9 39.0,-97.8 39.0,-97.8 38.9,-97.9 38.9))"
148,-97.8,38.9,"POLYGON((-97.8 38.9,-97.8 39.0,-97.7 39.0,-97.7 38.9,-97.8 38.9))"
358,-97.7,38.9,"POLYGON((-97.7 38.9,-97.7 39.0,-97.6 39.0,-97.6 38.9,-97.7 38.9))"
215,-97.6,38.9,"POLYGON((-97.6 38.9,-97.6 39.0,-97.5 39.0,-97.5 38.9,-97.6 38.9))"
186,-97.5,38.9,"POLYGON((-97.5 38.9,-97.5 39.0,-97.4 39.0,-97.4 38.9,-97.5 38.9))"
49,-97.4,38.9,"POLYGON((-97.4 38.9,-97.4 39.0,-97.3 39.0,-97.3 38.9,-97.4 38.9))"
