count,lon,lat,area
7,-96.3,39.5,"POLYGON((-96.3 39.5,-96.3 39.6,-96.2 39.6,-96.2 39.5,-96.3 39.5))"
23,-96.2,39.5,"POLYGON((-96.2 39.5,-96.2 39.6,-96.1 39.6,-96.1 39.5,-96.2 39.5))"
17,-96.1,39.5,"POLYGON((-96.1 39.5,-96.1 39.6,-96.0 39.6,-96.0 39.5,-96.1 39.5))"
20,-96.0,39.5,"POLYGON((-96.0 39.5,-96.0 39.6,-95.9 39.6,-95.9 39.5,-96.0 39.5))"
10,-95.9,39.5,"POLYGON((-95.9 39.5,-95.9 39.6,-95.8 39.6,-95.8 39.5,-95.9 39.5))"
9,-96.3,39.6,"POLYGON((-96.3 39.6,-96.3 39.7,-96.2 39.7,-96.2 39.6,-96.3 39.6))"
65,-96.2,39.6,"POLYGON((-96.2 39.6,-96.2 39.7,-96.1 39.7,-96.1 39.6,-96.2 39.6))"
144,-96.1,39.6,"POLYGON((-96.1 39.6,-96.1 39.7,-96.0 39.7,-96.0 39.6,-96.1 39.6))"
123,-96.0,39.6,"POLYGON((-96.0 39.6,-96.0 39.7,-95.9 39.7,-95.9 39.6,-96.0 39.6))"
239,-95.9,39.6,"POLYGON((-95.9 39.6,-95.9 39.7,-95.8 39.7,-95.8 39.6,-95.9 39.6))"
5,-95.8,39.6,"POLYGON((-95.8 39.6,-95.8 39.7,-95.7 39.7,-95.7 39.6,-95.8 39.6))"
17,-96.3,39.7,"POLYGON((-96.3 39.7,-96.3 39.8,-96.2 39.8,-96.2 39.7,-96.3 39.7))"
343,-96.2,39.7,"POLYGON((-96.2 39.7,-96.2 39.8,-96.1 39.8,-96.1 39.7,-96.2 39.7))"
128,-96.1,39.7,"POLYGON((-96.1 39.7,-96.1 39.8,-96.0 39.8,-96.0 39.7,-96.1 39.7))"
68,-96.0,39.7,"POLYGON((-96.0 39.7,-96.0 39.8,-95.9 39.8,-95.9 39.7,-96.0 39.7))"
54,-95.9,39.7,"POLYGON((-95.9 39.7,-95.9 39.8,-95.8 39.8,-95.8 39.7,-95.9 39.7))"
10,-95.8,39.7,"POLYGON((-95.8 39.7,-95.8 39.8,-95.7 39.8,-95.7 39.7,-95.8 39.7))"
28,-96.3,39.8,"POLYGON((-96.3 39.8,-96.3 39.9,-96.2 39.9,-96.2 39.8,-96.3 39.8))"
204,-96.2,39.8,"POLYGON((-96.2 39.8,-96.2 39.9,-96.1 39.9,-96.1 39.8,-96.2 39.8))"
1268,-96.1,39.8,"POLYGON((-96.1 39.8,-96.1 39.9,-96.0 39.9,-96.0 39.8,-96.1 39.8))"
97,-96.0,39.8,"POLYGON((-96.0 39.8,-96.0 39.9,-95.9 39.9,-95.9 39.8,-96.0 39.8))"
315,-95.9,39.8,"POLYGON((-95.9 39.8,-95.9 39.9,-95.8 39.9,-95.8 39.8,-95.9 39.8))"
66,-95.8,39.8,"POLYGON((-95.8 39.8,-95.8 39.9,-95.7 39.9,-95.7 39.8,-95.8 39.8))"
15,-96.3,39.9,"POLYGON((-96.3 39.9,-96.3 40.0,-96.2 40.0,-96.2 39.9,-96.3 39.9))"
69,-96.2,39.9,"POLYGON((-96.2 39.9,-96.2 40.0,-96.1 40.0,-96.1 39.9,-96.2 39.9))"
81,-96.1,39.9,"POLYGON((-96.1 39.9,-96.1 40.0,-96.0 40.0,-96.0 39.9,-96.1 39.9))"
202,-96.0,39.9,"POLYGON((-96.0 39.9,-96.0 40.0,-95.9 40.0,-95.9 39.9,-96.0 39.9))"
616,-95.9,39.9,"POLYGON((-95.9 39.9,-95.9 40.0,-95.8 40.0,-95.8 39.9,-95.9 39.9))"
384,-95.8,39.9,"POLYGON((-95.8 39.9,-95.8 40.0,-95.7 40.0,-95.7 39.9,-95.8 39.9))"
1,-96.1,40.0,"POLYGON((-96.1 40.0,-96.1 40.1,-96.0 40.1,-96.0 40.0,-96.1 40.0))"
