count,lon,lat,area
181,-86.1,37.4,"POLYGON((-86.1 37.4,-86.1 37.5,-86.0 37.5,-86.0 37.4,-86.1 37.4))"
517,-86.0,37.4,"POLYGON((-86.0 37.4,-86.0 37.5,-85.9 37.5,-85.9 37.4,-86.0 37.4))"
560,-85.9,37.4,"POLYGON((-85.9 37.4,-85.9 37.5,-85.8 37.5,-85.8 37.4,-85.9 37.4))"
28,-86.3,37.5,"POLYGON((-86.3 37.5,-86.3 37.6,-86.2 37.6,-86.2 37.5,-86.3 37.5))"
151,-86.2,37.5,"POLYGON((-86.2 37.5,-86.2 37.6,-86.1 37.6,-86.1 37.5,-86.2 37.5))"
828,-86.1,37.5,"POLYGON((-86.1 37.5,-86.1 37.6,-86.0 37.6,-86.0 37.5,-86.1 37.5))"
636,-86.0,37.5,"POLYGON((-86.0 37.5,-86.0 37.6,-85.9 37.6,-85.9 37.5,-86.0 37.5))"
673,-85.9,37.5,"POLYGON((-85.9 37.5,-85.9 37.6,-85.8 37.6,-85.8 37.5,-85.9 37.5))"
114,-86.3,37.6,"POLYGON((-86.3 37.6,-86.3 37.7,-86.2 37.7,-86.2 37.6,-86.3 37.6))"
582,-86.2,37.6,"POLYGON((-86.2 37.6,-86.2 37.7,-86.1 37.7,-86.1 37.6,-86.2 37.6))"
975,-86.1,37.6,"POLYGON((-86.1 37.6,-86.1 37.7,-86.0 37.7,-86.0 37.6,-86.1 37.6))"
2163,-86.0,37.6,"POLYGON((-86.0 37.6,-86.0 37.7,-85.9 37.7,-85.9 37.6,-86.0 37.6))"
7499,-85.9,37.6,"POLYGON((-85.9 37.6,-85.9 37.7,-85.8 37.7,-85.8 37.6,-85.9 37.6))"
645,-85.8,37.6,"POLYGON((-85.8 37.6,-85.8 37.7,-85.7 37.7,-85.7 37.6,-85.8 37.6))"
20,-85.7,37.6,"POLYGON((-85.7 37.6,-85.7 37.7,-85.6 37.7,-85.6 37.6,-85.7 37.6))"
6,-86.3,37.7,"POLYGON((-86.3 37.7,-86.3 37.8,-86.2 37.8,-86.2 37.7,-86.3 37.7))"
382,-86.2,37.7,"POLYGON((-86.2 37.7,-86.2 37.8,-86.1 37.8,-86.1 37.7,-86.2 37.7))"
769,-86.1,37.7,"POLYGON((-86.1 37.7,-86.1 37.8,-86.0 37.8,-86.0 37.7,-86.1 37.7))"
4999,-86.0,37.7,"POLYGON((-86.0 37.7,-86.0 37.8,-85.9 37.8,-85.9 37.7,-86.0 37.7))"
13423,-85.9,37.7,"POLYGON((-85.9 37.7,-85.9 37.8,-85.8 37.8,-85.8 37.7,-85.9 37.7))"
1146,-85.8,37.7,"POLYGON((-85.8 37.7,-85.8 37.8,-85.7 37.8,-85.7 37.7,-85.8 37.7))"
38,-85.7,37.7,"POLYGON((-85.7 37.7,-85.7 37.8,-85.6 37.8,-85.6 37.7,-85.7 37.7))"
4,-86.2,37.8,"POLYGON((-86.2 37.8,-86.2 37.9,-86.1 37.9,-86.1 37.8,-86.2 37.8))"
239,-86.1,37.8,"POLYGON((-86.1 37.8,-86.1 37.9,-86.0 37.9,-86.0 37.8,-86.1 37.8))"
11264,-86.0,37.8,"POLYGON((-86.0 37.8,-86.0 37.9,-85.9 37.9,-85.9 37.8,-86.0 37.8))"
37,-85.9,37.8,"POLYGON((-85.9 37.8,-85.9 37.9,-85.8 37.9,-85.8 37.8,-85.9 37.8))"
53,-85.8,37.8,"POLYGON((-85.8 37.8,-85.8 37.9,-85.7 37.9,-85.7 37.8,-85.8 37.8))"
1,-86.1,37.9,"POLYGON((-86.1 37.9,-86.1 38.0,-86.0 38.0,-86.0 37.9,-86.1 37.9))"
501,-86.0,37.9,"POLYGON((-86.0 37.9,-86.0 38.0,-85.9 38.0,-85.9 37.9,-86.0 37.9))"
63,-86.0,38.0,"POLYGON((-86.0 38.0,-86.0 38.1,-85.9 38.1,-85.9 38.0,-86.0 38.0))"
