count,lon,lat,area
520,-86.0,38.0,"POLYGON((-86.0 38.0,-86.0 38.1,-85.9 38.1,-85.9 38.0,-86.0 38.0))"
8012,-85.9,38.0,"POLYGON((-85.9 38.0,-85.9 38.1,-85.8 38.1,-85.8 38.0,-85.9 38.0))"
1252,-85.8,38.0,"POLYGON((-85.8 38.0,-85.8 38.1,-85.7 38.1,-85.7 38.0,-85.8 38.0))"
6458,-85.7,38.0,"POLYGON((-85.7 38.0,-85.7 38.1,-85.6 38.1,-85.6 38.0,-85.7 38.0))"
1351,-85.6,38.0,"POLYGON((-85.6 38.0,-85.6 38.1,-85.5 38.1,-85.5 38.0,-85.6 38.0))"
20,-85.5,38.0,"POLYGON((-85.5 38.0,-85.5 38.1,-85.4 38.1,-85.4 38.0,-85.5 38.0))"
18,-86.0,38.1,"POLYGON((-86.0 38.1,-86.0 38.2,-85.9 38.2,-85.9 38.1,-86.0 38.1))"
45450,-85.9,38.1,"POLYGON((-85.9 38.1,-85.9 38.2,-85.8 38.2,-85.8 38.1,-85.9 38.1))"
39555,-85.8,38.1,"POLYGON((-85.8 38.1,-85.8 38.2,-85.7 38.2,-85.7 38.1,-85.8 38.1))"
56014,-85.7,38.1,"POLYGON((-85.7 38.1,-85.7 38.2,-85.6 38.2,-85.6 38.1,-85.7 38.1))"
26011,-85.6,38.1,"POLYGON((-85.6 38.1,-85.6 38.2,-85.5 38.2,-85.5 38.1,-85.6 38.1))"
1523,-85.5,38.1,"POLYGON((-85.5 38.1,-85.5 38.2,-85.4 38.2,-85.4 38.1,-85.5 38.1))"
19772,-85.9,38.2,"POLYGON((-85.9 38.2,-85.9 38.3,-85.8 38.3,-85.8 38.2,-85.9 38.2))"
83400,-85.8,38.2,"POLYGON((-85.8 38.2,-85.8 38.3,-85.7 38.3,-85.7 38.2,-85.8 38.2))"
63086,-85.7,38.2,"POLYGON((-85.7 38.2,-85.7 38.3,-85.6 38.3,-85.6 38.2,-85.7 38.2))"
44364,-85.6,38.2,"POLYGON((-85.6 38.2,-85.6 38.3,-85.5 38.3,-85.5 38.2,-85.6 38.2))"
12497,-85.5,38.2,"POLYGON((-85.5 38.2,-85.5 38.3,-85.4 38.3,-85.4 38.2,-85.5 38.2))"
5896,-85.7,38.3,"POLYGON((-85.7 38.3,-85.7 38.4,-85.6 38.4,-85.6 38.3,-85.7 38.3))"
15578,-85.6,38.3,"POLYGON((-85.6 38.3,-85.6 38.4,-85.5 38.4,-85.5 38.3,-85.6 38.3))"
9,-85.5,38.3,"POLYGON((-85.5 38.3,-85.5 38.4,-85.4 38.4,-85.4 38.3,-85.5 38.3))"
