count,lon,lat,area
560,-84.5,38.8,"POLYGON((-84.5 38.8,-84.5 38.9,-84.4 38.9,-84.4 38.8,-84.5 38.8))"
1543,-84.4,38.8,"POLYGON((-84.4 38.8,-84.4 38.9,-84.3 38.9,-84.3 38.8,-84.4 38.8))"
362,-84.3,38.8,"POLYGON((-84.3 38.8,-84.3 38.9,-84.2 38.9,-84.2 38.8,-84.3 38.8))"
2842,-84.5,38.9,"POLYGON((-84.5 38.9,-84.5 39.0,-84.4 39.0,-84.4 38.9,-84.5 38.9))"
5874,-84.4,38.9,"POLYGON((-84.4 38.9,-84.4 39.0,-84.3 39.0,-84.3 38.9,-84.4 38.9))"
386,-84.3,38.9,"POLYGON((-84.3 38.9,-84.3 39.0,-84.2 39.0,-84.2 38.9,-84.3 38.9))"
221,-84.6,39.0,"POLYGON((-84.6 39.0,-84.6 39.1,-84.5 39.1,-84.5 39.0,-84.6 39.0))"
29449,-84.5,39.0,"POLYGON((-84.5 39.0,-84.5 39.1,-84.4 39.1,-84.4 39.0,-84.5 39.0))"
1480,-84.4,39.0,"POLYGON((-84.4 39.0,-84.4 39.1,-84.3 39.1,-84.3 39.0,-84.4 39.0))"
6987,-84.5,39.1,"POLYGON((-84.5 39.1,-84.5 39.2,-84.4 39.2,-84.4 39.1,-84.5 39.1))"
