count,lon,lat,area
3,-86.5,36.7,"POLYGON((-86.5 36.7,-86.5 36.8,-86.4 36.8,-86.4 36.7,-86.5 36.7))"
34,-86.4,36.7,"POLYGON((-86.4 36.7,-86.4 36.8,-86.3 36.8,-86.3 36.7,-86.4 36.7))"
25,-86.7,36.8,"POLYGON((-86.7 36.8,-86.7 36.9,-86.6 36.9,-86.6 36.8,-86.7 36.8))"
1338,-86.6,36.8,"POLYGON((-86.6 36.8,-86.6 36.9,-86.5 36.9,-86.5 36.8,-86.6 36.8))"
2535,-86.5,36.8,"POLYGON((-86.5 36.8,-86.5 36.9,-86.4 36.9,-86.4 36.8,-86.5 36.8))"
2326,-86.4,36.8,"POLYGON((-86.4 36.8,-86.4 36.9,-86.3 36.9,-86.3 36.8,-86.4 36.8))"
297,-86.3,36.8,"POLYGON((-86.3 36.8,-86.3 36.9,-86.2 36.9,-86.2 36.8,-86.3 36.8))"
459,-86.7,36.9,"POLYGON((-86.7 36.9,-86.7 37.0,-86.6 37.0,-86.6 36.9,-86.7 36.9))"
4055,-86.6,36.9,"POLYGON((-86.6 36.9,-86.6 37.0,-86.5 37.0,-86.5 36.9,-86.6 36.9))"
23586,-86.5,36.9,"POLYGON((-86.5 36.9,-86.5 37.0,-86.4 37.0,-86.4 36.9,-86.5 36.9))"
3409,-86.4,36.9,"POLYGON((-86.4 36.9,-86.4 37.0,-86.3 37.0,-86.3 36.9,-86.4 36.9))"
1137,-86.3,36.9,"POLYGON((-86.3 36.9,-86.3 37.0,-86.2 37.0,-86.2 36.9,-86.3 36.9))"
408,-86.2,36.9,"POLYGON((-86.2 36.9,-86.2 37.0,-86.1 37.0,-86.1 36.9,-86.2 36.9))"
533,-86.7,37.0,"POLYGON((-86.7 37.0,-86.7 37.1,-86.6 37.1,-86.6 37.0,-86.7 37.0))"
1430,-86.6,37.0,"POLYGON((-86.6 37.0,-86.6 37.1,-86.5 37.1,-86.5 37.0,-86.6 37.0))"
3202,-86.5,37.0,"POLYGON((-86.5 37.0,-86.5 37.1,-86.4 37.1,-86.4 37.0,-86.5 37.0))"
4350,-86.4,37.0,"POLYGON((-86.4 37.0,-86.4 37.1,-86.3 37.1,-86.3 37.0,-86.4 37.0))"
2053,-86.3,37.0,"POLYGON((-86.3 37.0,-86.3 37.1,-86.2 37.1,-86.2 37.0,-86.3 37.0))"
651,-86.2,37.0,"POLYGON((-86.2 37.0,-86.2 37.1,-86.1 37.1,-86.1 37.0,-86.2 37.0))"
90,-86.7,37.1,"POLYGON((-86.7 37.1,-86.7 37.2,-86.6 37.2,-86.6 37.1,-86.7 37.1))"
592,-86.6,37.1,"POLYGON((-86.6 37.1,-86.6 37.2,-86.5 37.2,-86.5 37.1,-86.6 37.1))"
745,-86.5,37.1,"POLYGON((-86.5 37.1,-86.5 37.2,-86.4 37.2,-86.4 37.1,-86.5 37.1))"
508,-86.4,37.1,"POLYGON((-86.4 37.1,-86.4 37.2,-86.3 37.2,-86.3 37.1,-86.4 37.1))"
1,-86.3,37.1,"POLYGON((-86.3 37.1,-86.3 37.2,-86.2 37.2,-86.2 37.1,-86.3 37.1))"
