count,lon,lat,area
162,-93.8,30.4,"POLYGON((-93.8 30.4,-93.8 30.5,-93.7 30.5,-93.7 30.4,-93.8 30.4))"
418,-93.7,30.4,"POLYGON((-93.7 30.4,-93.7 30.5,-93.6 30.5,-93.6 30.4,-93.7 30.4))"
185,-93.6,30.4,"POLYGON((-93.6 30.4,-93.6 30.5,-93.5 30.5,-93.5 30.4,-93.6 30.4))"
111,-93.5,30.4,"POLYGON((-93.5 30.4,-93.5 30.5,-93.4 30.5,-93.4 30.4,-93.5 30.4))"
738,-93.4,30.4,"POLYGON((-93.4 30.4,-93.4 30.5,-93.3 30.5,-93.3 30.4,-93.4 30.4))"
1290,-93.3,30.4,"POLYGON((-93.3 30.4,-93.3 30.5,-93.2 30.5,-93.2 30.4,-93.3 30.4))"
857,-93.2,30.4,"POLYGON((-93.2 30.4,-93.2 30.5,-93.1 30.5,-93.1 30.4,-93.2 30.4))"
34,-93.8,30.5,"POLYGON((-93.8 30.5,-93.8 30.6,-93.7 30.6,-93.7 30.5,-93.8 30.5))"
252,-93.7,30.5,"POLYGON((-93.7 30.5,-93.7 30.6,-93.6 30.6,-93.6 30.5,-93.7 30.5))"
219,-93.6,30.5,"POLYGON((-93.6 30.5,-93.6 30.6,-93.5 30.6,-93.5 30.5,-93.6 30.5))"
693,-93.5,30.5,"POLYGON((-93.5 30.5,-93.5 30.6,-93.4 30.6,-93.4 30.5,-93.5 30.5))"
235,-93.4,30.5,"POLYGON((-93.4 30.5,-93.4 30.6,-93.3 30.6,-93.3 30.5,-93.4 30.5))"
1420,-93.3,30.5,"POLYGON((-93.3 30.5,-93.3 30.6,-93.2 30.6,-93.2 30.5,-93.3 30.5))"
411,-93.2,30.5,"POLYGON((-93.2 30.5,-93.2 30.6,-93.1 30.6,-93.1 30.5,-93.2 30.5))"
1,-93.1,30.5,"POLYGON((-93.1 30.5,-93.1 30.6,-93.0 30.6,-93.0 30.5,-93.1 30.5))"
258,-93.7,30.6,"POLYGON((-93.7 30.6,-93.7 30.7,-93.6 30.7,-93.6 30.6,-93.7 30.6))"
221,-93.6,30.6,"POLYGON((-93.6 30.6,-93.6 30.7,-93.5 30.7,-93.5 30.6,-93.6 30.6))"
477,-93.5,30.6,"POLYGON((-93.5 30.6,-93.5 30.7,-93.4 30.7,-93.4 30.6,-93.5 30.6))"
266,-93.4,30.6,"POLYGON((-93.4 30.6,-93.4 30.7,-93.3 30.7,-93.3 30.6,-93.4 30.6))"
577,-93.3,30.6,"POLYGON((-93.3 30.6,-93.3 30.7,-93.2 30.7,-93.2 30.6,-93.3 30.6))"
250,-93.2,30.6,"POLYGON((-93.2 30.6,-93.2 30.7,-93.1 30.7,-93.1 30.6,-93.2 30.6))"
755,-93.1,30.6,"POLYGON((-93.1 30.6,-93.1 30.7,-93.0 30.7,-93.0 30.6,-93.1 30.6))"
61,-93.0,30.6,"POLYGON((-93.0 30.6,-93.0 30.7,-92.9 30.7,-92.9 30.6,-93.0 30.6))"
14,-93.7,30.7,"POLYGON((-93.7 30.7,-93.7 30.8,-93.6 30.8,-93.6 30.7,-93.7 30.7))"
1072,-93.6,30.7,"POLYGON((-93.6 30.7,-93.6 30.8,-93.5 30.8,-93.5 30.7,-93.6 30.7))"
175,-93.5,30.7,"POLYGON((-93.5 30.7,-93.5 30.8,-93.4 30.8,-93.4 30.7,-93.5 30.7))"
730,-93.4,30.7,"POLYGON((-93.4 30.7,-93.4 30.8,-93.3 30.8,-93.3 30.7,-93.4 30.7))"
943,-93.3,30.7,"POLYGON((-93.3 30.7,-93.3 30.8,-93.2 30.8,-93.2 30.7,-93.3 30.7))"
1269,-93.2,30.7,"POLYGON((-93.2 30.7,-93.2 30.8,-93.1 30.8,-93.1 30.7,-93.2 30.7))"
1242,-93.1,30.7,"POLYGON((-93.1 30.7,-93.1 30.8,-93.0 30.8,-93.0 30.7,-93.1 30.7))"
112,-93.0,30.7,"POLYGON((-93.0 30.7,-93.0 30.8,-92.9 30.8,-92.9 30.7,-93.0 30.7))"
422,-93.6,30.8,"POLYGON((-93.6 30.8,-93.6 30.9,-93.5 30.9,-93.5 30.8,-93.6 30.8))"
649,-93.5,30.8,"POLYGON((-93.5 30.8,-93.5 30.9,-93.4 30.9,-93.4 30.8,-93.5 30.8))"
2428,-93.4,30.8,"POLYGON((-93.4 30.8,-93.4 30.9,-93.3 30.9,-93.3 30.8,-93.4 30.8))"
5934,-93.3,30.8,"POLYGON((-93.3 30.8,-93.3 30.9,-93.2 30.9,-93.2 30.8,-93.3 30.8))"
923,-93.2,30.8,"POLYGON((-93.2 30.8,-93.2 30.9,-93.1 30.9,-93.1 30.8,-93.2 30.8))"
601,-93.1,30.8,"POLYGON((-93.1 30.8,-93.1 30.9,-93.0 30.9,-93.0 30.8,-93.1 30.8))"
107,-93.0,30.8,"POLYGON((-93.0 30.8,-93.0 30.9,-92.9 30.9,-92.9 30.8,-93.0 30.8))"
