count,lon,lat,area
32,-92.1,32.1,"POLYGON((-92.1 32.1,-92.1 32.2,-92.0 32.2,-92.0 32.1,-92.1 32.1))"
301,-92.0,32.1,"POLYGON((-92.0 32.1,-92.0 32.2,-91.9 32.2,-91.9 32.1,-92.0 32.1))"
18,-91.9,32.1,"POLYGON((-91.9 32.1,-91.9 32.2,-91.8 32.2,-91.8 32.1,-91.9 32.1))"
5,-92.1,32.2,"POLYGON((-92.1 32.2,-92.1 32.3,-92.0 32.3,-92.0 32.2,-92.1 32.2))"
339,-92.0,32.2,"POLYGON((-92.0 32.2,-92.0 32.3,-91.9 32.3,-91.9 32.2,-92.0 32.2))"
253,-91.9,32.2,"POLYGON((-91.9 32.2,-91.9 32.3,-91.8 32.3,-91.8 32.2,-91.9 32.2))"
100,-91.8,32.2,"POLYGON((-91.8 32.2,-91.8 32.3,-91.7 32.3,-91.7 32.2,-91.8 32.2))"
3,-92.1,32.3,"POLYGON((-92.1 32.3,-92.1 32.4,-92.0 32.4,-92.0 32.3,-92.1 32.3))"
176,-92.0,32.3,"POLYGON((-92.0 32.3,-92.0 32.4,-91.9 32.4,-91.9 32.3,-92.0 32.3))"
445,-91.9,32.3,"POLYGON((-91.9 32.3,-91.9 32.4,-91.8 32.4,-91.8 32.3,-91.9 32.3))"
1146,-91.8,32.3,"POLYGON((-91.8 32.3,-91.8 32.4,-91.7 32.4,-91.7 32.3,-91.8 32.3))"
84,-91.7,32.3,"POLYGON((-91.7 32.3,-91.7 32.4,-91.6 32.4,-91.6 32.3,-91.7 32.3))"
21,-92.0,32.4,"POLYGON((-92.0 32.4,-92.0 32.5,-91.9 32.5,-91.9 32.4,-92.0 32.4))"
1201,-91.9,32.4,"POLYGON((-91.9 32.4,-91.9 32.5,-91.8 32.5,-91.8 32.4,-91.9 32.4))"
3732,-91.8,32.4,"POLYGON((-91.8 32.4,-91.8 32.5,-91.7 32.5,-91.7 32.4,-91.8 32.4))"
736,-91.7,32.4,"POLYGON((-91.7 32.4,-91.7 32.5,-91.6 32.5,-91.6 32.4,-91.7 32.4))"
978,-91.6,32.4,"POLYGON((-91.6 32.4,-91.6 32.5,-91.5 32.5,-91.5 32.4,-91.6 32.4))"
1915,-91.5,32.4,"POLYGON((-91.5 32.4,-91.5 32.5,-91.4 32.5,-91.4 32.4,-91.5 32.4))"
257,-91.9,32.5,"POLYGON((-91.9 32.5,-91.9 32.6,-91.8 32.6,-91.8 32.5,-91.9 32.5))"
265,-91.8,32.5,"POLYGON((-91.8 32.5,-91.8 32.6,-91.7 32.6,-91.7 32.5,-91.8 32.5))"
443,-91.7,32.5,"POLYGON((-91.7 32.5,-91.7 32.6,-91.6 32.6,-91.6 32.5,-91.7 32.5))"
285,-91.6,32.5,"POLYGON((-91.6 32.5,-91.6 32.6,-91.5 32.6,-91.5 32.5,-91.6 32.5))"
273,-91.5,32.5,"POLYGON((-91.5 32.5,-91.5 32.6,-91.4 32.6,-91.4 32.5,-91.5 32.5))"
2,-91.8,32.6,"POLYGON((-91.8 32.6,-91.8 32.7,-91.7 32.7,-91.7 32.6,-91.8 32.6))"
153,-91.7,32.6,"POLYGON((-91.7 32.6,-91.7 32.7,-91.6 32.7,-91.6 32.6,-91.7 32.6))"
8,-91.6,32.6,"POLYGON((-91.6 32.6,-91.6 32.7,-91.5 32.7,-91.5 32.6,-91.6 32.6))"
