count,lon,lat,area
181,-90.5,29.7,"POLYGON((-90.5 29.7,-90.5 29.8,-90.4 29.8,-90.4 29.7,-90.5 29.7))"
35,-90.4,29.7,"POLYGON((-90.4 29.7,-90.4 29.8,-90.3 29.8,-90.3 29.7,-90.4 29.7))"
1574,-90.5,29.8,"POLYGON((-90.5 29.8,-90.5 29.9,-90.4 29.9,-90.4 29.8,-90.5 29.8))"
984,-90.4,29.8,"POLYGON((-90.4 29.8,-90.4 29.9,-90.3 29.9,-90.3 29.8,-90.4 29.8))"
5,-90.6,29.9,"POLYGON((-90.6 29.9,-90.6 30.0,-90.5 30.0,-90.5 29.9,-90.6 29.9))"
952,-90.5,29.9,"POLYGON((-90.5 29.9,-90.5 30.0,-90.4 30.0,-90.4 29.9,-90.5 29.9))"
7472,-90.4,29.9,"POLYGON((-90.4 29.9,-90.4 30.0,-90.3 30.0,-90.3 29.9,-90.4 29.9))"
608,-90.3,29.9,"POLYGON((-90.3 29.9,-90.3 30.0,-90.2 30.0,-90.2 29.9,-90.3 29.9))"
4,-90.6,30.0,"POLYGON((-90.6 30.0,-90.6 30.1,-90.5 30.1,-90.5 30.0,-90.6 30.0))"
1364,-90.5,30.0,"POLYGON((-90.5 30.0,-90.5 30.1,-90.4 30.1,-90.4 30.0,-90.5 30.0))"
5,-90.4,30.0,"POLYGON((-90.4 30.0,-90.4 30.1,-90.3 30.1,-90.3 30.0,-90.4 30.0))"
1,-90.3,30.0,"POLYGON((-90.3 30.0,-90.3 30.1,-90.2 30.1,-90.2 30.0,-90.3 30.0))"
