count,lon,lat,area
1902,-79.1,39.4,"POLYGON((-79.1 39.4,-79.1 39.5,-79.0 39.5,-79.0 39.4,-79.1 39.4))"
866,-79.0,39.4,"POLYGON((-79.0 39.4,-79.0 39.5,-78.9 39.5,-78.9 39.4,-79.0 39.4))"
983,-79.1,39.5,"POLYGON((-79.1 39.5,-79.1 39.6,-79.0 39.6,-79.0 39.5,-79.1 39.5))"
2194,-79.0,39.5,"POLYGON((-79.0 39.5,-79.0 39.6,-78.9 39.6,-78.9 39.5,-79.0 39.5))"
3055,-78.9,39.5,"POLYGON((-78.9 39.5,-78.9 39.6,-78.8 39.6,-78.8 39.5,-78.9 39.5))"
345,-78.8,39.5,"POLYGON((-78.8 39.5,-78.8 39.6,-78.7 39.6,-78.7 39.5,-78.8 39.5))"
965,-78.7,39.5,"POLYGON((-78.7 39.5,-78.7 39.6,-78.6 39.6,-78.6 39.5,-78.7 39.5))"
583,-78.6,39.5,"POLYGON((-78.6 39.5,-78.6 39.6,-78.5 39.6,-78.5 39.5,-78.6 39.5))"
239,-78.5,39.5,"POLYGON((-78.5 39.5,-78.5 39.6,-78.4 39.6,-78.4 39.5,-78.5 39.5))"
4948,-79.0,39.6,"POLYGON((-79.0 39.6,-79.0 39.7,-78.9 39.7,-78.9 39.6,-79.0 39.6))"
6731,-78.9,39.6,"POLYGON((-78.9 39.6,-78.9 39.7,-78.8 39.7,-78.8 39.6,-78.9 39.6))"
14363,-78.8,39.6,"POLYGON((-78.8 39.6,-78.8 39.7,-78.7 39.7,-78.7 39.6,-78.8 39.6))"
847,-78.7,39.6,"POLYGON((-78.7 39.6,-78.7 39.7,-78.6 39.7,-78.6 39.6,-78.7 39.6))"
532,-78.6,39.6,"POLYGON((-78.6 39.6,-78.6 39.7,-78.5 39.7,-78.5 39.6,-78.6 39.6))"
384,-78.5,39.6,"POLYGON((-78.5 39.6,-78.5 39.7,-78.4 39.7,-78.4 39.6,-78.5 39.6))"
469,-78.4,39.6,"POLYGON((-78.4 39.6,-78.4 39.7,-78.3 39.7,-78.3 39.6,-78.4 39.6))"
47,-79.0,39.7,"POLYGON((-79.0 39.7,-79.0 39.8,-78.9 39.8,-78.9 39.7,-79.0 39.7))"
387,-78.9,39.7,"POLYGON((-78.9 39.7,-78.9 39.8,-78.8 39.8,-78.8 39.7,-78.9 39.7))"
959,-78.8,39.7,"POLYGON((-78.8 39.7,-78.8 39.8,-78.7 39.8,-78.7 39.7,-78.8 39.7))"
246,-78.7,39.7,"POLYGON((-78.7 39.7,-78.7 39.8,-78.6 39.8,-78.6 39.7,-78.7 39.7))"
331,-78.6,39.7,"POLYGON((-78.6 39.7,-78.6 39.8,-78.5 39.8,-78.5 39.7,-78.6 39.7))"
205,-78.5,39.7,"POLYGON((-78.5 39.7,-78.5 39.8,-78.4 39.8,-78.4 39.7,-78.5 39.7))"
194,-78.4,39.7,"POLYGON((-78.4 39.7,-78.4 39.8,-78.3 39.8,-78.3 39.7,-78.4 39.7))"
