count,lon,lat,area
1614,-76.4,38.8,"POLYGON((-76.4 38.8,-76.4 38.9,-76.3 38.9,-76.3 38.8,-76.4 38.8))"
40,-76.3,38.8,"POLYGON((-76.3 38.8,-76.3 38.9,-76.2 38.9,-76.2 38.8,-76.3 38.8))"
201,-76.2,38.8,"POLYGON((-76.2 38.8,-76.2 38.9,-76.1 38.9,-76.1 38.8,-76.2 38.8))"
4364,-76.4,38.9,"POLYGON((-76.4 38.9,-76.4 39.0,-76.3 39.0,-76.3 38.9,-76.4 38.9))"
5317,-76.3,38.9,"POLYGON((-76.3 38.9,-76.3 39.0,-76.2 39.0,-76.2 38.9,-76.3 38.9))"
2793,-76.2,38.9,"POLYGON((-76.2 38.9,-76.2 39.0,-76.1 39.0,-76.1 38.9,-76.2 38.9))"
567,-76.1,38.9,"POLYGON((-76.1 38.9,-76.1 39.0,-76.0 39.0,-76.0 38.9,-76.1 38.9))"
233,-76.0,38.9,"POLYGON((-76.0 38.9,-76.0 39.0,-75.9 39.0,-75.9 38.9,-76.0 38.9))"
537,-76.4,39.0,"POLYGON((-76.4 39.0,-76.4 39.1,-76.3 39.1,-76.3 39.0,-76.4 39.0))"
200,-76.3,39.0,"POLYGON((-76.3 39.0,-76.3 39.1,-76.2 39.1,-76.2 39.0,-76.3 39.0))"
638,-76.2,39.0,"POLYGON((-76.2 39.0,-76.2 39.1,-76.1 39.1,-76.1 39.0,-76.2 39.0))"
3360,-76.1,39.0,"POLYGON((-76.1 39.0,-76.1 39.1,-76.0 39.1,-76.0 39.0,-76.1 39.0))"
840,-76.0,39.0,"POLYGON((-76.0 39.0,-76.0 39.1,-75.9 39.1,-75.9 39.0,-76.0 39.0))"
258,-75.9,39.0,"POLYGON((-75.9 39.0,-75.9 39.1,-75.8 39.1,-75.8 39.0,-75.9 39.0))"
4,-76.2,39.1,"POLYGON((-76.2 39.1,-76.2 39.2,-76.1 39.2,-76.1 39.1,-76.2 39.1))"
710,-76.1,39.1,"POLYGON((-76.1 39.1,-76.1 39.2,-76.0 39.2,-76.0 39.1,-76.1 39.1))"
1062,-76.0,39.1,"POLYGON((-76.0 39.1,-76.0 39.2,-75.9 39.2,-75.9 39.1,-76.0 39.1))"
807,-75.9,39.1,"POLYGON((-75.9 39.1,-75.9 39.2,-75.8 39.2,-75.8 39.1,-75.9 39.1))"
259,-75.8,39.1,"POLYGON((-75.8 39.1,-75.8 39.2,-75.7 39.2,-75.7 39.1,-75.8 39.1))"
883,-76.1,39.2,"POLYGON((-76.1 39.2,-76.1 39.3,-76.0 39.3,-76.0 39.2,-76.1 39.2))"
1033,-76.0,39.2,"POLYGON((-76.0 39.2,-76.0 39.3,-75.9 39.3,-75.9 39.2,-76.0 39.2))"
586,-75.9,39.2,"POLYGON((-75.9 39.2,-75.9 39.3,-75.8 39.3,-75.8 39.2,-75.9 39.2))"
56,-75.8,39.2,"POLYGON((-75.8 39.2,-75.8 39.3,-75.7 39.3,-75.7 39.2,-75.8 39.2))"
