count,lon,lat,area
13253,-93.3,45.0,"POLYGON((-93.3 45.0,-93.3 45.1,-93.2 45.1,-93.2 45.0,-93.3 45.0))"
147,-93.5,45.1,"POLYGON((-93.5 45.1,-93.5 45.2,-93.4 45.2,-93.4 45.1,-93.5 45.1))"
11818,-93.4,45.1,"POLYGON((-93.4 45.1,-93.4 45.2,-93.3 45.2,-93.3 45.1,-93.4 45.1))"
26526,-93.3,45.1,"POLYGON((-93.3 45.1,-93.3 45.2,-93.2 45.2,-93.2 45.1,-93.3 45.1))"
10590,-93.2,45.1,"POLYGON((-93.2 45.1,-93.2 45.2,-93.1 45.2,-93.1 45.1,-93.2 45.1))"
3542,-93.1,45.1,"POLYGON((-93.1 45.1,-93.1 45.2,-93.0 45.2,-93.0 45.1,-93.1 45.1))"
308,-93.6,45.2,"POLYGON((-93.6 45.2,-93.6 45.3,-93.5 45.3,-93.5 45.2,-93.6 45.2))"
8722,-93.5,45.2,"POLYGON((-93.5 45.2,-93.5 45.3,-93.4 45.3,-93.4 45.2,-93.5 45.2))"
13182,-93.4,45.2,"POLYGON((-93.4 45.2,-93.4 45.3,-93.3 45.3,-93.3 45.2,-93.4 45.2))"
8326,-93.3,45.2,"POLYGON((-93.3 45.2,-93.3 45.3,-93.2 45.3,-93.2 45.2,-93.3 45.2))"
2302,-93.2,45.2,"POLYGON((-93.2 45.2,-93.2 45.3,-93.1 45.3,-93.1 45.2,-93.2 45.2))"
1274,-93.1,45.2,"POLYGON((-93.1 45.2,-93.1 45.3,-93.0 45.3,-93.0 45.2,-93.1 45.2))"
96,-93.6,45.3,"POLYGON((-93.6 45.3,-93.6 45.4,-93.5 45.4,-93.5 45.3,-93.6 45.3))"
1342,-93.5,45.3,"POLYGON((-93.5 45.3,-93.5 45.4,-93.4 45.4,-93.4 45.3,-93.5 45.3))"
3980,-93.4,45.3,"POLYGON((-93.4 45.3,-93.4 45.4,-93.3 45.4,-93.3 45.3,-93.4 45.3))"
2796,-93.3,45.3,"POLYGON((-93.3 45.3,-93.3 45.4,-93.2 45.4,-93.2 45.3,-93.3 45.3))"
1710,-93.2,45.3,"POLYGON((-93.2 45.3,-93.2 45.4,-93.1 45.4,-93.1 45.3,-93.2 45.3))"
783,-93.1,45.3,"POLYGON((-93.1 45.3,-93.1 45.4,-93.0 45.4,-93.0 45.3,-93.1 45.3))"
1,-93.6,45.4,"POLYGON((-93.6 45.4,-93.6 45.5,-93.5 45.5,-93.5 45.4,-93.6 45.4))"
91,-93.5,45.4,"POLYGON((-93.5 45.4,-93.5 45.5,-93.4 45.5,-93.4 45.4,-93.5 45.4))"
250,-93.4,45.4,"POLYGON((-93.4 45.4,-93.4 45.5,-93.3 45.5,-93.3 45.4,-93.4 45.4))"
340,-93.3,45.4,"POLYGON((-93.3 45.4,-93.3 45.5,-93.2 45.5,-93.2 45.4,-93.3 45.4))"
146,-93.2,45.4,"POLYGON((-93.2 45.4,-93.2 45.5,-93.1 45.5,-93.1 45.4,-93.2 45.4))"
364,-93.1,45.4,"POLYGON((-93.1 45.4,-93.1 45.5,-93.0 45.5,-93.0 45.4,-93.1 45.4))"
