count,lon,lat,area
1,-96.2,45.1,"POLYGON((-96.2 45.1,-96.2 45.2,-96.1 45.2,-96.1 45.1,-96.2 45.1))"
118,-96.5,45.2,"POLYGON((-96.5 45.2,-96.5 45.3,-96.4 45.3,-96.4 45.2,-96.5 45.2))"
50,-96.4,45.2,"POLYGON((-96.4 45.2,-96.4 45.3,-96.3 45.3,-96.3 45.2,-96.4 45.2))"
49,-96.3,45.2,"POLYGON((-96.3 45.2,-96.3 45.3,-96.2 45.3,-96.2 45.2,-96.3 45.2))"
50,-96.2,45.2,"POLYGON((-96.2 45.2,-96.2 45.3,-96.1 45.3,-96.1 45.2,-96.2 45.2))"
145,-96.6,45.3,"POLYGON((-96.6 45.3,-96.6 45.4,-96.5 45.4,-96.5 45.3,-96.6 45.3))"
259,-96.5,45.3,"POLYGON((-96.5 45.3,-96.5 45.4,-96.4 45.4,-96.4 45.3,-96.5 45.3))"
57,-96.4,45.3,"POLYGON((-96.4 45.3,-96.4 45.4,-96.3 45.4,-96.3 45.3,-96.4 45.3))"
45,-96.3,45.3,"POLYGON((-96.3 45.3,-96.3 45.4,-96.2 45.4,-96.2 45.3,-96.3 45.3))"
58,-96.2,45.3,"POLYGON((-96.2 45.3,-96.2 45.4,-96.1 45.4,-96.1 45.3,-96.2 45.3))"
61,-96.8,45.4,"POLYGON((-96.8 45.4,-96.8 45.5,-96.7 45.5,-96.7 45.4,-96.8 45.4))"
172,-96.7,45.4,"POLYGON((-96.7 45.4,-96.7 45.5,-96.6 45.5,-96.6 45.4,-96.7 45.4))"
94,-96.6,45.4,"POLYGON((-96.6 45.4,-96.6 45.5,-96.5 45.5,-96.5 45.4,-96.6 45.4))"
60,-96.5,45.4,"POLYGON((-96.5 45.4,-96.5 45.5,-96.4 45.5,-96.4 45.4,-96.5 45.4))"
53,-96.4,45.4,"POLYGON((-96.4 45.4,-96.4 45.5,-96.3 45.5,-96.3 45.4,-96.4 45.4))"
15,-96.3,45.4,"POLYGON((-96.3 45.4,-96.3 45.5,-96.2 45.5,-96.2 45.4,-96.3 45.4))"
7,-96.2,45.4,"POLYGON((-96.2 45.4,-96.2 45.5,-96.1 45.5,-96.1 45.4,-96.2 45.4))"
2,-96.9,45.5,"POLYGON((-96.9 45.5,-96.9 45.6,-96.8 45.6,-96.8 45.5,-96.9 45.5))"
35,-96.8,45.5,"POLYGON((-96.8 45.5,-96.8 45.6,-96.7 45.6,-96.7 45.5,-96.8 45.5))"
42,-96.7,45.5,"POLYGON((-96.7 45.5,-96.7 45.6,-96.6 45.6,-96.6 45.5,-96.7 45.5))"
49,-96.6,45.5,"POLYGON((-96.6 45.5,-96.6 45.6,-96.5 45.6,-96.5 45.5,-96.6 45.5))"
62,-96.5,45.5,"POLYGON((-96.5 45.5,-96.5 45.6,-96.4 45.6,-96.4 45.5,-96.5 45.5))"
29,-96.4,45.5,"POLYGON((-96.4 45.5,-96.4 45.6,-96.3 45.6,-96.3 45.5,-96.4 45.5))"
23,-96.3,45.5,"POLYGON((-96.3 45.5,-96.3 45.6,-96.2 45.6,-96.2 45.5,-96.3 45.5))"
