count,lon,lat,area
192,-94.4,46.1,"POLYGON((-94.4 46.1,-94.4 46.2,-94.3 46.2,-94.3 46.1,-94.4 46.1))"
84,-94.3,46.1,"POLYGON((-94.3 46.1,-94.3 46.2,-94.2 46.2,-94.2 46.1,-94.3 46.1))"
86,-94.2,46.1,"POLYGON((-94.2 46.1,-94.2 46.2,-94.1 46.2,-94.1 46.1,-94.2 46.1))"
61,-94.1,46.1,"POLYGON((-94.1 46.1,-94.1 46.2,-94.0 46.2,-94.0 46.1,-94.1 46.1))"
221,-94.0,46.1,"POLYGON((-94.0 46.1,-94.0 46.2,-93.9 46.2,-93.9 46.1,-94.0 46.1))"
181,-93.9,46.1,"POLYGON((-93.9 46.1,-93.9 46.2,-93.8 46.2,-93.8 46.1,-93.9 46.1))"
497,-94.4,46.2,"POLYGON((-94.4 46.2,-94.4 46.3,-94.3 46.3,-94.3 46.2,-94.4 46.2))"
607,-94.3,46.2,"POLYGON((-94.3 46.2,-94.3 46.3,-94.2 46.3,-94.2 46.2,-94.3 46.2))"
481,-94.2,46.2,"POLYGON((-94.2 46.2,-94.2 46.3,-94.1 46.3,-94.1 46.2,-94.2 46.2))"
571,-94.1,46.2,"POLYGON((-94.1 46.2,-94.1 46.3,-94.0 46.3,-94.0 46.2,-94.1 46.2))"
263,-94.0,46.2,"POLYGON((-94.0 46.2,-94.0 46.3,-93.9 46.3,-93.9 46.2,-94.0 46.2))"
1030,-93.9,46.2,"POLYGON((-93.9 46.2,-93.9 46.3,-93.8 46.3,-93.8 46.2,-93.9 46.2))"
14,-93.8,46.2,"POLYGON((-93.8 46.2,-93.8 46.3,-93.7 46.3,-93.7 46.2,-93.8 46.2))"
508,-94.4,46.3,"POLYGON((-94.4 46.3,-94.4 46.4,-94.3 46.4,-94.3 46.3,-94.4 46.3))"
5564,-94.3,46.3,"POLYGON((-94.3 46.3,-94.3 46.4,-94.2 46.4,-94.2 46.3,-94.3 46.3))"
4792,-94.2,46.3,"POLYGON((-94.2 46.3,-94.2 46.4,-94.1 46.4,-94.1 46.3,-94.2 46.3))"
671,-94.1,46.3,"POLYGON((-94.1 46.3,-94.1 46.4,-94.0 46.4,-94.0 46.3,-94.1 46.3))"
754,-94.0,46.3,"POLYGON((-94.0 46.3,-94.0 46.4,-93.9 46.4,-93.9 46.3,-94.0 46.3))"
1516,-93.9,46.3,"POLYGON((-93.9 46.3,-93.9 46.4,-93.8 46.4,-93.8 46.3,-93.9 46.3))"
1228,-94.4,46.4,"POLYGON((-94.4 46.4,-94.4 46.5,-94.3 46.5,-94.3 46.4,-94.4 46.4))"
1823,-94.3,46.4,"POLYGON((-94.3 46.4,-94.3 46.5,-94.2 46.5,-94.2 46.4,-94.3 46.4))"
1163,-94.2,46.4,"POLYGON((-94.2 46.4,-94.2 46.5,-94.1 46.5,-94.1 46.4,-94.2 46.4))"
460,-94.1,46.4,"POLYGON((-94.1 46.4,-94.1 46.5,-94.0 46.5,-94.0 46.4,-94.1 46.4))"
2383,-94.0,46.4,"POLYGON((-94.0 46.4,-94.0 46.5,-93.9 46.5,-93.9 46.4,-94.0 46.4))"
1097,-93.9,46.4,"POLYGON((-93.9 46.4,-93.9 46.5,-93.8 46.5,-93.8 46.4,-93.9 46.4))"
1195,-94.4,46.5,"POLYGON((-94.4 46.5,-94.4 46.6,-94.3 46.6,-94.3 46.5,-94.4 46.5))"
3400,-94.3,46.5,"POLYGON((-94.3 46.5,-94.3 46.6,-94.2 46.6,-94.2 46.5,-94.3 46.5))"
1667,-94.2,46.5,"POLYGON((-94.2 46.5,-94.2 46.6,-94.1 46.6,-94.1 46.5,-94.2 46.5))"
559,-94.1,46.5,"POLYGON((-94.1 46.5,-94.1 46.6,-94.0 46.6,-94.0 46.5,-94.1 46.5))"
610,-94.0,46.5,"POLYGON((-94.0 46.5,-94.0 46.6,-93.9 46.6,-93.9 46.5,-94.0 46.5))"
201,-93.9,46.5,"POLYGON((-93.9 46.5,-93.9 46.6,-93.8 46.6,-93.8 46.5,-93.9 46.5))"
9,-93.8,46.5,"POLYGON((-93.8 46.5,-93.8 46.6,-93.7 46.6,-93.7 46.5,-93.8 46.5))"
1127,-94.4,46.6,"POLYGON((-94.4 46.6,-94.4 46.7,-94.3 46.7,-94.3 46.6,-94.4 46.6))"
2064,-94.3,46.6,"POLYGON((-94.3 46.6,-94.3 46.7,-94.2 46.7,-94.2 46.6,-94.3 46.6))"
3136,-94.2,46.6,"POLYGON((-94.2 46.6,-94.2 46.7,-94.1 46.7,-94.1 46.6,-94.2 46.6))"
866,-94.1,46.6,"POLYGON((-94.1 46.6,-94.1 46.7,-94.0 46.7,-94.0 46.6,-94.1 46.6))"
