count,lon,lat,area
24,-93.8,47.0,"POLYGON((-93.8 47.0,-93.8 47.1,-93.7 47.1,-93.7 47.0,-93.8 47.0))"
243,-93.7,47.0,"POLYGON((-93.7 47.0,-93.7 47.1,-93.6 47.1,-93.6 47.0,-93.7 47.0))"
363,-93.6,47.0,"POLYGON((-93.6 47.0,-93.6 47.1,-93.5 47.1,-93.5 47.0,-93.6 47.0))"
536,-93.5,47.0,"POLYGON((-93.5 47.0,-93.5 47.1,-93.4 47.1,-93.4 47.0,-93.5 47.0))"
363,-93.4,47.0,"POLYGON((-93.4 47.0,-93.4 47.1,-93.3 47.1,-93.3 47.0,-93.4 47.0))"
467,-93.3,47.0,"POLYGON((-93.3 47.0,-93.3 47.1,-93.2 47.1,-93.2 47.0,-93.3 47.0))"
508,-93.2,47.0,"POLYGON((-93.2 47.0,-93.2 47.1,-93.1 47.1,-93.1 47.0,-93.2 47.0))"
172,-93.1,47.0,"POLYGON((-93.1 47.0,-93.1 47.1,-93.0 47.1,-93.0 47.0,-93.1 47.0))"
221,-93.8,47.1,"POLYGON((-93.8 47.1,-93.8 47.2,-93.7 47.2,-93.7 47.1,-93.8 47.1))"
1278,-93.7,47.1,"POLYGON((-93.7 47.1,-93.7 47.2,-93.6 47.2,-93.6 47.1,-93.7 47.1))"
2485,-93.6,47.1,"POLYGON((-93.6 47.1,-93.6 47.2,-93.5 47.2,-93.5 47.1,-93.6 47.1))"
2217,-93.5,47.1,"POLYGON((-93.5 47.1,-93.5 47.2,-93.4 47.2,-93.4 47.1,-93.5 47.1))"
813,-93.4,47.1,"POLYGON((-93.4 47.1,-93.4 47.2,-93.3 47.2,-93.3 47.1,-93.4 47.1))"
739,-93.3,47.1,"POLYGON((-93.3 47.1,-93.3 47.2,-93.2 47.2,-93.2 47.1,-93.3 47.1))"
719,-93.2,47.1,"POLYGON((-93.2 47.1,-93.2 47.2,-93.1 47.2,-93.1 47.1,-93.2 47.1))"
182,-93.1,47.1,"POLYGON((-93.1 47.1,-93.1 47.2,-93.0 47.2,-93.0 47.1,-93.1 47.1))"
15,-93.9,47.2,"POLYGON((-93.9 47.2,-93.9 47.3,-93.8 47.3,-93.8 47.2,-93.9 47.2))"
847,-93.8,47.2,"POLYGON((-93.8 47.2,-93.8 47.3,-93.7 47.3,-93.7 47.2,-93.8 47.2))"
2637,-93.7,47.2,"POLYGON((-93.7 47.2,-93.7 47.3,-93.6 47.3,-93.6 47.2,-93.7 47.2))"
7207,-93.6,47.2,"POLYGON((-93.6 47.2,-93.6 47.3,-93.5 47.3,-93.5 47.2,-93.6 47.2))"
3716,-93.5,47.2,"POLYGON((-93.5 47.2,-93.5 47.3,-93.4 47.3,-93.4 47.2,-93.5 47.2))"
1426,-93.4,47.2,"POLYGON((-93.4 47.2,-93.4 47.3,-93.3 47.3,-93.3 47.2,-93.4 47.2))"
756,-93.3,47.2,"POLYGON((-93.3 47.2,-93.3 47.3,-93.2 47.3,-93.2 47.2,-93.3 47.2))"
951,-93.2,47.2,"POLYGON((-93.2 47.2,-93.2 47.3,-93.1 47.3,-93.1 47.2,-93.2 47.2))"
272,-93.1,47.2,"POLYGON((-93.1 47.2,-93.1 47.3,-93.0 47.3,-93.0 47.2,-93.1 47.2))"
58,-94.1,47.3,"POLYGON((-94.1 47.3,-94.1 47.4,-94.0 47.4,-94.0 47.3,-94.1 47.3))"
517,-94.0,47.3,"POLYGON((-94.0 47.3,-94.0 47.4,-93.9 47.4,-93.9 47.3,-94.0 47.3))"
741,-93.9,47.3,"POLYGON((-93.9 47.3,-93.9 47.4,-93.8 47.4,-93.8 47.3,-93.9 47.3))"
1906,-93.8,47.3,"POLYGON((-93.8 47.3,-93.8 47.4,-93.7 47.4,-93.7 47.3,-93.8 47.3))"
1745,-93.7,47.3,"POLYGON((-93.7 47.3,-93.7 47.4,-93.6 47.4,-93.6 47.3,-93.7 47.3))"
1410,-93.6,47.3,"POLYGON((-93.6 47.3,-93.6 47.4,-93.5 47.4,-93.5 47.3,-93.6 47.3))"
1218,-93.5,47.3,"POLYGON((-93.5 47.3,-93.5 47.4,-93.4 47.4,-93.4 47.3,-93.5 47.3))"
1860,-93.4,47.3,"POLYGON((-93.4 47.3,-93.4 47.4,-93.3 47.4,-93.3 47.3,-93.4 47.3))"
1675,-93.3,47.3,"POLYGON((-93.3 47.3,-93.3 47.4,-93.2 47.4,-93.2 47.3,-93.3 47.3))"
2186,-93.2,47.3,"POLYGON((-93.2 47.3,-93.2 47.4,-93.1 47.4,-93.1 47.3,-93.2 47.3))"
884,-93.1,47.3,"POLYGON((-93.1 47.3,-93.1 47.4,-93.0 47.4,-93.0 47.3,-93.1 47.3))"
26,-94.5,47.4,"POLYGON((-94.5 47.4,-94.5 47.5,-94.4 47.5,-94.4 47.4,-94.5 47.4))"
251,-94.4,47.4,"POLYGON((-94.4 47.4,-94.4 47.5,-94.3 47.5,-94.3 47.4,-94.4 47.4))"
