count,lon,lat,area
77,-94.5,44.6,"POLYGON((-94.5 44.6,-94.5 44.7,-94.4 44.7,-94.4 44.6,-94.5 44.6))"
90,-94.4,44.6,"POLYGON((-94.4 44.6,-94.4 44.7,-94.3 44.7,-94.3 44.6,-94.4 44.6))"
42,-94.3,44.6,"POLYGON((-94.3 44.6,-94.3 44.7,-94.2 44.7,-94.2 44.6,-94.3 44.6))"
135,-94.5,44.7,"POLYGON((-94.5 44.7,-94.5 44.8,-94.4 44.8,-94.4 44.7,-94.5 44.7))"
258,-94.4,44.7,"POLYGON((-94.4 44.7,-94.4 44.8,-94.3 44.8,-94.3 44.7,-94.4 44.7))"
189,-94.3,44.7,"POLYGON((-94.3 44.7,-94.3 44.8,-94.2 44.8,-94.2 44.7,-94.3 44.7))"
229,-94.2,44.7,"POLYGON((-94.2 44.7,-94.2 44.8,-94.1 44.8,-94.1 44.7,-94.2 44.7))"
280,-94.1,44.7,"POLYGON((-94.1 44.7,-94.1 44.8,-94.0 44.8,-94.0 44.7,-94.1 44.7))"
1,-94.6,44.8,"POLYGON((-94.6 44.8,-94.6 44.9,-94.5 44.9,-94.5 44.8,-94.6 44.8))"
261,-94.5,44.8,"POLYGON((-94.5 44.8,-94.5 44.9,-94.4 44.9,-94.4 44.8,-94.5 44.8))"
285,-94.4,44.8,"POLYGON((-94.4 44.8,-94.4 44.9,-94.3 44.9,-94.3 44.8,-94.4 44.8))"
274,-94.3,44.8,"POLYGON((-94.3 44.8,-94.3 44.9,-94.2 44.9,-94.2 44.8,-94.3 44.8))"
307,-94.2,44.8,"POLYGON((-94.2 44.8,-94.2 44.9,-94.1 44.9,-94.1 44.8,-94.2 44.8))"
355,-94.1,44.8,"POLYGON((-94.1 44.8,-94.1 44.9,-94.0 44.9,-94.0 44.8,-94.1 44.8))"
8,-94.6,44.9,"POLYGON((-94.6 44.9,-94.6 45.0,-94.5 45.0,-94.5 44.9,-94.6 44.9))"
304,-94.5,44.9,"POLYGON((-94.5 44.9,-94.5 45.0,-94.4 45.0,-94.4 44.9,-94.5 44.9))"
444,-94.4,44.9,"POLYGON((-94.4 44.9,-94.4 45.0,-94.3 45.0,-94.3 44.9,-94.4 44.9))"
358,-94.3,44.9,"POLYGON((-94.3 44.9,-94.3 45.0,-94.2 45.0,-94.2 44.9,-94.3 44.9))"
240,-94.2,44.9,"POLYGON((-94.2 44.9,-94.2 45.0,-94.1 45.0,-94.1 44.9,-94.2 44.9))"
303,-94.1,44.9,"POLYGON((-94.1 44.9,-94.1 45.0,-94.0 45.0,-94.0 44.9,-94.1 44.9))"
