count,lon,lat,area
140,-93.8,45.2,"POLYGON((-93.8 45.2,-93.8 45.3,-93.7 45.3,-93.7 45.2,-93.8 45.2))"
504,-93.7,45.2,"POLYGON((-93.7 45.2,-93.7 45.3,-93.6 45.3,-93.6 45.2,-93.7 45.2))"
1572,-93.6,45.2,"POLYGON((-93.6 45.2,-93.6 45.3,-93.5 45.3,-93.5 45.2,-93.6 45.2))"
2,-94.1,45.3,"POLYGON((-94.1 45.3,-94.1 45.4,-94.0 45.4,-94.0 45.3,-94.1 45.3))"
152,-94.0,45.3,"POLYGON((-94.0 45.3,-94.0 45.4,-93.9 45.4,-93.9 45.3,-94.0 45.3))"
1570,-93.9,45.3,"POLYGON((-93.9 45.3,-93.9 45.4,-93.8 45.4,-93.8 45.3,-93.9 45.3))"
7090,-93.8,45.3,"POLYGON((-93.8 45.3,-93.8 45.4,-93.7 45.4,-93.7 45.3,-93.8 45.3))"
4246,-93.7,45.3,"POLYGON((-93.7 45.3,-93.7 45.4,-93.6 45.4,-93.6 45.3,-93.7 45.3))"
6330,-93.6,45.3,"POLYGON((-93.6 45.3,-93.6 45.4,-93.5 45.4,-93.5 45.3,-93.6 45.3))"
198,-94.2,45.4,"POLYGON((-94.2 45.4,-94.2 45.5,-94.1 45.5,-94.1 45.4,-94.2 45.4))"
946,-94.1,45.4,"POLYGON((-94.1 45.4,-94.1 45.5,-94.0 45.5,-94.0 45.4,-94.1 45.4))"
1704,-94.0,45.4,"POLYGON((-94.0 45.4,-94.0 45.5,-93.9 45.5,-93.9 45.4,-94.0 45.4))"
2518,-93.9,45.4,"POLYGON((-93.9 45.4,-93.9 45.5,-93.8 45.5,-93.8 45.4,-93.9 45.4))"
1152,-93.8,45.4,"POLYGON((-93.8 45.4,-93.8 45.5,-93.7 45.5,-93.7 45.4,-93.8 45.4))"
4262,-93.7,45.4,"POLYGON((-93.7 45.4,-93.7 45.5,-93.6 45.5,-93.6 45.4,-93.7 45.4))"
4135,-93.6,45.4,"POLYGON((-93.6 45.4,-93.6 45.5,-93.5 45.5,-93.5 45.4,-93.6 45.4))"
1961,-94.2,45.5,"POLYGON((-94.2 45.5,-94.2 45.6,-94.1 45.6,-94.1 45.5,-94.2 45.5))"
430,-94.1,45.5,"POLYGON((-94.1 45.5,-94.1 45.6,-94.0 45.6,-94.0 45.5,-94.1 45.5))"
910,-94.0,45.5,"POLYGON((-94.0 45.5,-94.0 45.6,-93.9 45.6,-93.9 45.5,-94.0 45.5))"
603,-93.9,45.5,"POLYGON((-93.9 45.5,-93.9 45.6,-93.8 45.6,-93.8 45.5,-93.9 45.5))"
179,-93.8,45.5,"POLYGON((-93.8 45.5,-93.8 45.6,-93.7 45.6,-93.7 45.5,-93.8 45.5))"
1257,-93.7,45.5,"POLYGON((-93.7 45.5,-93.7 45.6,-93.6 45.6,-93.6 45.5,-93.7 45.5))"
1506,-93.6,45.5,"POLYGON((-93.6 45.5,-93.6 45.6,-93.5 45.6,-93.5 45.5,-93.6 45.5))"
