count,lon,lat,area
5,-94.7,38.0,"POLYGON((-94.7 38.0,-94.7 38.1,-94.6 38.1,-94.6 38.0,-94.7 38.0))"
221,-94.6,38.0,"POLYGON((-94.6 38.0,-94.6 38.1,-94.5 38.1,-94.5 38.0,-94.6 38.0))"
59,-94.5,38.0,"POLYGON((-94.5 38.0,-94.5 38.1,-94.4 38.1,-94.4 38.0,-94.5 38.0))"
705,-94.4,38.0,"POLYGON((-94.4 38.0,-94.4 38.1,-94.3 38.1,-94.3 38.0,-94.4 38.0))"
49,-94.3,38.0,"POLYGON((-94.3 38.0,-94.3 38.1,-94.2 38.1,-94.2 38.0,-94.3 38.0))"
39,-94.2,38.0,"POLYGON((-94.2 38.0,-94.2 38.1,-94.1 38.1,-94.1 38.0,-94.2 38.0))"
118,-94.1,38.0,"POLYGON((-94.1 38.0,-94.1 38.1,-94.0 38.1,-94.0 38.0,-94.1 38.0))"
12,-94.7,38.1,"POLYGON((-94.7 38.1,-94.7 38.2,-94.6 38.2,-94.6 38.1,-94.7 38.1))"
212,-94.6,38.1,"POLYGON((-94.6 38.1,-94.6 38.2,-94.5 38.2,-94.5 38.1,-94.6 38.1))"
95,-94.5,38.1,"POLYGON((-94.5 38.1,-94.5 38.2,-94.4 38.2,-94.4 38.1,-94.5 38.1))"
214,-94.4,38.1,"POLYGON((-94.4 38.1,-94.4 38.2,-94.3 38.2,-94.3 38.1,-94.4 38.1))"
103,-94.3,38.1,"POLYGON((-94.3 38.1,-94.3 38.2,-94.2 38.2,-94.2 38.1,-94.3 38.1))"
101,-94.2,38.1,"POLYGON((-94.2 38.1,-94.2 38.2,-94.1 38.2,-94.1 38.1,-94.2 38.1))"
40,-94.1,38.1,"POLYGON((-94.1 38.1,-94.1 38.2,-94.0 38.2,-94.0 38.1,-94.1 38.1))"
6,-94.7,38.2,"POLYGON((-94.7 38.2,-94.7 38.3,-94.6 38.3,-94.6 38.2,-94.7 38.2))"
263,-94.6,38.2,"POLYGON((-94.6 38.2,-94.6 38.3,-94.5 38.3,-94.5 38.2,-94.6 38.2))"
195,-94.5,38.2,"POLYGON((-94.5 38.2,-94.5 38.3,-94.4 38.3,-94.4 38.2,-94.5 38.2))"
405,-94.4,38.2,"POLYGON((-94.4 38.2,-94.4 38.3,-94.3 38.3,-94.3 38.2,-94.4 38.2))"
161,-94.3,38.2,"POLYGON((-94.3 38.2,-94.3 38.3,-94.2 38.3,-94.2 38.2,-94.3 38.2))"
138,-94.2,38.2,"POLYGON((-94.2 38.2,-94.2 38.3,-94.1 38.3,-94.1 38.2,-94.2 38.2))"
48,-94.1,38.2,"POLYGON((-94.1 38.2,-94.1 38.3,-94.0 38.3,-94.0 38.2,-94.1 38.2))"
11,-94.7,38.3,"POLYGON((-94.7 38.3,-94.7 38.4,-94.6 38.4,-94.6 38.3,-94.7 38.3))"
298,-94.6,38.3,"POLYGON((-94.6 38.3,-94.6 38.4,-94.5 38.4,-94.5 38.3,-94.6 38.3))"
166,-94.5,38.3,"POLYGON((-94.5 38.3,-94.5 38.4,-94.4 38.4,-94.4 38.3,-94.5 38.3))"
852,-94.4,38.3,"POLYGON((-94.4 38.3,-94.4 38.4,-94.3 38.4,-94.3 38.3,-94.4 38.3))"
143,-94.3,38.3,"POLYGON((-94.3 38.3,-94.3 38.4,-94.2 38.4,-94.2 38.3,-94.3 38.3))"
167,-94.2,38.3,"POLYGON((-94.2 38.3,-94.2 38.4,-94.1 38.4,-94.1 38.3,-94.2 38.3))"
33,-94.1,38.3,"POLYGON((-94.1 38.3,-94.1 38.4,-94.0 38.4,-94.0 38.3,-94.1 38.3))"
126,-94.7,38.4,"POLYGON((-94.7 38.4,-94.7 38.5,-94.6 38.5,-94.6 38.4,-94.7 38.4))"
187,-94.6,38.4,"POLYGON((-94.6 38.4,-94.6 38.5,-94.5 38.5,-94.5 38.4,-94.6 38.4))"
210,-94.5,38.4,"POLYGON((-94.5 38.4,-94.5 38.5,-94.4 38.5,-94.4 38.4,-94.5 38.4))"
574,-94.4,38.4,"POLYGON((-94.4 38.4,-94.4 38.5,-94.3 38.5,-94.3 38.4,-94.4 38.4))"
136,-94.3,38.4,"POLYGON((-94.3 38.4,-94.3 38.5,-94.2 38.5,-94.2 38.4,-94.3 38.4))"
101,-94.2,38.4,"POLYGON((-94.2 38.4,-94.2 38.5,-94.1 38.5,-94.1 38.4,-94.2 38.4))"
19,-94.1,38.4,"POLYGON((-94.1 38.4,-94.1 38.5,-94.0 38.5,-94.0 38.4,-94.1 38.4))"
