count,lon,lat,area
631,-94.7,38.8,"POLYGON((-94.7 38.8,-94.7 38.9,-94.6 38.9,-94.6 38.8,-94.7 38.8))"
13006,-94.6,38.8,"POLYGON((-94.6 38.8,-94.6 38.9,-94.5 38.9,-94.5 38.8,-94.6 38.8))"
4857,-94.5,38.8,"POLYGON((-94.5 38.8,-94.5 38.9,-94.4 38.9,-94.4 38.8,-94.5 38.8))"
7912,-94.4,38.8,"POLYGON((-94.4 38.8,-94.4 38.9,-94.3 38.9,-94.3 38.8,-94.4 38.8))"
1208,-94.3,38.8,"POLYGON((-94.3 38.8,-94.3 38.9,-94.2 38.9,-94.2 38.8,-94.3 38.8))"
1649,-94.2,38.8,"POLYGON((-94.2 38.8,-94.2 38.9,-94.1 38.9,-94.1 38.8,-94.2 38.8))"
4009,-94.7,38.9,"POLYGON((-94.7 38.9,-94.7 39.0,-94.6 39.0,-94.6 38.9,-94.7 38.9))"
43336,-94.6,38.9,"POLYGON((-94.6 38.9,-94.6 39.0,-94.5 39.0,-94.5 38.9,-94.6 38.9))"
26583,-94.5,38.9,"POLYGON((-94.5 38.9,-94.5 39.0,-94.4 39.0,-94.4 38.9,-94.5 38.9))"
25535,-94.4,38.9,"POLYGON((-94.4 38.9,-94.4 39.0,-94.3 39.0,-94.3 38.9,-94.4 38.9))"
12366,-94.3,38.9,"POLYGON((-94.3 38.9,-94.3 39.0,-94.2 39.0,-94.2 38.9,-94.3 38.9))"
2878,-94.2,38.9,"POLYGON((-94.2 38.9,-94.2 39.0,-94.1 39.0,-94.1 38.9,-94.2 38.9))"
5362,-94.7,39.0,"POLYGON((-94.7 39.0,-94.7 39.1,-94.6 39.1,-94.6 39.0,-94.7 39.0))"
82363,-94.6,39.0,"POLYGON((-94.6 39.0,-94.6 39.1,-94.5 39.1,-94.5 39.0,-94.6 39.0))"
46994,-94.5,39.0,"POLYGON((-94.5 39.0,-94.5 39.1,-94.4 39.1,-94.4 39.0,-94.5 39.0))"
28444,-94.4,39.0,"POLYGON((-94.4 39.0,-94.4 39.1,-94.3 39.1,-94.3 39.0,-94.4 39.0))"
21951,-94.3,39.0,"POLYGON((-94.3 39.0,-94.3 39.1,-94.2 39.1,-94.2 39.0,-94.3 39.0))"
4662,-94.2,39.0,"POLYGON((-94.2 39.0,-94.2 39.1,-94.1 39.1,-94.1 39.0,-94.2 39.0))"
163,-94.7,39.1,"POLYGON((-94.7 39.1,-94.7 39.2,-94.6 39.2,-94.6 39.1,-94.7 39.1))"
18938,-94.6,39.1,"POLYGON((-94.6 39.1,-94.6 39.2,-94.5 39.2,-94.5 39.1,-94.6 39.1))"
8602,-94.5,39.1,"POLYGON((-94.5 39.1,-94.5 39.2,-94.4 39.2,-94.4 39.1,-94.5 39.1))"
10614,-94.4,39.1,"POLYGON((-94.4 39.1,-94.4 39.2,-94.3 39.2,-94.3 39.1,-94.4 39.1))"
1798,-94.3,39.1,"POLYGON((-94.3 39.1,-94.3 39.2,-94.2 39.2,-94.2 39.1,-94.3 39.1))"
1888,-94.2,39.1,"POLYGON((-94.2 39.1,-94.2 39.2,-94.1 39.2,-94.1 39.1,-94.2 39.1))"
7,-94.4,39.2,"POLYGON((-94.4 39.2,-94.4 39.3,-94.3 39.3,-94.3 39.2,-94.4 39.2))"
56,-94.3,39.2,"POLYGON((-94.3 39.2,-94.3 39.3,-94.2 39.3,-94.2 39.2,-94.3 39.2))"
12,-94.2,39.2,"POLYGON((-94.2 39.2,-94.2 39.3,-94.1 39.3,-94.1 39.2,-94.2 39.2))"
