count,lon,lat,area
263,-91.1,37.7,"POLYGON((-91.1 37.7,-91.1 37.8,-91.0 37.8,-91.0 37.7,-91.1 37.7))"
216,-91.0,37.7,"POLYGON((-91.0 37.7,-91.0 37.8,-90.9 37.8,-90.9 37.7,-91.0 37.7))"
549,-90.9,37.7,"POLYGON((-90.9 37.7,-90.9 37.8,-90.8 37.8,-90.8 37.7,-90.9 37.7))"
557,-90.8,37.7,"POLYGON((-90.8 37.7,-90.8 37.8,-90.7 37.8,-90.7 37.7,-90.8 37.7))"
840,-90.7,37.7,"POLYGON((-90.7 37.7,-90.7 37.8,-90.6 37.8,-90.6 37.7,-90.7 37.7))"
229,-91.1,37.8,"POLYGON((-91.1 37.8,-91.1 37.9,-91.0 37.9,-91.0 37.8,-91.1 37.8))"
325,-91.0,37.8,"POLYGON((-91.0 37.8,-91.0 37.9,-90.9 37.9,-90.9 37.8,-91.0 37.8))"
439,-90.9,37.8,"POLYGON((-90.9 37.8,-90.9 37.9,-90.8 37.9,-90.8 37.8,-90.9 37.8))"
1002,-90.8,37.8,"POLYGON((-90.8 37.8,-90.8 37.9,-90.7 37.9,-90.7 37.8,-90.8 37.8))"
1487,-90.7,37.8,"POLYGON((-90.7 37.8,-90.7 37.9,-90.6 37.9,-90.6 37.8,-90.7 37.8))"
207,-91.1,37.9,"POLYGON((-91.1 37.9,-91.1 38.0,-91.0 38.0,-91.0 37.9,-91.1 37.9))"
401,-91.0,37.9,"POLYGON((-91.0 37.9,-91.0 38.0,-90.9 38.0,-90.9 37.9,-91.0 37.9))"
1156,-90.9,37.9,"POLYGON((-90.9 37.9,-90.9 38.0,-90.8 38.0,-90.8 37.9,-90.9 37.9))"
3438,-90.8,37.9,"POLYGON((-90.8 37.9,-90.8 38.0,-90.7 38.0,-90.7 37.9,-90.8 37.9))"
604,-90.7,37.9,"POLYGON((-90.7 37.9,-90.7 38.0,-90.6 38.0,-90.6 37.9,-90.7 37.9))"
1699,-91.1,38.0,"POLYGON((-91.1 38.0,-91.1 38.1,-91.0 38.1,-91.0 38.0,-91.1 38.0))"
847,-91.0,38.0,"POLYGON((-91.0 38.0,-91.0 38.1,-90.9 38.1,-90.9 38.0,-91.0 38.0))"
1253,-90.9,38.0,"POLYGON((-90.9 38.0,-90.9 38.1,-90.8 38.1,-90.8 38.0,-90.9 38.0))"
1498,-90.8,38.0,"POLYGON((-90.8 38.0,-90.8 38.1,-90.7 38.1,-90.7 38.0,-90.8 38.0))"
651,-90.7,38.0,"POLYGON((-90.7 38.0,-90.7 38.1,-90.6 38.1,-90.6 38.0,-90.7 38.0))"
6872,-91.1,38.1,"POLYGON((-91.1 38.1,-91.1 38.2,-91.0 38.2,-91.0 38.1,-91.1 38.1))"
409,-91.0,38.1,"POLYGON((-91.0 38.1,-91.0 38.2,-90.9 38.2,-90.9 38.1,-91.0 38.1))"
813,-90.9,38.1,"POLYGON((-90.9 38.1,-90.9 38.2,-90.8 38.2,-90.8 38.1,-90.9 38.1))"
462,-90.8,38.1,"POLYGON((-90.8 38.1,-90.8 38.2,-90.7 38.2,-90.7 38.1,-90.8 38.1))"
14,-90.7,38.1,"POLYGON((-90.7 38.1,-90.7 38.2,-90.6 38.2,-90.6 38.1,-90.7 38.1))"
33,-91.1,38.2,"POLYGON((-91.1 38.2,-91.1 38.3,-91.0 38.3,-91.0 38.2,-91.1 38.2))"
11,-91.0,38.2,"POLYGON((-91.0 38.2,-91.0 38.3,-90.9 38.3,-90.9 38.2,-91.0 38.2))"
127,-90.9,38.2,"POLYGON((-90.9 38.2,-90.9 38.3,-90.8 38.3,-90.8 38.2,-90.9 38.2))"
2,-90.8,38.2,"POLYGON((-90.8 38.2,-90.8 38.3,-90.7 38.3,-90.7 38.2,-90.8 38.2))"
