count,lon,lat,area
1,-90.8,31.6,"POLYGON((-90.8 31.6,-90.8 31.7,-90.7 31.7,-90.7 31.6,-90.8 31.6))"
15,-90.7,31.6,"POLYGON((-90.7 31.6,-90.7 31.7,-90.6 31.7,-90.6 31.6,-90.7 31.6))"
7,-90.6,31.6,"POLYGON((-90.6 31.6,-90.6 31.7,-90.5 31.7,-90.5 31.6,-90.6 31.6))"
110,-90.5,31.6,"POLYGON((-90.5 31.6,-90.5 31.7,-90.4 31.7,-90.4 31.6,-90.5 31.6))"
191,-90.4,31.6,"POLYGON((-90.4 31.6,-90.4 31.7,-90.3 31.7,-90.3 31.6,-90.4 31.6))"
173,-90.8,31.7,"POLYGON((-90.8 31.7,-90.8 31.8,-90.7 31.8,-90.7 31.7,-90.8 31.7))"
357,-90.7,31.7,"POLYGON((-90.7 31.7,-90.7 31.8,-90.6 31.8,-90.6 31.7,-90.7 31.7))"
621,-90.6,31.7,"POLYGON((-90.6 31.7,-90.6 31.8,-90.5 31.8,-90.5 31.7,-90.6 31.7))"
869,-90.5,31.7,"POLYGON((-90.5 31.7,-90.5 31.8,-90.4 31.8,-90.4 31.7,-90.5 31.7))"
1569,-90.4,31.7,"POLYGON((-90.4 31.7,-90.4 31.8,-90.3 31.8,-90.3 31.7,-90.4 31.7))"
537,-90.3,31.7,"POLYGON((-90.3 31.7,-90.3 31.8,-90.2 31.8,-90.2 31.7,-90.3 31.7))"
354,-90.2,31.7,"POLYGON((-90.2 31.7,-90.2 31.8,-90.1 31.8,-90.1 31.7,-90.2 31.7))"
49,-90.8,31.8,"POLYGON((-90.8 31.8,-90.8 31.9,-90.7 31.9,-90.7 31.8,-90.8 31.8))"
232,-90.7,31.8,"POLYGON((-90.7 31.8,-90.7 31.9,-90.6 31.9,-90.6 31.8,-90.7 31.8))"
420,-90.6,31.8,"POLYGON((-90.6 31.8,-90.6 31.9,-90.5 31.9,-90.5 31.8,-90.6 31.8))"
1654,-90.5,31.8,"POLYGON((-90.5 31.8,-90.5 31.9,-90.4 31.9,-90.4 31.8,-90.5 31.8))"
3288,-90.4,31.8,"POLYGON((-90.4 31.8,-90.4 31.9,-90.3 31.9,-90.3 31.8,-90.4 31.8))"
592,-90.3,31.8,"POLYGON((-90.3 31.8,-90.3 31.9,-90.2 31.9,-90.2 31.8,-90.3 31.8))"
714,-90.2,31.8,"POLYGON((-90.2 31.8,-90.2 31.9,-90.1 31.9,-90.1 31.8,-90.2 31.8))"
56,-90.8,31.9,"POLYGON((-90.8 31.9,-90.8 32.0,-90.7 32.0,-90.7 31.9,-90.8 31.9))"
291,-90.7,31.9,"POLYGON((-90.7 31.9,-90.7 32.0,-90.6 32.0,-90.6 31.9,-90.7 31.9))"
387,-90.6,31.9,"POLYGON((-90.6 31.9,-90.6 32.0,-90.5 32.0,-90.5 31.9,-90.6 31.9))"
905,-90.5,31.9,"POLYGON((-90.5 31.9,-90.5 32.0,-90.4 32.0,-90.4 31.9,-90.5 31.9))"
4150,-90.4,31.9,"POLYGON((-90.4 31.9,-90.4 32.0,-90.3 32.0,-90.3 31.9,-90.4 31.9))"
1091,-90.3,31.9,"POLYGON((-90.3 31.9,-90.3 32.0,-90.2 32.0,-90.2 31.9,-90.3 31.9))"
91,-90.2,31.9,"POLYGON((-90.2 31.9,-90.2 32.0,-90.1 32.0,-90.1 31.9,-90.2 31.9))"
32,-90.8,32.0,"POLYGON((-90.8 32.0,-90.8 32.1,-90.7 32.1,-90.7 32.0,-90.8 32.0))"
367,-90.7,32.0,"POLYGON((-90.7 32.0,-90.7 32.1,-90.6 32.1,-90.6 32.0,-90.7 32.0))"
198,-90.6,32.0,"POLYGON((-90.6 32.0,-90.6 32.1,-90.5 32.1,-90.5 32.0,-90.6 32.0))"
330,-90.5,32.0,"POLYGON((-90.5 32.0,-90.5 32.1,-90.4 32.1,-90.4 32.0,-90.5 32.0))"
929,-90.4,32.0,"POLYGON((-90.4 32.0,-90.4 32.1,-90.3 32.1,-90.3 32.0,-90.4 32.0))"
421,-90.3,32.0,"POLYGON((-90.3 32.0,-90.3 32.1,-90.2 32.1,-90.2 32.0,-90.3 32.0))"
