count,lon,lat,area
39,-90.8,32.0,"POLYGON((-90.8 32.0,-90.8 32.1,-90.7 32.1,-90.7 32.0,-90.8 32.0))"
1022,-90.7,32.0,"POLYGON((-90.7 32.0,-90.7 32.1,-90.6 32.1,-90.6 32.0,-90.7 32.0))"
471,-90.6,32.0,"POLYGON((-90.6 32.0,-90.6 32.1,-90.5 32.1,-90.5 32.0,-90.6 32.0))"
777,-90.5,32.0,"POLYGON((-90.5 32.0,-90.5 32.1,-90.4 32.1,-90.4 32.0,-90.5 32.0))"
1204,-90.4,32.0,"POLYGON((-90.4 32.0,-90.4 32.1,-90.3 32.1,-90.3 32.0,-90.4 32.0))"
1095,-90.3,32.0,"POLYGON((-90.3 32.0,-90.3 32.1,-90.2 32.1,-90.2 32.0,-90.3 32.0))"
189,-90.8,32.1,"POLYGON((-90.8 32.1,-90.8 32.2,-90.7 32.2,-90.7 32.1,-90.8 32.1))"
1825,-90.7,32.1,"POLYGON((-90.7 32.1,-90.7 32.2,-90.6 32.2,-90.6 32.1,-90.7 32.1))"
1344,-90.6,32.1,"POLYGON((-90.6 32.1,-90.6 32.2,-90.5 32.2,-90.5 32.1,-90.6 32.1))"
1049,-90.5,32.1,"POLYGON((-90.5 32.1,-90.5 32.2,-90.4 32.2,-90.4 32.1,-90.5 32.1))"
3730,-90.4,32.1,"POLYGON((-90.4 32.1,-90.4 32.2,-90.3 32.2,-90.3 32.1,-90.4 32.1))"
5206,-90.3,32.1,"POLYGON((-90.3 32.1,-90.3 32.2,-90.2 32.2,-90.2 32.1,-90.3 32.1))"
1,-90.2,32.1,"POLYGON((-90.2 32.1,-90.2 32.2,-90.1 32.2,-90.1 32.1,-90.2 32.1))"
88,-90.8,32.2,"POLYGON((-90.8 32.2,-90.8 32.3,-90.7 32.3,-90.7 32.2,-90.8 32.2))"
1103,-90.7,32.2,"POLYGON((-90.7 32.2,-90.7 32.3,-90.6 32.3,-90.6 32.2,-90.7 32.2))"
917,-90.6,32.2,"POLYGON((-90.6 32.2,-90.6 32.3,-90.5 32.3,-90.5 32.2,-90.6 32.2))"
2518,-90.5,32.2,"POLYGON((-90.5 32.2,-90.5 32.3,-90.4 32.3,-90.4 32.2,-90.5 32.2))"
5556,-90.4,32.2,"POLYGON((-90.4 32.2,-90.4 32.3,-90.3 32.3,-90.3 32.2,-90.4 32.2))"
23019,-90.3,32.2,"POLYGON((-90.3 32.2,-90.3 32.3,-90.2 32.3,-90.2 32.2,-90.3 32.2))"
1982,-90.2,32.2,"POLYGON((-90.2 32.2,-90.2 32.3,-90.1 32.3,-90.1 32.2,-90.2 32.2))"
5,-90.8,32.3,"POLYGON((-90.8 32.3,-90.8 32.4,-90.7 32.4,-90.7 32.3,-90.8 32.3))"
1433,-90.7,32.3,"POLYGON((-90.7 32.3,-90.7 32.4,-90.6 32.4,-90.6 32.3,-90.7 32.3))"
1419,-90.6,32.3,"POLYGON((-90.6 32.3,-90.6 32.4,-90.5 32.4,-90.5 32.3,-90.6 32.3))"
1874,-90.5,32.3,"POLYGON((-90.5 32.3,-90.5 32.4,-90.4 32.4,-90.4 32.3,-90.5 32.3))"
11057,-90.4,32.3,"POLYGON((-90.4 32.3,-90.4 32.4,-90.3 32.4,-90.3 32.3,-90.4 32.3))"
24619,-90.3,32.3,"POLYGON((-90.3 32.3,-90.3 32.4,-90.2 32.4,-90.2 32.3,-90.3 32.3))"
30058,-90.2,32.3,"POLYGON((-90.2 32.3,-90.2 32.4,-90.1 32.4,-90.1 32.3,-90.2 32.3))"
59,-90.1,32.3,"POLYGON((-90.1 32.3,-90.1 32.4,-90.0 32.4,-90.0 32.3,-90.1 32.3))"
4,-90.7,32.4,"POLYGON((-90.7 32.4,-90.7 32.5,-90.6 32.5,-90.6 32.4,-90.7 32.4))"
416,-90.6,32.4,"POLYGON((-90.6 32.4,-90.6 32.5,-90.5 32.5,-90.5 32.4,-90.6 32.4))"
909,-90.5,32.4,"POLYGON((-90.5 32.4,-90.5 32.5,-90.4 32.5,-90.4 32.4,-90.5 32.4))"
1228,-90.4,32.4,"POLYGON((-90.4 32.4,-90.4 32.5,-90.3 32.5,-90.3 32.4,-90.4 32.4))"
909,-90.3,32.4,"POLYGON((-90.3 32.4,-90.3 32.5,-90.2 32.5,-90.2 32.4,-90.3 32.4))"
2,-90.2,32.4,"POLYGON((-90.2 32.4,-90.2 32.5,-90.1 32.5,-90.1 32.4,-90.2 32.4))"
23,-90.6,32.5,"POLYGON((-90.6 32.5,-90.6 32.6,-90.5 32.6,-90.5 32.5,-90.6 32.5))"
231,-90.5,32.5,"POLYGON((-90.5 32.5,-90.5 32.6,-90.4 32.6,-90.4 32.5,-90.5 32.5))"
