count,lon,lat,area
16,-112.5,47.5,"POLYGON((-112.5 47.5,-112.5 47.6,-112.4 47.6,-112.4 47.5,-112.5 47.5))"
105,-112.4,47.5,"POLYGON((-112.4 47.5,-112.4 47.6,-112.3 47.6,-112.3 47.5,-112.4 47.5))"
134,-112.3,47.5,"POLYGON((-112.3 47.5,-112.3 47.6,-112.2 47.6,-112.2 47.5,-112.3 47.5))"
138,-112.2,47.5,"POLYGON((-112.2 47.5,-112.2 47.6,-112.1 47.6,-112.1 47.5,-112.2 47.5))"
131,-112.1,47.5,"POLYGON((-112.1 47.5,-112.1 47.6,-112.0 47.6,-112.0 47.5,-112.1 47.5))"
124,-112.0,47.5,"POLYGON((-112.0 47.5,-112.0 47.6,-111.9 47.6,-111.9 47.5,-112.0 47.5))"
1,-113.0,47.6,"POLYGON((-113.0 47.6,-113.0 47.7,-112.9 47.7,-112.9 47.6,-113.0 47.6))"
30,-112.9,47.6,"POLYGON((-112.9 47.6,-112.9 47.7,-112.8 47.7,-112.8 47.6,-112.9 47.6))"
78,-112.8,47.6,"POLYGON((-112.8 47.6,-112.8 47.7,-112.7 47.7,-112.7 47.6,-112.8 47.6))"
81,-112.7,47.6,"POLYGON((-112.7 47.6,-112.7 47.7,-112.6 47.7,-112.6 47.6,-112.7 47.6))"
66,-112.6,47.6,"POLYGON((-112.6 47.6,-112.6 47.7,-112.5 47.7,-112.5 47.6,-112.6 47.6))"
67,-112.5,47.6,"POLYGON((-112.5 47.6,-112.5 47.7,-112.4 47.7,-112.4 47.6,-112.5 47.6))"
89,-112.4,47.6,"POLYGON((-112.4 47.6,-112.4 47.7,-112.3 47.7,-112.3 47.6,-112.4 47.6))"
126,-112.3,47.6,"POLYGON((-112.3 47.6,-112.3 47.7,-112.2 47.7,-112.2 47.6,-112.3 47.6))"
94,-112.2,47.6,"POLYGON((-112.2 47.6,-112.2 47.7,-112.1 47.7,-112.1 47.6,-112.2 47.6))"
151,-112.1,47.6,"POLYGON((-112.1 47.6,-112.1 47.7,-112.0 47.7,-112.0 47.6,-112.1 47.6))"
783,-112.0,47.6,"POLYGON((-112.0 47.6,-112.0 47.7,-111.9 47.7,-111.9 47.6,-112.0 47.6))"
