count,lon,lat,area
4,-77.1,34.8,"POLYGON((-77.1 34.8,-77.1 34.9,-77.0 34.9,-77.0 34.8,-77.1 34.8))"
2380,-77.0,34.8,"POLYGON((-77.0 34.8,-77.0 34.9,-76.9 34.9,-76.9 34.8,-77.0 34.8))"
2239,-76.9,34.8,"POLYGON((-76.9 34.8,-76.9 34.9,-76.8 34.9,-76.8 34.8,-76.9 34.8))"
1482,-76.8,34.8,"POLYGON((-76.8 34.8,-76.8 34.9,-76.7 34.9,-76.7 34.8,-76.8 34.8))"
5,-76.7,34.8,"POLYGON((-76.7 34.8,-76.7 34.9,-76.6 34.9,-76.6 34.8,-76.7 34.8))"
15,-77.2,34.9,"POLYGON((-77.2 34.9,-77.2 35.0,-77.1 35.0,-77.1 34.9,-77.2 34.9))"
7,-77.1,34.9,"POLYGON((-77.1 34.9,-77.1 35.0,-77.0 35.0,-77.0 34.9,-77.1 34.9))"
3892,-77.0,34.9,"POLYGON((-77.0 34.9,-77.0 35.0,-76.9 35.0,-76.9 34.9,-77.0 34.9))"
592,-76.9,34.9,"POLYGON((-76.9 34.9,-76.9 35.0,-76.8 35.0,-76.8 34.9,-76.9 34.9))"
816,-76.8,34.9,"POLYGON((-76.8 34.9,-76.8 35.0,-76.7 35.0,-76.7 34.9,-76.8 34.9))"
447,-76.7,34.9,"POLYGON((-76.7 34.9,-76.7 35.0,-76.6 35.0,-76.6 34.9,-76.7 34.9))"
5,-77.3,35.0,"POLYGON((-77.3 35.0,-77.3 35.1,-77.2 35.1,-77.2 35.0,-77.3 35.0))"
4296,-77.2,35.0,"POLYGON((-77.2 35.0,-77.2 35.1,-77.1 35.1,-77.1 35.0,-77.2 35.0))"
10438,-77.1,35.0,"POLYGON((-77.1 35.0,-77.1 35.1,-77.0 35.1,-77.0 35.0,-77.1 35.0))"
4045,-77.0,35.0,"POLYGON((-77.0 35.0,-77.0 35.1,-76.9 35.1,-76.9 35.0,-77.0 35.0))"
3,-77.5,35.1,"POLYGON((-77.5 35.1,-77.5 35.2,-77.4 35.2,-77.4 35.1,-77.5 35.1))"
834,-77.4,35.1,"POLYGON((-77.4 35.1,-77.4 35.2,-77.3 35.2,-77.3 35.1,-77.4 35.1))"
717,-77.3,35.1,"POLYGON((-77.3 35.1,-77.3 35.2,-77.2 35.2,-77.2 35.1,-77.3 35.1))"
4530,-77.2,35.1,"POLYGON((-77.2 35.1,-77.2 35.2,-77.1 35.2,-77.1 35.1,-77.2 35.1))"
10199,-77.1,35.1,"POLYGON((-77.1 35.1,-77.1 35.2,-77.0 35.2,-77.0 35.1,-77.1 35.1))"
668,-77.0,35.1,"POLYGON((-77.0 35.1,-77.0 35.2,-76.9 35.2,-76.9 35.1,-77.0 35.1))"
820,-77.5,35.2,"POLYGON((-77.5 35.2,-77.5 35.3,-77.4 35.3,-77.4 35.2,-77.5 35.2))"
800,-77.4,35.2,"POLYGON((-77.4 35.2,-77.4 35.3,-77.3 35.3,-77.3 35.2,-77.4 35.2))"
1303,-77.3,35.2,"POLYGON((-77.3 35.2,-77.3 35.3,-77.2 35.3,-77.2 35.2,-77.3 35.2))"
2329,-77.2,35.2,"POLYGON((-77.2 35.2,-77.2 35.3,-77.1 35.3,-77.1 35.2,-77.2 35.2))"
1005,-77.1,35.2,"POLYGON((-77.1 35.2,-77.1 35.3,-77.0 35.3,-77.0 35.2,-77.1 35.2))"
386,-77.0,35.2,"POLYGON((-77.0 35.2,-77.0 35.3,-76.9 35.3,-76.9 35.2,-77.0 35.2))"
147,-77.5,35.3,"POLYGON((-77.5 35.3,-77.5 35.4,-77.4 35.4,-77.4 35.3,-77.5 35.3))"
455,-77.4,35.3,"POLYGON((-77.4 35.3,-77.4 35.4,-77.3 35.4,-77.3 35.3,-77.4 35.3))"
1073,-77.3,35.3,"POLYGON((-77.3 35.3,-77.3 35.4,-77.2 35.4,-77.2 35.3,-77.3 35.3))"
1939,-77.2,35.3,"POLYGON((-77.2 35.3,-77.2 35.4,-77.1 35.4,-77.1 35.3,-77.2 35.3))"
15,-77.1,35.3,"POLYGON((-77.1 35.3,-77.1 35.4,-77.0 35.4,-77.0 35.3,-77.1 35.3))"
1,-77.0,35.3,"POLYGON((-77.0 35.3,-77.0 35.4,-76.9 35.4,-76.9 35.3,-77.0 35.3))"
14,-77.2,35.4,"POLYGON((-77.2 35.4,-77.2 35.5,-77.1 35.5,-77.1 35.4,-77.2 35.4))"
