count,lon,lat,area
17,-80.1,36.2,"POLYGON((-80.1 36.2,-80.1 36.3,-80.0 36.3,-80.0 36.2,-80.1 36.2))"
67,-80.0,36.2,"POLYGON((-80.0 36.2,-80.0 36.3,-79.9 36.3,-79.9 36.2,-80.0 36.2))"
26,-79.9,36.2,"POLYGON((-79.9 36.2,-79.9 36.3,-79.8 36.3,-79.8 36.2,-79.9 36.2))"
30,-79.8,36.2,"POLYGON((-79.8 36.2,-79.8 36.3,-79.7 36.3,-79.7 36.2,-79.8 36.2))"
47,-79.7,36.2,"POLYGON((-79.7 36.2,-79.7 36.3,-79.6 36.3,-79.6 36.2,-79.7 36.2))"
70,-79.6,36.2,"POLYGON((-79.6 36.2,-79.6 36.3,-79.5 36.3,-79.5 36.2,-79.6 36.2))"
19,-80.1,36.3,"POLYGON((-80.1 36.3,-80.1 36.4,-80.0 36.4,-80.0 36.3,-80.1 36.3))"
87,-80.0,36.3,"POLYGON((-80.0 36.3,-80.0 36.4,-79.9 36.4,-79.9 36.3,-80.0 36.3))"
42,-79.9,36.3,"POLYGON((-79.9 36.3,-79.9 36.4,-79.8 36.4,-79.8 36.3,-79.9 36.3))"
71,-79.8,36.3,"POLYGON((-79.8 36.3,-79.8 36.4,-79.7 36.4,-79.7 36.3,-79.8 36.3))"
36,-79.7,36.3,"POLYGON((-79.7 36.3,-79.7 36.4,-79.6 36.4,-79.6 36.3,-79.7 36.3))"
22,-79.6,36.3,"POLYGON((-79.6 36.3,-79.6 36.4,-79.5 36.4,-79.5 36.3,-79.6 36.3))"
12,-80.1,36.4,"POLYGON((-80.1 36.4,-80.1 36.5,-80.0 36.5,-80.0 36.4,-80.1 36.4))"
35,-80.0,36.4,"POLYGON((-80.0 36.4,-80.0 36.5,-79.9 36.5,-79.9 36.4,-80.0 36.4))"
60,-79.9,36.4,"POLYGON((-79.9 36.4,-79.9 36.5,-79.8 36.5,-79.8 36.4,-79.9 36.4))"
34,-79.8,36.4,"POLYGON((-79.8 36.4,-79.8 36.5,-79.7 36.5,-79.7 36.4,-79.8 36.4))"
58,-79.7,36.4,"POLYGON((-79.7 36.4,-79.7 36.5,-79.6 36.5,-79.6 36.4,-79.7 36.4))"
33,-79.6,36.4,"POLYGON((-79.6 36.4,-79.6 36.5,-79.5 36.5,-79.5 36.4,-79.6 36.4))"
3,-80.1,36.5,"POLYGON((-80.1 36.5,-80.1 36.6,-80.0 36.6,-80.0 36.5,-80.1 36.5))"
19,-80.0,36.5,"POLYGON((-80.0 36.5,-80.0 36.6,-79.9 36.6,-79.9 36.5,-80.0 36.5))"
28,-79.9,36.5,"POLYGON((-79.9 36.5,-79.9 36.6,-79.8 36.6,-79.8 36.5,-79.9 36.5))"
5,-79.8,36.5,"POLYGON((-79.8 36.5,-79.8 36.6,-79.7 36.6,-79.7 36.5,-79.8 36.5))"
6,-79.7,36.5,"POLYGON((-79.7 36.5,-79.7 36.6,-79.6 36.6,-79.6 36.5,-79.7 36.5))"
18,-79.6,36.5,"POLYGON((-79.6 36.5,-79.6 36.6,-79.5 36.6,-79.5 36.5,-79.6 36.5))"
