count,lon,lat,area
1,-78.2,35.5,"POLYGON((-78.2 35.5,-78.2 35.6,-78.1 35.6,-78.1 35.5,-78.2 35.5))"
15,-78.1,35.5,"POLYGON((-78.1 35.5,-78.1 35.6,-78.0 35.6,-78.0 35.5,-78.1 35.5))"
21,-78.0,35.5,"POLYGON((-78.0 35.5,-78.0 35.6,-77.9 35.6,-77.9 35.5,-78.0 35.5))"
6,-77.9,35.5,"POLYGON((-77.9 35.5,-77.9 35.6,-77.8 35.6,-77.8 35.5,-77.9 35.5))"
1,-77.8,35.5,"POLYGON((-77.8 35.5,-77.8 35.6,-77.7 35.6,-77.7 35.5,-77.8 35.5))"
91,-78.2,35.6,"POLYGON((-78.2 35.6,-78.2 35.7,-78.1 35.7,-78.1 35.6,-78.2 35.6))"
288,-78.1,35.6,"POLYGON((-78.1 35.6,-78.1 35.7,-78.0 35.7,-78.0 35.6,-78.1 35.6))"
254,-78.0,35.6,"POLYGON((-78.0 35.6,-78.0 35.7,-77.9 35.7,-77.9 35.6,-78.0 35.6))"
82,-77.9,35.6,"POLYGON((-77.9 35.6,-77.9 35.7,-77.8 35.7,-77.8 35.6,-77.9 35.6))"
84,-77.8,35.6,"POLYGON((-77.8 35.6,-77.8 35.7,-77.7 35.7,-77.7 35.6,-77.8 35.6))"
8,-77.7,35.6,"POLYGON((-77.7 35.6,-77.7 35.7,-77.6 35.7,-77.6 35.6,-77.7 35.6))"
181,-78.2,35.7,"POLYGON((-78.2 35.7,-78.2 35.8,-78.1 35.8,-78.1 35.7,-78.2 35.7))"
503,-78.1,35.7,"POLYGON((-78.1 35.7,-78.1 35.8,-78.0 35.8,-78.0 35.7,-78.1 35.7))"
33,-78.0,35.7,"POLYGON((-78.0 35.7,-78.0 35.8,-77.9 35.8,-77.9 35.7,-78.0 35.7))"
176,-77.9,35.7,"POLYGON((-77.9 35.7,-77.9 35.8,-77.8 35.8,-77.8 35.7,-77.9 35.7))"
91,-77.8,35.7,"POLYGON((-77.8 35.7,-77.8 35.8,-77.7 35.8,-77.7 35.7,-77.8 35.7))"
26,-78.0,35.8,"POLYGON((-78.0 35.8,-78.0 35.9,-77.9 35.9,-77.9 35.8,-78.0 35.8))"
135,-77.9,35.8,"POLYGON((-77.9 35.8,-77.9 35.9,-77.8 35.9,-77.8 35.8,-77.9 35.8))"
14,-77.8,35.8,"POLYGON((-77.8 35.8,-77.8 35.9,-77.7 35.9,-77.7 35.8,-77.8 35.8))"
