count,lon,lat,area
32,-82.4,35.7,"POLYGON((-82.4 35.7,-82.4 35.8,-82.3 35.8,-82.3 35.7,-82.4 35.7))"
549,-82.3,35.7,"POLYGON((-82.3 35.7,-82.3 35.8,-82.2 35.8,-82.2 35.7,-82.3 35.7))"
257,-82.2,35.7,"POLYGON((-82.2 35.7,-82.2 35.8,-82.1 35.8,-82.1 35.7,-82.2 35.7))"
306,-82.5,35.8,"POLYGON((-82.5 35.8,-82.5 35.9,-82.4 35.9,-82.4 35.8,-82.5 35.8))"
2082,-82.4,35.8,"POLYGON((-82.4 35.8,-82.4 35.9,-82.3 35.9,-82.3 35.8,-82.4 35.8))"
1867,-82.3,35.8,"POLYGON((-82.3 35.8,-82.3 35.9,-82.2 35.9,-82.2 35.8,-82.3 35.8))"
1429,-82.2,35.8,"POLYGON((-82.2 35.8,-82.2 35.9,-82.1 35.9,-82.1 35.8,-82.2 35.8))"
108,-82.6,35.9,"POLYGON((-82.6 35.9,-82.6 36.0,-82.5 36.0,-82.5 35.9,-82.6 35.9))"
2081,-82.5,35.9,"POLYGON((-82.5 35.9,-82.5 36.0,-82.4 36.0,-82.4 35.9,-82.5 35.9))"
3004,-82.4,35.9,"POLYGON((-82.4 35.9,-82.4 36.0,-82.3 36.0,-82.3 35.9,-82.4 35.9))"
3629,-82.3,35.9,"POLYGON((-82.3 35.9,-82.3 36.0,-82.2 36.0,-82.2 35.9,-82.3 35.9))"
747,-82.2,35.9,"POLYGON((-82.2 35.9,-82.2 36.0,-82.1 36.0,-82.1 35.9,-82.2 35.9))"
147,-82.5,36.0,"POLYGON((-82.5 36.0,-82.5 36.1,-82.4 36.1,-82.4 36.0,-82.5 36.0))"
403,-82.4,36.0,"POLYGON((-82.4 36.0,-82.4 36.1,-82.3 36.1,-82.3 36.0,-82.4 36.0))"
282,-82.3,36.0,"POLYGON((-82.3 36.0,-82.3 36.1,-82.2 36.1,-82.2 36.0,-82.3 36.0))"
21,-82.2,36.0,"POLYGON((-82.2 36.0,-82.2 36.1,-82.1 36.1,-82.1 36.0,-82.2 36.0))"
