count,lon,lat,area
31,-96.5,41.6,"POLYGON((-96.5 41.6,-96.5 41.7,-96.4 41.7,-96.4 41.6,-96.5 41.6))"
43,-96.4,41.6,"POLYGON((-96.4 41.6,-96.4 41.7,-96.3 41.7,-96.3 41.6,-96.4 41.6))"
48,-96.3,41.6,"POLYGON((-96.3 41.6,-96.3 41.7,-96.2 41.7,-96.2 41.6,-96.3 41.6))"
31,-96.2,41.6,"POLYGON((-96.2 41.6,-96.2 41.7,-96.1 41.7,-96.1 41.6,-96.2 41.6))"
2,-96.1,41.6,"POLYGON((-96.1 41.6,-96.1 41.7,-96.0 41.7,-96.0 41.6,-96.1 41.6))"
83,-96.6,41.7,"POLYGON((-96.6 41.7,-96.6 41.8,-96.5 41.8,-96.5 41.7,-96.6 41.7))"
249,-96.5,41.7,"POLYGON((-96.5 41.7,-96.5 41.8,-96.4 41.8,-96.4 41.7,-96.5 41.7))"
472,-96.4,41.7,"POLYGON((-96.4 41.7,-96.4 41.8,-96.3 41.8,-96.3 41.7,-96.4 41.7))"
1459,-96.3,41.7,"POLYGON((-96.3 41.7,-96.3 41.8,-96.2 41.8,-96.2 41.7,-96.3 41.7))"
310,-96.2,41.7,"POLYGON((-96.2 41.7,-96.2 41.8,-96.1 41.8,-96.1 41.7,-96.2 41.7))"
62,-96.1,41.7,"POLYGON((-96.1 41.7,-96.1 41.8,-96.0 41.8,-96.0 41.7,-96.1 41.7))"
176,-96.6,41.8,"POLYGON((-96.6 41.8,-96.6 41.9,-96.5 41.9,-96.5 41.8,-96.6 41.8))"
1186,-96.5,41.8,"POLYGON((-96.5 41.8,-96.5 41.9,-96.4 41.9,-96.4 41.8,-96.5 41.8))"
285,-96.4,41.8,"POLYGON((-96.4 41.8,-96.4 41.9,-96.3 41.9,-96.3 41.8,-96.4 41.8))"
249,-96.3,41.8,"POLYGON((-96.3 41.8,-96.3 41.9,-96.2 41.9,-96.2 41.8,-96.3 41.8))"
326,-96.2,41.8,"POLYGON((-96.2 41.8,-96.2 41.9,-96.1 41.9,-96.1 41.8,-96.2 41.8))"
50,-96.1,41.8,"POLYGON((-96.1 41.8,-96.1 41.9,-96.0 41.9,-96.0 41.8,-96.1 41.8))"
155,-96.6,41.9,"POLYGON((-96.6 41.9,-96.6 42.0,-96.5 42.0,-96.5 41.9,-96.6 41.9))"
979,-96.5,41.9,"POLYGON((-96.5 41.9,-96.5 42.0,-96.4 42.0,-96.4 41.9,-96.5 41.9))"
263,-96.4,41.9,"POLYGON((-96.4 41.9,-96.4 42.0,-96.3 42.0,-96.3 41.9,-96.4 41.9))"
376,-96.3,41.9,"POLYGON((-96.3 41.9,-96.3 42.0,-96.2 42.0,-96.2 41.9,-96.3 41.9))"
95,-96.2,41.9,"POLYGON((-96.2 41.9,-96.2 42.0,-96.1 42.0,-96.1 41.9,-96.2 41.9))"
33,-96.6,42.0,"POLYGON((-96.6 42.0,-96.6 42.1,-96.5 42.1,-96.5 42.0,-96.6 42.0))"
75,-96.5,42.0,"POLYGON((-96.5 42.0,-96.5 42.1,-96.4 42.1,-96.4 42.0,-96.5 42.0))"
64,-96.4,42.0,"POLYGON((-96.4 42.0,-96.4 42.1,-96.3 42.1,-96.3 42.0,-96.4 42.0))"
565,-96.3,42.0,"POLYGON((-96.3 42.0,-96.3 42.1,-96.2 42.1,-96.2 42.0,-96.3 42.0))"
