count,lon,lat,area
25,-97.1,41.7,"POLYGON((-97.1 41.7,-97.1 41.8,-97.0 41.8,-97.0 41.7,-97.1 41.7))"
194,-97.0,41.7,"POLYGON((-97.0 41.7,-97.0 41.8,-96.9 41.8,-96.9 41.7,-97.0 41.7))"
206,-96.9,41.7,"POLYGON((-96.9 41.7,-96.9 41.8,-96.8 41.8,-96.8 41.7,-96.9 41.7))"
233,-96.8,41.7,"POLYGON((-96.8 41.7,-96.8 41.8,-96.7 41.8,-96.7 41.7,-96.8 41.7))"
156,-96.7,41.7,"POLYGON((-96.7 41.7,-96.7 41.8,-96.6 41.8,-96.6 41.7,-96.7 41.7))"
87,-96.6,41.7,"POLYGON((-96.6 41.7,-96.6 41.8,-96.5 41.8,-96.5 41.7,-96.6 41.7))"
68,-97.1,41.8,"POLYGON((-97.1 41.8,-97.1 41.9,-97.0 41.9,-97.0 41.8,-97.1 41.8))"
320,-97.0,41.8,"POLYGON((-97.0 41.8,-97.0 41.9,-96.9 41.9,-96.9 41.8,-97.0 41.8))"
388,-96.9,41.8,"POLYGON((-96.9 41.8,-96.9 41.9,-96.8 41.9,-96.8 41.8,-96.9 41.8))"
2398,-96.8,41.8,"POLYGON((-96.8 41.8,-96.8 41.9,-96.7 41.9,-96.7 41.8,-96.8 41.8))"
556,-96.7,41.8,"POLYGON((-96.7 41.8,-96.7 41.9,-96.6 41.9,-96.6 41.8,-96.7 41.8))"
149,-96.6,41.8,"POLYGON((-96.6 41.8,-96.6 41.9,-96.5 41.9,-96.5 41.8,-96.6 41.8))"
47,-97.1,41.9,"POLYGON((-97.1 41.9,-97.1 42.0,-97.0 42.0,-97.0 41.9,-97.1 41.9))"
1189,-97.0,41.9,"POLYGON((-97.0 41.9,-97.0 42.0,-96.9 42.0,-96.9 41.9,-97.0 41.9))"
881,-96.9,41.9,"POLYGON((-96.9 41.9,-96.9 42.0,-96.8 42.0,-96.8 41.9,-96.9 41.9))"
357,-96.8,41.9,"POLYGON((-96.8 41.9,-96.8 42.0,-96.7 42.0,-96.7 41.9,-96.8 41.9))"
311,-96.7,41.9,"POLYGON((-96.7 41.9,-96.7 42.0,-96.6 42.0,-96.6 41.9,-96.7 41.9))"
121,-96.6,41.9,"POLYGON((-96.6 41.9,-96.6 42.0,-96.5 42.0,-96.5 41.9,-96.6 41.9))"
57,-97.1,42.0,"POLYGON((-97.1 42.0,-97.1 42.1,-97.0 42.1,-97.0 42.0,-97.1 42.0))"
279,-97.0,42.0,"POLYGON((-97.0 42.0,-97.0 42.1,-96.9 42.1,-96.9 42.0,-97.0 42.0))"
245,-96.9,42.0,"POLYGON((-96.9 42.0,-96.9 42.1,-96.8 42.1,-96.8 42.0,-96.9 42.0))"
274,-96.8,42.0,"POLYGON((-96.8 42.0,-96.8 42.1,-96.7 42.1,-96.7 42.0,-96.8 42.0))"
299,-96.7,42.0,"POLYGON((-96.7 42.0,-96.7 42.1,-96.6 42.1,-96.6 42.0,-96.7 42.0))"
563,-96.6,42.0,"POLYGON((-96.6 42.0,-96.6 42.1,-96.5 42.1,-96.5 42.0,-96.6 42.0))"
