count,lon,lat,area
1,-98.8,41.3,"POLYGON((-98.8 41.3,-98.8 41.4,-98.7 41.4,-98.7 41.3,-98.8 41.3))"
10,-98.7,41.3,"POLYGON((-98.7 41.3,-98.7 41.4,-98.6 41.4,-98.6 41.3,-98.7 41.3))"
5,-98.6,41.3,"POLYGON((-98.6 41.3,-98.6 41.4,-98.5 41.4,-98.5 41.3,-98.6 41.3))"
12,-98.5,41.3,"POLYGON((-98.5 41.3,-98.5 41.4,-98.4 41.4,-98.4 41.3,-98.5 41.3))"
224,-98.4,41.3,"POLYGON((-98.4 41.3,-98.4 41.4,-98.3 41.4,-98.3 41.3,-98.4 41.3))"
1,-98.3,41.3,"POLYGON((-98.3 41.3,-98.3 41.4,-98.2 41.4,-98.2 41.3,-98.3 41.3))"
374,-98.8,41.4,"POLYGON((-98.8 41.4,-98.8 41.5,-98.7 41.5,-98.7 41.4,-98.8 41.4))"
256,-98.7,41.4,"POLYGON((-98.7 41.4,-98.7 41.5,-98.6 41.5,-98.6 41.4,-98.7 41.4))"
124,-98.6,41.4,"POLYGON((-98.6 41.4,-98.6 41.5,-98.5 41.5,-98.5 41.4,-98.6 41.4))"
138,-98.5,41.4,"POLYGON((-98.5 41.4,-98.5 41.5,-98.4 41.5,-98.4 41.4,-98.5 41.4))"
147,-98.4,41.4,"POLYGON((-98.4 41.4,-98.4 41.5,-98.3 41.5,-98.3 41.4,-98.4 41.4))"
9,-98.3,41.4,"POLYGON((-98.3 41.4,-98.3 41.5,-98.2 41.5,-98.2 41.4,-98.3 41.4))"
70,-98.8,41.5,"POLYGON((-98.8 41.5,-98.8 41.6,-98.7 41.6,-98.7 41.5,-98.8 41.5))"
119,-98.7,41.5,"POLYGON((-98.7 41.5,-98.7 41.6,-98.6 41.6,-98.6 41.5,-98.7 41.5))"
508,-98.6,41.5,"POLYGON((-98.6 41.5,-98.6 41.6,-98.5 41.6,-98.5 41.5,-98.6 41.5))"
141,-98.5,41.5,"POLYGON((-98.5 41.5,-98.5 41.6,-98.4 41.6,-98.4 41.5,-98.5 41.5))"
131,-98.4,41.5,"POLYGON((-98.4 41.5,-98.4 41.6,-98.3 41.6,-98.3 41.5,-98.4 41.5))"
9,-98.3,41.5,"POLYGON((-98.3 41.5,-98.3 41.6,-98.2 41.6,-98.2 41.5,-98.3 41.5))"
42,-98.8,41.6,"POLYGON((-98.8 41.6,-98.8 41.7,-98.7 41.7,-98.7 41.6,-98.8 41.6))"
100,-98.7,41.6,"POLYGON((-98.7 41.6,-98.7 41.7,-98.6 41.7,-98.6 41.6,-98.7 41.6))"
105,-98.6,41.6,"POLYGON((-98.6 41.6,-98.6 41.7,-98.5 41.7,-98.5 41.6,-98.6 41.6))"
137,-98.5,41.6,"POLYGON((-98.5 41.6,-98.5 41.7,-98.4 41.7,-98.4 41.6,-98.5 41.6))"
566,-98.4,41.6,"POLYGON((-98.4 41.6,-98.4 41.7,-98.3 41.7,-98.3 41.6,-98.4 41.6))"
12,-98.3,41.6,"POLYGON((-98.3 41.6,-98.3 41.7,-98.2 41.7,-98.2 41.6,-98.3 41.6))"
12,-98.8,41.7,"POLYGON((-98.8 41.7,-98.8 41.8,-98.7 41.8,-98.7 41.7,-98.8 41.7))"
27,-98.7,41.7,"POLYGON((-98.7 41.7,-98.7 41.8,-98.6 41.8,-98.6 41.7,-98.7 41.7))"
58,-98.6,41.7,"POLYGON((-98.6 41.7,-98.6 41.8,-98.5 41.8,-98.5 41.7,-98.6 41.7))"
48,-98.5,41.7,"POLYGON((-98.5 41.7,-98.5 41.8,-98.4 41.8,-98.4 41.7,-98.5 41.7))"
56,-98.4,41.7,"POLYGON((-98.4 41.7,-98.4 41.8,-98.3 41.8,-98.3 41.7,-98.4 41.7))"
3,-98.3,41.7,"POLYGON((-98.3 41.7,-98.3 41.8,-98.2 41.8,-98.2 41.7,-98.3 41.7))"
