count,lon,lat,area
4520,-74.2,40.7,"POLYGON((-74.2 40.7,-74.2 40.8,-74.1 40.8,-74.1 40.7,-74.2 40.7))"
57,-74.1,40.7,"POLYGON((-74.1 40.7,-74.1 40.8,-74.0 40.8,-74.0 40.7,-74.1 40.7))"
23109,-74.2,40.8,"POLYGON((-74.2 40.8,-74.2 40.9,-74.1 40.9,-74.1 40.8,-74.2 40.8))"
52208,-74.1,40.8,"POLYGON((-74.1 40.8,-74.1 40.9,-74.0 40.9,-74.0 40.8,-74.1 40.8))"
39459,-74.0,40.8,"POLYGON((-74.0 40.8,-74.0 40.9,-73.9 40.9,-73.9 40.8,-74.0 40.8))"
1004,-74.3,40.9,"POLYGON((-74.3 40.9,-74.3 41.0,-74.2 41.0,-74.2 40.9,-74.3 40.9))"
34737,-74.2,40.9,"POLYGON((-74.2 40.9,-74.2 41.0,-74.1 41.0,-74.1 40.9,-74.2 40.9))"
50583,-74.1,40.9,"POLYGON((-74.1 40.9,-74.1 41.0,-74.0 41.0,-74.0 40.9,-74.1 40.9))"
32919,-74.0,40.9,"POLYGON((-74.0 40.9,-74.0 41.0,-73.9 41.0,-73.9 40.9,-74.0 40.9))"
7108,-74.3,41.0,"POLYGON((-74.3 41.0,-74.3 41.1,-74.2 41.1,-74.2 41.0,-74.3 41.0))"
28961,-74.2,41.0,"POLYGON((-74.2 41.0,-74.2 41.1,-74.1 41.1,-74.1 41.0,-74.2 41.0))"
17099,-74.1,41.0,"POLYGON((-74.1 41.0,-74.1 41.1,-74.0 41.1,-74.0 41.0,-74.1 41.0))"
4905,-74.0,41.0,"POLYGON((-74.0 41.0,-74.0 41.1,-73.9 41.1,-73.9 41.0,-74.0 41.0))"
6,-74.3,41.1,"POLYGON((-74.3 41.1,-74.3 41.2,-74.2 41.2,-74.2 41.1,-74.3 41.1))"
1915,-74.2,41.1,"POLYGON((-74.2 41.1,-74.2 41.2,-74.1 41.2,-74.1 41.1,-74.2 41.1))"
