count,lon,lat,area
2,-104.5,33.9,"POLYGON((-104.5 33.9,-104.5 34.0,-104.4 34.0,-104.4 33.9,-104.5 33.9))"
1,-104.8,34.0,"POLYGON((-104.8 34.0,-104.8 34.1,-104.7 34.1,-104.7 34.0,-104.8 34.0))"
6,-104.6,34.0,"POLYGON((-104.6 34.0,-104.6 34.1,-104.5 34.1,-104.5 34.0,-104.6 34.0))"
5,-104.4,34.0,"POLYGON((-104.4 34.0,-104.4 34.1,-104.3 34.1,-104.3 34.0,-104.4 34.0))"
2,-104.3,34.0,"POLYGON((-104.3 34.0,-104.3 34.1,-104.2 34.1,-104.2 34.0,-104.3 34.0))"
2,-104.2,34.0,"POLYGON((-104.2 34.0,-104.2 34.1,-104.1 34.1,-104.1 34.0,-104.2 34.0))"
5,-104.6,34.1,"POLYGON((-104.6 34.1,-104.6 34.2,-104.5 34.2,-104.5 34.1,-104.6 34.1))"
6,-104.5,34.1,"POLYGON((-104.5 34.1,-104.5 34.2,-104.4 34.2,-104.4 34.1,-104.5 34.1))"
1,-104.3,34.1,"POLYGON((-104.3 34.1,-104.3 34.2,-104.2 34.2,-104.2 34.1,-104.3 34.1))"
2,-104.1,34.1,"POLYGON((-104.1 34.1,-104.1 34.2,-104.0 34.2,-104.0 34.1,-104.1 34.1))"
2,-104.0,34.1,"POLYGON((-104.0 34.1,-104.0 34.2,-103.9 34.2,-103.9 34.1,-104.0 34.1))"
2,-104.9,34.2,"POLYGON((-104.9 34.2,-104.9 34.3,-104.8 34.3,-104.8 34.2,-104.9 34.2))"
3,-104.8,34.2,"POLYGON((-104.8 34.2,-104.8 34.3,-104.7 34.3,-104.7 34.2,-104.8 34.2))"
1,-104.7,34.2,"POLYGON((-104.7 34.2,-104.7 34.3,-104.6 34.3,-104.6 34.2,-104.7 34.2))"
1,-104.6,34.2,"POLYGON((-104.6 34.2,-104.6 34.3,-104.5 34.3,-104.5 34.2,-104.6 34.2))"
2,-104.5,34.2,"POLYGON((-104.5 34.2,-104.5 34.3,-104.4 34.3,-104.4 34.2,-104.5 34.2))"
