count,lon,lat,area
1,-105.4,33.1,"POLYGON((-105.4 33.1,-105.4 33.2,-105.3 33.2,-105.3 33.1,-105.4 33.1))"
3,-105.3,33.1,"POLYGON((-105.3 33.1,-105.3 33.2,-105.2 33.2,-105.2 33.1,-105.3 33.1))"
2,-105.2,33.1,"POLYGON((-105.2 33.1,-105.2 33.2,-105.1 33.2,-105.1 33.1,-105.2 33.1))"
2,-105.1,33.1,"POLYGON((-105.1 33.1,-105.1 33.2,-105.0 33.2,-105.0 33.1,-105.1 33.1))"
3,-105.3,33.2,"POLYGON((-105.3 33.2,-105.3 33.3,-105.2 33.3,-105.2 33.2,-105.3 33.2))"
3,-105.2,33.2,"POLYGON((-105.2 33.2,-105.2 33.3,-105.1 33.3,-105.1 33.2,-105.2 33.2))"
2,-105.1,33.2,"POLYGON((-105.1 33.2,-105.1 33.3,-105.0 33.3,-105.0 33.2,-105.1 33.2))"
656,-105.8,33.3,"POLYGON((-105.8 33.3,-105.8 33.4,-105.7 33.4,-105.7 33.3,-105.8 33.3))"
13964,-105.7,33.3,"POLYGON((-105.7 33.3,-105.7 33.4,-105.6 33.4,-105.6 33.3,-105.7 33.3))"
2103,-105.6,33.3,"POLYGON((-105.6 33.3,-105.6 33.4,-105.5 33.4,-105.5 33.3,-105.6 33.3))"
40,-105.5,33.3,"POLYGON((-105.5 33.3,-105.5 33.4,-105.4 33.4,-105.4 33.3,-105.5 33.3))"
21,-105.4,33.3,"POLYGON((-105.4 33.3,-105.4 33.4,-105.3 33.4,-105.3 33.3,-105.4 33.3))"
201,-105.3,33.3,"POLYGON((-105.3 33.3,-105.3 33.4,-105.2 33.4,-105.2 33.3,-105.3 33.3))"
30,-105.2,33.3,"POLYGON((-105.2 33.3,-105.2 33.4,-105.1 33.4,-105.1 33.3,-105.2 33.3))"
11,-105.1,33.3,"POLYGON((-105.1 33.3,-105.1 33.4,-105.0 33.4,-105.0 33.3,-105.1 33.3))"
2,-105.0,33.3,"POLYGON((-105.0 33.3,-105.0 33.4,-104.9 33.4,-104.9 33.3,-105.0 33.3))"
1,-106.2,33.4,"POLYGON((-106.2 33.4,-106.2 33.5,-106.1 33.5,-106.1 33.4,-106.2 33.4))"
13,-106.1,33.4,"POLYGON((-106.1 33.4,-106.1 33.5,-106.0 33.5,-106.0 33.4,-106.1 33.4))"
3,-106.0,33.4,"POLYGON((-106.0 33.4,-106.0 33.5,-105.9 33.5,-105.9 33.4,-106.0 33.4))"
122,-105.8,33.4,"POLYGON((-105.8 33.4,-105.8 33.5,-105.7 33.5,-105.7 33.4,-105.8 33.4))"
2518,-105.7,33.4,"POLYGON((-105.7 33.4,-105.7 33.5,-105.6 33.5,-105.6 33.4,-105.7 33.4))"
351,-105.6,33.4,"POLYGON((-105.6 33.4,-105.6 33.5,-105.5 33.5,-105.5 33.4,-105.6 33.4))"
98,-105.5,33.4,"POLYGON((-105.5 33.4,-105.5 33.5,-105.4 33.5,-105.4 33.4,-105.5 33.4))"
310,-105.4,33.4,"POLYGON((-105.4 33.4,-105.4 33.5,-105.3 33.5,-105.3 33.4,-105.4 33.4))"
22,-105.3,33.4,"POLYGON((-105.3 33.4,-105.3 33.5,-105.2 33.5,-105.2 33.4,-105.3 33.4))"
8,-105.2,33.4,"POLYGON((-105.2 33.4,-105.2 33.5,-105.1 33.5,-105.1 33.4,-105.2 33.4))"
2,-105.0,33.4,"POLYGON((-105.0 33.4,-105.0 33.5,-104.9 33.5,-104.9 33.4,-105.0 33.4))"
2,-106.2,33.5,"POLYGON((-106.2 33.5,-106.2 33.6,-106.1 33.6,-106.1 33.5,-106.2 33.5))"
2,-106.1,33.5,"POLYGON((-106.1 33.5,-106.1 33.6,-106.0 33.6,-106.0 33.5,-106.1 33.5))"
2,-106.0,33.5,"POLYGON((-106.0 33.5,-106.0 33.6,-105.9 33.6,-105.9 33.5,-106.0 33.5))"
129,-105.8,33.5,"POLYGON((-105.8 33.5,-105.8 33.6,-105.7 33.6,-105.7 33.5,-105.8 33.5))"
615,-105.7,33.5,"POLYGON((-105.7 33.5,-105.7 33.6,-105.6 33.6,-105.6 33.5,-105.7 33.5))"
800,-105.6,33.5,"POLYGON((-105.6 33.5,-105.6 33.6,-105.5 33.6,-105.5 33.5,-105.6 33.5))"
69,-105.5,33.5,"POLYGON((-105.5 33.5,-105.5 33.6,-105.4 33.6,-105.4 33.5,-105.5 33.5))"
17,-105.4,33.5,"POLYGON((-105.4 33.5,-105.4 33.6,-105.3 33.6,-105.3 33.5,-105.4 33.5))"
5,-105.3,33.5,"POLYGON((-105.3 33.5,-105.3 33.6,-105.2 33.6,-105.2 33.5,-105.3 33.5))"
78,-105.2,33.5,"POLYGON((-105.2 33.5,-105.2 33.6,-105.1 33.6,-105.1 33.5,-105.2 33.5))"
2,-105.1,33.5,"POLYGON((-105.1 33.5,-105.1 33.6,-105.0 33.6,-105.0 33.5,-105.1 33.5))"
2,-106.1,33.6,"POLYGON((-106.1 33.6,-106.1 33.7,-106.0 33.7,-106.0 33.6,-106.1 33.6))"
25,-106.0,33.6,"POLYGON((-106.0 33.6,-106.0 33.7,-105.9 33.7,-105.9 33.6,-106.0 33.6))"
1115,-105.9,33.6,"POLYGON((-105.9 33.6,-105.9 33.7,-105.8 33.7,-105.8 33.6,-105.9 33.6))"
67,-105.8,33.6,"POLYGON((-105.8 33.6,-105.8 33.7,-105.7 33.7,-105.7 33.6,-105.8 33.6))"
22,-105.7,33.6,"POLYGON((-105.7 33.6,-105.7 33.7,-105.6 33.7,-105.6 33.6,-105.7 33.6))"
