count,lon,lat,area
7,-115.9,35.9,"POLYGON((-115.9 35.9,-115.9 36.0,-115.8 36.0,-115.8 35.9,-115.9 35.9))"
831,-116.0,36.0,"POLYGON((-116.0 36.0,-116.0 36.1,-115.9 36.1,-115.9 36.0,-116.0 36.0))"
54,-115.9,36.0,"POLYGON((-115.9 36.0,-115.9 36.1,-115.8 36.1,-115.8 36.0,-115.9 36.0))"
53,-116.2,36.1,"POLYGON((-116.2 36.1,-116.2 36.2,-116.1 36.2,-116.1 36.1,-116.2 36.1))"
6160,-116.1,36.1,"POLYGON((-116.1 36.1,-116.1 36.2,-116.0 36.2,-116.0 36.1,-116.1 36.1))"
17131,-116.0,36.1,"POLYGON((-116.0 36.1,-116.0 36.2,-115.9 36.2,-115.9 36.1,-116.0 36.1))"
303,-115.9,36.1,"POLYGON((-115.9 36.1,-115.9 36.2,-115.8 36.2,-115.8 36.1,-115.9 36.1))"
1,-116.3,36.2,"POLYGON((-116.3 36.2,-116.3 36.3,-116.2 36.3,-116.2 36.2,-116.3 36.2))"
266,-116.2,36.2,"POLYGON((-116.2 36.2,-116.2 36.3,-116.1 36.3,-116.1 36.2,-116.2 36.2))"
13108,-116.1,36.2,"POLYGON((-116.1 36.2,-116.1 36.3,-116.0 36.3,-116.0 36.2,-116.1 36.2))"
5916,-116.0,36.2,"POLYGON((-116.0 36.2,-116.0 36.3,-115.9 36.3,-115.9 36.2,-116.0 36.2))"
8,-116.4,36.3,"POLYGON((-116.4 36.3,-116.4 36.4,-116.3 36.4,-116.3 36.3,-116.4 36.3))"
38,-116.3,36.3,"POLYGON((-116.3 36.3,-116.3 36.4,-116.2 36.4,-116.2 36.3,-116.3 36.3))"
1,-116.2,36.3,"POLYGON((-116.2 36.3,-116.2 36.4,-116.1 36.4,-116.1 36.3,-116.2 36.3))"
6819,-116.1,36.3,"POLYGON((-116.1 36.3,-116.1 36.4,-116.0 36.4,-116.0 36.3,-116.1 36.3))"
556,-116.0,36.3,"POLYGON((-116.0 36.3,-116.0 36.4,-115.9 36.4,-115.9 36.3,-116.0 36.3))"
175,-116.6,36.4,"POLYGON((-116.6 36.4,-116.6 36.5,-116.5 36.5,-116.5 36.4,-116.6 36.4))"
304,-116.5,36.4,"POLYGON((-116.5 36.4,-116.5 36.5,-116.4 36.5,-116.4 36.4,-116.5 36.4))"
55,-116.4,36.4,"POLYGON((-116.4 36.4,-116.4 36.5,-116.3 36.5,-116.3 36.4,-116.4 36.4))"
14,-116.3,36.4,"POLYGON((-116.3 36.4,-116.3 36.5,-116.2 36.5,-116.2 36.4,-116.3 36.4))"
102,-116.2,36.4,"POLYGON((-116.2 36.4,-116.2 36.5,-116.1 36.5,-116.1 36.4,-116.2 36.4))"
197,-116.1,36.4,"POLYGON((-116.1 36.4,-116.1 36.5,-116.0 36.5,-116.0 36.4,-116.1 36.4))"
8,-116.0,36.4,"POLYGON((-116.0 36.4,-116.0 36.5,-115.9 36.5,-115.9 36.4,-116.0 36.4))"
68,-116.7,36.5,"POLYGON((-116.7 36.5,-116.7 36.6,-116.6 36.6,-116.6 36.5,-116.7 36.5))"
690,-116.6,36.5,"POLYGON((-116.6 36.5,-116.6 36.6,-116.5 36.6,-116.5 36.5,-116.6 36.5))"
715,-116.5,36.5,"POLYGON((-116.5 36.5,-116.5 36.6,-116.4 36.6,-116.4 36.5,-116.5 36.5))"
6,-116.4,36.5,"POLYGON((-116.4 36.5,-116.4 36.6,-116.3 36.6,-116.3 36.5,-116.4 36.5))"
1,-116.3,36.5,"POLYGON((-116.3 36.5,-116.3 36.6,-116.2 36.6,-116.2 36.5,-116.3 36.5))"
37,-116.2,36.5,"POLYGON((-116.2 36.5,-116.2 36.6,-116.1 36.6,-116.1 36.5,-116.2 36.5))"
2,-116.1,36.5,"POLYGON((-116.1 36.5,-116.1 36.6,-116.0 36.6,-116.0 36.5,-116.1 36.5))"
3,-116.0,36.5,"POLYGON((-116.0 36.5,-116.0 36.6,-115.9 36.6,-115.9 36.5,-116.0 36.5))"
1,-116.7,36.6,"POLYGON((-116.7 36.6,-116.7 36.7,-116.6 36.7,-116.6 36.6,-116.7 36.6))"
7,-116.5,36.6,"POLYGON((-116.5 36.6,-116.5 36.7,-116.4 36.7,-116.4 36.6,-116.5 36.6))"
16,-116.4,36.6,"POLYGON((-116.4 36.6,-116.4 36.7,-116.3 36.7,-116.3 36.6,-116.4 36.6))"
1,-116.2,36.6,"POLYGON((-116.2 36.6,-116.2 36.7,-116.1 36.7,-116.1 36.6,-116.2 36.6))"
1,-116.1,36.6,"POLYGON((-116.1 36.6,-116.1 36.7,-116.0 36.7,-116.0 36.6,-116.1 36.6))"
2,-116.0,36.6,"POLYGON((-116.0 36.6,-116.0 36.7,-115.9 36.7,-115.9 36.6,-116.0 36.6))"
