count,lon,lat,area
57,-76.7,42.2,"POLYGON((-76.7 42.2,-76.7 42.3,-76.6 42.3,-76.6 42.2,-76.7 42.2))"
82,-76.6,42.2,"POLYGON((-76.6 42.2,-76.6 42.3,-76.5 42.3,-76.5 42.2,-76.6 42.2))"
79,-76.5,42.2,"POLYGON((-76.5 42.2,-76.5 42.3,-76.4 42.3,-76.4 42.2,-76.5 42.2))"
3,-76.3,42.2,"POLYGON((-76.3 42.2,-76.3 42.3,-76.2 42.3,-76.2 42.2,-76.3 42.2))"
927,-76.7,42.3,"POLYGON((-76.7 42.3,-76.7 42.4,-76.6 42.4,-76.6 42.3,-76.7 42.3))"
2063,-76.6,42.3,"POLYGON((-76.6 42.3,-76.6 42.4,-76.5 42.4,-76.5 42.3,-76.6 42.3))"
1486,-76.5,42.3,"POLYGON((-76.5 42.3,-76.5 42.4,-76.4 42.4,-76.4 42.3,-76.5 42.3))"
1120,-76.4,42.3,"POLYGON((-76.4 42.3,-76.4 42.4,-76.3 42.4,-76.3 42.3,-76.4 42.3))"
204,-76.3,42.3,"POLYGON((-76.3 42.3,-76.3 42.4,-76.2 42.4,-76.2 42.3,-76.3 42.3))"
1239,-76.7,42.4,"POLYGON((-76.7 42.4,-76.7 42.5,-76.6 42.5,-76.6 42.4,-76.7 42.4))"
9444,-76.6,42.4,"POLYGON((-76.6 42.4,-76.6 42.5,-76.5 42.5,-76.5 42.4,-76.6 42.4))"
22677,-76.5,42.4,"POLYGON((-76.5 42.4,-76.5 42.5,-76.4 42.5,-76.4 42.4,-76.5 42.4))"
2270,-76.4,42.4,"POLYGON((-76.4 42.4,-76.4 42.5,-76.3 42.5,-76.3 42.4,-76.4 42.4))"
1321,-76.3,42.4,"POLYGON((-76.3 42.4,-76.3 42.5,-76.2 42.5,-76.2 42.4,-76.3 42.4))"
150,-76.8,42.5,"POLYGON((-76.8 42.5,-76.8 42.6,-76.7 42.6,-76.7 42.5,-76.8 42.5))"
2595,-76.7,42.5,"POLYGON((-76.7 42.5,-76.7 42.6,-76.6 42.6,-76.6 42.5,-76.7 42.5))"
1951,-76.6,42.5,"POLYGON((-76.6 42.5,-76.6 42.6,-76.5 42.6,-76.5 42.5,-76.6 42.5))"
2326,-76.5,42.5,"POLYGON((-76.5 42.5,-76.5 42.6,-76.4 42.6,-76.4 42.5,-76.5 42.5))"
2511,-76.4,42.5,"POLYGON((-76.4 42.5,-76.4 42.6,-76.3 42.6,-76.3 42.5,-76.4 42.5))"
901,-76.3,42.5,"POLYGON((-76.3 42.5,-76.3 42.6,-76.2 42.6,-76.2 42.5,-76.3 42.5))"
436,-76.8,42.6,"POLYGON((-76.8 42.6,-76.8 42.7,-76.7 42.7,-76.7 42.6,-76.8 42.6))"
210,-76.7,42.6,"POLYGON((-76.7 42.6,-76.7 42.7,-76.6 42.7,-76.6 42.6,-76.7 42.6))"
152,-76.6,42.6,"POLYGON((-76.6 42.6,-76.6 42.7,-76.5 42.7,-76.5 42.6,-76.6 42.6))"
298,-76.5,42.6,"POLYGON((-76.5 42.6,-76.5 42.7,-76.4 42.7,-76.4 42.6,-76.5 42.6))"
235,-76.4,42.6,"POLYGON((-76.4 42.6,-76.4 42.7,-76.3 42.7,-76.3 42.6,-76.4 42.6))"
55,-76.3,42.6,"POLYGON((-76.3 42.6,-76.3 42.7,-76.2 42.7,-76.2 42.6,-76.3 42.6))"
