count,lon,lat,area
1319,-83.8,38.6,"POLYGON((-83.8 38.6,-83.8 38.7,-83.7 38.7,-83.7 38.6,-83.8 38.6))"
1,-83.7,38.6,"POLYGON((-83.7 38.6,-83.7 38.7,-83.6 38.7,-83.6 38.6,-83.7 38.6))"
123,-84.1,38.7,"POLYGON((-84.1 38.7,-84.1 38.8,-84.0 38.8,-84.0 38.7,-84.1 38.7))"
339,-84.0,38.7,"POLYGON((-84.0 38.7,-84.0 38.8,-83.9 38.8,-83.9 38.7,-84.0 38.7))"
1668,-83.9,38.7,"POLYGON((-83.9 38.7,-83.9 38.8,-83.8 38.8,-83.8 38.7,-83.9 38.7))"
428,-83.8,38.7,"POLYGON((-83.8 38.7,-83.8 38.8,-83.7 38.8,-83.7 38.7,-83.8 38.7))"
8,-83.7,38.7,"POLYGON((-83.7 38.7,-83.7 38.8,-83.6 38.8,-83.6 38.7,-83.7 38.7))"
428,-84.1,38.8,"POLYGON((-84.1 38.8,-84.1 38.9,-84.0 38.9,-84.0 38.8,-84.1 38.8))"
2031,-84.0,38.8,"POLYGON((-84.0 38.8,-84.0 38.9,-83.9 38.9,-83.9 38.8,-84.0 38.8))"
1467,-83.9,38.8,"POLYGON((-83.9 38.8,-83.9 38.9,-83.8 38.9,-83.8 38.8,-83.9 38.8))"
905,-83.8,38.8,"POLYGON((-83.8 38.8,-83.8 38.9,-83.7 38.9,-83.7 38.8,-83.8 38.8))"
54,-83.7,38.8,"POLYGON((-83.7 38.8,-83.7 38.9,-83.6 38.9,-83.6 38.8,-83.7 38.8))"
659,-84.1,38.9,"POLYGON((-84.1 38.9,-84.1 39.0,-84.0 39.0,-84.0 38.9,-84.1 38.9))"
1456,-84.0,38.9,"POLYGON((-84.0 38.9,-84.0 39.0,-83.9 39.0,-83.9 38.9,-84.0 38.9))"
838,-83.9,38.9,"POLYGON((-83.9 38.9,-83.9 39.0,-83.8 39.0,-83.8 38.9,-83.9 38.9))"
1621,-83.8,38.9,"POLYGON((-83.8 38.9,-83.8 39.0,-83.7 39.0,-83.7 38.9,-83.8 38.9))"
160,-83.7,38.9,"POLYGON((-83.7 38.9,-83.7 39.0,-83.6 39.0,-83.6 38.9,-83.7 38.9))"
585,-84.1,39.0,"POLYGON((-84.1 39.0,-84.1 39.1,-84.0 39.1,-84.0 39.0,-84.1 39.0))"
3860,-84.0,39.0,"POLYGON((-84.0 39.0,-84.0 39.1,-83.9 39.1,-83.9 39.0,-84.0 39.0))"
798,-83.9,39.0,"POLYGON((-83.9 39.0,-83.9 39.1,-83.8 39.1,-83.8 39.0,-83.9 39.0))"
237,-83.8,39.0,"POLYGON((-83.8 39.0,-83.8 39.1,-83.7 39.1,-83.7 39.0,-83.8 39.0))"
11,-83.7,39.0,"POLYGON((-83.7 39.0,-83.7 39.1,-83.6 39.1,-83.6 39.0,-83.7 39.0))"
55,-84.1,39.1,"POLYGON((-84.1 39.1,-84.1 39.2,-84.0 39.2,-84.0 39.1,-84.1 39.1))"
1885,-84.0,39.1,"POLYGON((-84.0 39.1,-84.0 39.2,-83.9 39.2,-83.9 39.1,-84.0 39.1))"
179,-83.9,39.1,"POLYGON((-83.9 39.1,-83.9 39.2,-83.8 39.2,-83.8 39.1,-83.9 39.1))"
424,-84.0,39.2,"POLYGON((-84.0 39.2,-84.0 39.3,-83.9 39.3,-83.9 39.2,-84.0 39.2))"
221,-83.9,39.2,"POLYGON((-83.9 39.2,-83.9 39.3,-83.8 39.3,-83.8 39.2,-83.9 39.2))"
