count,lon,lat,area
1112,-83.9,41.4,"POLYGON((-83.9 41.4,-83.9 41.5,-83.8 41.5,-83.8 41.4,-83.9 41.4))"
1006,-83.8,41.4,"POLYGON((-83.8 41.4,-83.8 41.5,-83.7 41.5,-83.7 41.4,-83.8 41.4))"
1,-84.0,41.5,"POLYGON((-84.0 41.5,-84.0 41.6,-83.9 41.6,-83.9 41.5,-84.0 41.5))"
3161,-83.9,41.5,"POLYGON((-83.9 41.5,-83.9 41.6,-83.8 41.6,-83.8 41.5,-83.9 41.5))"
9920,-83.8,41.5,"POLYGON((-83.8 41.5,-83.8 41.6,-83.7 41.6,-83.7 41.5,-83.8 41.5))"
13000,-83.7,41.5,"POLYGON((-83.7 41.5,-83.7 41.6,-83.6 41.6,-83.6 41.5,-83.7 41.5))"
79,-83.6,41.5,"POLYGON((-83.6 41.5,-83.6 41.6,-83.5 41.6,-83.5 41.5,-83.6 41.5))"
1,-83.5,41.5,"POLYGON((-83.5 41.5,-83.5 41.6,-83.4 41.6,-83.4 41.5,-83.5 41.5))"
1054,-83.9,41.6,"POLYGON((-83.9 41.6,-83.9 41.7,-83.8 41.7,-83.8 41.6,-83.9 41.6))"
16100,-83.8,41.6,"POLYGON((-83.8 41.6,-83.8 41.7,-83.7 41.7,-83.7 41.6,-83.8 41.6))"
43690,-83.7,41.6,"POLYGON((-83.7 41.6,-83.7 41.7,-83.6 41.7,-83.6 41.6,-83.7 41.6))"
56428,-83.6,41.6,"POLYGON((-83.6 41.6,-83.6 41.7,-83.5 41.7,-83.5 41.6,-83.6 41.6))"
11417,-83.5,41.6,"POLYGON((-83.5 41.6,-83.5 41.7,-83.4 41.7,-83.4 41.6,-83.5 41.6))"
1350,-83.4,41.6,"POLYGON((-83.4 41.6,-83.4 41.7,-83.3 41.7,-83.3 41.6,-83.4 41.6))"
748,-83.3,41.6,"POLYGON((-83.3 41.6,-83.3 41.7,-83.2 41.7,-83.2 41.6,-83.3 41.6))"
4,-83.2,41.6,"POLYGON((-83.2 41.6,-83.2 41.7,-83.1 41.7,-83.1 41.6,-83.2 41.6))"
188,-83.9,41.7,"POLYGON((-83.9 41.7,-83.9 41.8,-83.8 41.8,-83.8 41.7,-83.9 41.7))"
6309,-83.8,41.7,"POLYGON((-83.8 41.7,-83.8 41.8,-83.7 41.8,-83.7 41.7,-83.8 41.7))"
13968,-83.7,41.7,"POLYGON((-83.7 41.7,-83.7 41.8,-83.6 41.8,-83.6 41.7,-83.7 41.7))"
10378,-83.6,41.7,"POLYGON((-83.6 41.7,-83.6 41.8,-83.5 41.8,-83.5 41.7,-83.6 41.7))"
6095,-83.5,41.7,"POLYGON((-83.5 41.7,-83.5 41.8,-83.4 41.8,-83.4 41.7,-83.5 41.7))"
