count,lon,lat,area
1,-153.5,-90.0,"POLYGON((-153.5 -90.0,-153.5 -89.9,-153.4 -89.9,-153.4 -90.0,-153.5 -90.0))"
51,-81.3,39.5,"POLYGON((-81.3 39.5,-81.3 39.6,-81.2 39.6,-81.2 39.5,-81.3 39.5))"
70,-81.2,39.5,"POLYGON((-81.2 39.5,-81.2 39.6,-81.1 39.6,-81.1 39.5,-81.2 39.5))"
237,-81.1,39.5,"POLYGON((-81.1 39.5,-81.1 39.6,-81.0 39.6,-81.0 39.5,-81.1 39.5))"
73,-81.0,39.5,"POLYGON((-81.0 39.5,-81.0 39.6,-80.9 39.6,-80.9 39.5,-81.0 39.5))"
279,-81.3,39.6,"POLYGON((-81.3 39.6,-81.3 39.7,-81.2 39.7,-81.2 39.6,-81.3 39.6))"
382,-81.2,39.6,"POLYGON((-81.2 39.6,-81.2 39.7,-81.1 39.7,-81.1 39.6,-81.2 39.6))"
419,-81.1,39.6,"POLYGON((-81.1 39.6,-81.1 39.7,-81.0 39.7,-81.0 39.6,-81.1 39.6))"
725,-81.0,39.6,"POLYGON((-81.0 39.6,-81.0 39.7,-80.9 39.7,-80.9 39.6,-81.0 39.6))"
433,-80.9,39.6,"POLYGON((-80.9 39.6,-80.9 39.7,-80.8 39.7,-80.8 39.6,-80.9 39.6))"
42,-81.4,39.7,"POLYGON((-81.4 39.7,-81.4 39.8,-81.3 39.8,-81.3 39.7,-81.4 39.7))"
539,-81.3,39.7,"POLYGON((-81.3 39.7,-81.3 39.8,-81.2 39.8,-81.2 39.7,-81.3 39.7))"
1872,-81.2,39.7,"POLYGON((-81.2 39.7,-81.2 39.8,-81.1 39.8,-81.1 39.7,-81.2 39.7))"
537,-81.1,39.7,"POLYGON((-81.1 39.7,-81.1 39.8,-81.0 39.8,-81.0 39.7,-81.1 39.7))"
432,-81.0,39.7,"POLYGON((-81.0 39.7,-81.0 39.8,-80.9 39.8,-80.9 39.7,-81.0 39.7))"
444,-80.9,39.7,"POLYGON((-80.9 39.7,-80.9 39.8,-80.8 39.8,-80.8 39.7,-80.9 39.7))"
31,-81.4,39.8,"POLYGON((-81.4 39.8,-81.4 39.9,-81.3 39.9,-81.3 39.8,-81.4 39.8))"
252,-81.3,39.8,"POLYGON((-81.3 39.8,-81.3 39.9,-81.2 39.9,-81.2 39.8,-81.3 39.8))"
455,-81.2,39.8,"POLYGON((-81.2 39.8,-81.2 39.9,-81.1 39.9,-81.1 39.8,-81.2 39.8))"
655,-81.1,39.8,"POLYGON((-81.1 39.8,-81.1 39.9,-81.0 39.9,-81.0 39.8,-81.1 39.8))"
233,-81.0,39.8,"POLYGON((-81.0 39.8,-81.0 39.9,-80.9 39.9,-80.9 39.8,-81.0 39.8))"
151,-80.9,39.8,"POLYGON((-80.9 39.8,-80.9 39.9,-80.8 39.9,-80.8 39.8,-80.9 39.8))"
