count,lon,lat,area
152,-83.0,39.4,"POLYGON((-83.0 39.4,-83.0 39.5,-82.9 39.5,-82.9 39.4,-83.0 39.4))"
202,-82.9,39.4,"POLYGON((-82.9 39.4,-82.9 39.5,-82.8 39.5,-82.8 39.4,-82.9 39.4))"
135,-82.8,39.4,"POLYGON((-82.8 39.4,-82.8 39.5,-82.7 39.5,-82.7 39.4,-82.8 39.4))"
546,-83.3,39.5,"POLYGON((-83.3 39.5,-83.3 39.6,-83.2 39.6,-83.2 39.5,-83.3 39.5))"
807,-83.2,39.5,"POLYGON((-83.2 39.5,-83.2 39.6,-83.1 39.6,-83.1 39.5,-83.2 39.5))"
266,-83.1,39.5,"POLYGON((-83.1 39.5,-83.1 39.6,-83.0 39.6,-83.0 39.5,-83.1 39.5))"
3712,-83.0,39.5,"POLYGON((-83.0 39.5,-83.0 39.6,-82.9 39.6,-82.9 39.5,-83.0 39.5))"
1003,-82.9,39.5,"POLYGON((-82.9 39.5,-82.9 39.6,-82.8 39.6,-82.8 39.5,-82.9 39.5))"
621,-82.8,39.5,"POLYGON((-82.8 39.5,-82.8 39.6,-82.7 39.6,-82.7 39.5,-82.8 39.5))"
499,-83.3,39.6,"POLYGON((-83.3 39.6,-83.3 39.7,-83.2 39.7,-83.2 39.6,-83.3 39.6))"
613,-83.2,39.6,"POLYGON((-83.2 39.6,-83.2 39.7,-83.1 39.7,-83.1 39.6,-83.2 39.6))"
477,-83.1,39.6,"POLYGON((-83.1 39.6,-83.1 39.7,-83.0 39.7,-83.0 39.6,-83.1 39.6))"
5345,-83.0,39.6,"POLYGON((-83.0 39.6,-83.0 39.7,-82.9 39.7,-82.9 39.6,-83.0 39.6))"
1306,-82.9,39.6,"POLYGON((-82.9 39.6,-82.9 39.7,-82.8 39.7,-82.8 39.6,-82.9 39.6))"
508,-83.3,39.7,"POLYGON((-83.3 39.7,-83.3 39.8,-83.2 39.8,-83.2 39.7,-83.3 39.7))"
1217,-83.2,39.7,"POLYGON((-83.2 39.7,-83.2 39.8,-83.1 39.8,-83.1 39.7,-83.2 39.7))"
2288,-83.1,39.7,"POLYGON((-83.1 39.7,-83.1 39.8,-83.0 39.8,-83.0 39.7,-83.1 39.7))"
3850,-83.0,39.7,"POLYGON((-83.0 39.7,-83.0 39.8,-82.9 39.8,-82.9 39.7,-83.0 39.7))"
698,-82.9,39.7,"POLYGON((-82.9 39.7,-82.9 39.8,-82.8 39.8,-82.8 39.7,-82.9 39.7))"
38,-83.3,39.8,"POLYGON((-83.3 39.8,-83.3 39.9,-83.2 39.9,-83.2 39.8,-83.3 39.8))"
284,-83.2,39.8,"POLYGON((-83.2 39.8,-83.2 39.9,-83.1 39.9,-83.1 39.8,-83.2 39.8))"
690,-83.1,39.8,"POLYGON((-83.1 39.8,-83.1 39.9,-83.0 39.9,-83.0 39.8,-83.1 39.8))"
7,-83.0,39.8,"POLYGON((-83.0 39.8,-83.0 39.9,-82.9 39.9,-82.9 39.8,-83.0 39.8))"
