count,lon,lat,area
42,-81.9,39.2,"POLYGON((-81.9 39.2,-81.9 39.3,-81.8 39.3,-81.8 39.2,-81.9 39.2))"
693,-81.8,39.2,"POLYGON((-81.8 39.2,-81.8 39.3,-81.7 39.3,-81.7 39.2,-81.8 39.2))"
1829,-81.7,39.2,"POLYGON((-81.7 39.2,-81.7 39.3,-81.6 39.3,-81.6 39.2,-81.7 39.2))"
2956,-81.6,39.2,"POLYGON((-81.6 39.2,-81.6 39.3,-81.5 39.3,-81.5 39.2,-81.6 39.2))"
259,-81.9,39.3,"POLYGON((-81.9 39.3,-81.9 39.4,-81.8 39.4,-81.8 39.3,-81.9 39.3))"
823,-81.8,39.3,"POLYGON((-81.8 39.3,-81.8 39.4,-81.7 39.4,-81.7 39.3,-81.8 39.3))"
2168,-81.7,39.3,"POLYGON((-81.7 39.3,-81.7 39.4,-81.6 39.4,-81.6 39.3,-81.7 39.3))"
978,-81.6,39.3,"POLYGON((-81.6 39.3,-81.6 39.4,-81.5 39.4,-81.5 39.3,-81.6 39.3))"
389,-81.5,39.3,"POLYGON((-81.5 39.3,-81.5 39.4,-81.4 39.4,-81.4 39.3,-81.5 39.3))"
1678,-81.4,39.3,"POLYGON((-81.4 39.3,-81.4 39.4,-81.3 39.4,-81.3 39.3,-81.4 39.3))"
510,-81.3,39.3,"POLYGON((-81.3 39.3,-81.3 39.4,-81.2 39.4,-81.2 39.3,-81.3 39.3))"
304,-81.9,39.4,"POLYGON((-81.9 39.4,-81.9 39.5,-81.8 39.5,-81.8 39.4,-81.9 39.4))"
558,-81.8,39.4,"POLYGON((-81.8 39.4,-81.8 39.5,-81.7 39.5,-81.7 39.4,-81.8 39.4))"
777,-81.7,39.4,"POLYGON((-81.7 39.4,-81.7 39.5,-81.6 39.5,-81.6 39.4,-81.7 39.4))"
1308,-81.6,39.4,"POLYGON((-81.6 39.4,-81.6 39.5,-81.5 39.5,-81.5 39.4,-81.6 39.4))"
9450,-81.5,39.4,"POLYGON((-81.5 39.4,-81.5 39.5,-81.4 39.5,-81.4 39.4,-81.5 39.4))"
978,-81.4,39.4,"POLYGON((-81.4 39.4,-81.4 39.5,-81.3 39.5,-81.3 39.4,-81.4 39.4))"
524,-81.3,39.4,"POLYGON((-81.3 39.4,-81.3 39.5,-81.2 39.5,-81.2 39.4,-81.3 39.4))"
262,-81.2,39.4,"POLYGON((-81.2 39.4,-81.2 39.5,-81.1 39.5,-81.1 39.4,-81.2 39.4))"
9,-81.1,39.4,"POLYGON((-81.1 39.4,-81.1 39.5,-81.0 39.5,-81.0 39.4,-81.1 39.4))"
198,-81.8,39.5,"POLYGON((-81.8 39.5,-81.8 39.6,-81.7 39.6,-81.7 39.5,-81.8 39.5))"
1723,-81.7,39.5,"POLYGON((-81.7 39.5,-81.7 39.6,-81.6 39.6,-81.6 39.5,-81.7 39.5))"
1091,-81.6,39.5,"POLYGON((-81.6 39.5,-81.6 39.6,-81.5 39.6,-81.5 39.5,-81.6 39.5))"
669,-81.5,39.5,"POLYGON((-81.5 39.5,-81.5 39.6,-81.4 39.6,-81.4 39.5,-81.5 39.5))"
561,-81.4,39.5,"POLYGON((-81.4 39.5,-81.4 39.6,-81.3 39.6,-81.3 39.5,-81.4 39.5))"
279,-81.3,39.5,"POLYGON((-81.3 39.5,-81.3 39.6,-81.2 39.6,-81.2 39.5,-81.3 39.5))"
218,-81.2,39.5,"POLYGON((-81.2 39.5,-81.2 39.6,-81.1 39.6,-81.1 39.5,-81.2 39.5))"
765,-81.1,39.5,"POLYGON((-81.1 39.5,-81.1 39.6,-81.0 39.6,-81.0 39.5,-81.1 39.5))"
227,-81.5,39.6,"POLYGON((-81.5 39.6,-81.5 39.7,-81.4 39.7,-81.4 39.6,-81.5 39.6))"
1,-81.4,39.6,"POLYGON((-81.4 39.6,-81.4 39.7,-81.3 39.7,-81.3 39.6,-81.4 39.6))"
1,-81.3,39.6,"POLYGON((-81.3 39.6,-81.3 39.7,-81.2 39.7,-81.2 39.6,-81.3 39.6))"
