count,lon,lat,area
1,-120.3,43.6,"POLYGON((-120.3 43.6,-120.3 43.7,-120.2 43.7,-120.2 43.6,-120.3 43.6))"
1,-120.1,43.7,"POLYGON((-120.1 43.7,-120.1 43.8,-120.0 43.8,-120.0 43.7,-120.1 43.7))"
1,-120.0,43.7,"POLYGON((-120.0 43.7,-120.0 43.8,-119.9 43.8,-119.9 43.7,-120.0 43.7))"
2,-120.6,43.8,"POLYGON((-120.6 43.8,-120.6 43.9,-120.5 43.9,-120.5 43.8,-120.6 43.8))"
4,-120.5,43.8,"POLYGON((-120.5 43.8,-120.5 43.9,-120.4 43.9,-120.4 43.8,-120.5 43.8))"
9,-120.3,43.8,"POLYGON((-120.3 43.8,-120.3 43.9,-120.2 43.9,-120.2 43.8,-120.3 43.8))"
25,-120.1,43.8,"POLYGON((-120.1 43.8,-120.1 43.9,-120.0 43.9,-120.0 43.8,-120.1 43.8))"
5,-120.8,43.9,"POLYGON((-120.8 43.9,-120.8 44.0,-120.7 44.0,-120.7 43.9,-120.8 43.9))"
5,-120.7,43.9,"POLYGON((-120.7 43.9,-120.7 44.0,-120.6 44.0,-120.6 43.9,-120.7 43.9))"
9,-120.6,43.9,"POLYGON((-120.6 43.9,-120.6 44.0,-120.5 44.0,-120.5 43.9,-120.6 43.9))"
18,-120.5,43.9,"POLYGON((-120.5 43.9,-120.5 44.0,-120.4 44.0,-120.4 43.9,-120.5 43.9))"
12,-120.4,43.9,"POLYGON((-120.4 43.9,-120.4 44.0,-120.3 44.0,-120.3 43.9,-120.4 43.9))"
23,-120.3,43.9,"POLYGON((-120.3 43.9,-120.3 44.0,-120.2 44.0,-120.2 43.9,-120.3 43.9))"
2,-120.1,43.9,"POLYGON((-120.1 43.9,-120.1 44.0,-120.0 44.0,-120.0 43.9,-120.1 43.9))"
1,-119.9,43.9,"POLYGON((-119.9 43.9,-119.9 44.0,-119.8 44.0,-119.8 43.9,-119.9 43.9))"
53,-121.0,44.0,"POLYGON((-121.0 44.0,-121.0 44.1,-120.9 44.1,-120.9 44.0,-121.0 44.0))"
559,-120.9,44.0,"POLYGON((-120.9 44.0,-120.9 44.1,-120.8 44.1,-120.8 44.0,-120.9 44.0))"
45,-120.8,44.0,"POLYGON((-120.8 44.0,-120.8 44.1,-120.7 44.1,-120.7 44.0,-120.8 44.0))"
13,-120.7,44.0,"POLYGON((-120.7 44.0,-120.7 44.1,-120.6 44.1,-120.6 44.0,-120.7 44.0))"
4,-120.6,44.0,"POLYGON((-120.6 44.0,-120.6 44.1,-120.5 44.1,-120.5 44.0,-120.6 44.0))"
3,-120.5,44.0,"POLYGON((-120.5 44.0,-120.5 44.1,-120.4 44.1,-120.4 44.0,-120.5 44.0))"
4,-120.4,44.0,"POLYGON((-120.4 44.0,-120.4 44.1,-120.3 44.1,-120.3 44.0,-120.4 44.0))"
5,-120.3,44.0,"POLYGON((-120.3 44.0,-120.3 44.1,-120.2 44.1,-120.2 44.0,-120.3 44.0))"
4,-120.2,44.0,"POLYGON((-120.2 44.0,-120.2 44.1,-120.1 44.1,-120.1 44.0,-120.2 44.0))"
11,-120.1,44.0,"POLYGON((-120.1 44.0,-120.1 44.1,-120.0 44.1,-120.0 44.0,-120.1 44.0))"
4,-119.9,44.0,"POLYGON((-119.9 44.0,-119.9 44.1,-119.8 44.1,-119.8 44.0,-119.9 44.0))"
2,-119.8,44.0,"POLYGON((-119.8 44.0,-119.8 44.1,-119.7 44.1,-119.7 44.0,-119.8 44.0))"
17,-119.7,44.0,"POLYGON((-119.7 44.0,-119.7 44.1,-119.6 44.1,-119.6 44.0,-119.7 44.0))"
1053,-121.1,44.1,"POLYGON((-121.1 44.1,-121.1 44.2,-121.0 44.2,-121.0 44.1,-121.1 44.1))"
12,-121.0,44.1,"POLYGON((-121.0 44.1,-121.0 44.2,-120.9 44.2,-120.9 44.1,-121.0 44.1))"
601,-120.9,44.1,"POLYGON((-120.9 44.1,-120.9 44.2,-120.8 44.2,-120.8 44.1,-120.9 44.1))"
1983,-120.8,44.1,"POLYGON((-120.8 44.1,-120.8 44.2,-120.7 44.2,-120.7 44.1,-120.8 44.1))"
223,-120.7,44.1,"POLYGON((-120.7 44.1,-120.7 44.2,-120.6 44.2,-120.6 44.1,-120.7 44.1))"
320,-120.6,44.1,"POLYGON((-120.6 44.1,-120.6 44.2,-120.5 44.2,-120.5 44.1,-120.6 44.1))"
38,-120.5,44.1,"POLYGON((-120.5 44.1,-120.5 44.2,-120.4 44.2,-120.4 44.1,-120.5 44.1))"
13,-120.4,44.1,"POLYGON((-120.4 44.1,-120.4 44.2,-120.3 44.2,-120.3 44.1,-120.4 44.1))"
