count,lon,lat,area
6,-124.3,41.9,"POLYGON((-124.3 41.9,-124.3 42.0,-124.2 42.0,-124.2 41.9,-124.3 41.9))"
748,-124.4,42.0,"POLYGON((-124.4 42.0,-124.4 42.1,-124.3 42.1,-124.3 42.0,-124.4 42.0))"
5732,-124.3,42.0,"POLYGON((-124.3 42.0,-124.3 42.1,-124.2 42.1,-124.2 42.0,-124.3 42.0))"
318,-124.2,42.0,"POLYGON((-124.2 42.0,-124.2 42.1,-124.1 42.1,-124.1 42.0,-124.2 42.0))"
2,-124.1,42.0,"POLYGON((-124.1 42.0,-124.1 42.1,-124.0 42.1,-124.0 42.0,-124.1 42.0))"
869,-124.4,42.1,"POLYGON((-124.4 42.1,-124.4 42.2,-124.3 42.2,-124.3 42.1,-124.4 42.1))"
86,-124.3,42.1,"POLYGON((-124.3 42.1,-124.3 42.2,-124.2 42.2,-124.2 42.1,-124.3 42.1))"
53,-124.2,42.1,"POLYGON((-124.2 42.1,-124.2 42.2,-124.1 42.2,-124.1 42.1,-124.2 42.1))"
43,-124.5,42.2,"POLYGON((-124.5 42.2,-124.5 42.3,-124.4 42.3,-124.4 42.2,-124.5 42.2))"
158,-124.4,42.2,"POLYGON((-124.4 42.2,-124.4 42.3,-124.3 42.3,-124.3 42.2,-124.4 42.2))"
8,-124.3,42.2,"POLYGON((-124.3 42.2,-124.3 42.3,-124.2 42.3,-124.2 42.2,-124.3 42.2))"
2,-124.2,42.2,"POLYGON((-124.2 42.2,-124.2 42.3,-124.1 42.3,-124.1 42.2,-124.2 42.2))"
482,-124.5,42.3,"POLYGON((-124.5 42.3,-124.5 42.4,-124.4 42.4,-124.4 42.3,-124.5 42.3))"
82,-124.4,42.3,"POLYGON((-124.4 42.3,-124.4 42.4,-124.3 42.4,-124.3 42.3,-124.4 42.3))"
1487,-124.5,42.4,"POLYGON((-124.5 42.4,-124.5 42.5,-124.4 42.5,-124.4 42.4,-124.5 42.4))"
677,-124.4,42.4,"POLYGON((-124.4 42.4,-124.4 42.5,-124.3 42.5,-124.3 42.4,-124.4 42.4))"
18,-124.3,42.4,"POLYGON((-124.3 42.4,-124.3 42.5,-124.2 42.5,-124.2 42.4,-124.3 42.4))"
263,-124.5,42.5,"POLYGON((-124.5 42.5,-124.5 42.6,-124.4 42.6,-124.4 42.5,-124.5 42.5))"
281,-124.4,42.5,"POLYGON((-124.4 42.5,-124.4 42.6,-124.3 42.6,-124.3 42.5,-124.4 42.5))"
9,-124.3,42.5,"POLYGON((-124.3 42.5,-124.3 42.6,-124.2 42.6,-124.2 42.5,-124.3 42.5))"
10,-124.2,42.5,"POLYGON((-124.2 42.5,-124.2 42.6,-124.1 42.6,-124.1 42.5,-124.2 42.5))"
99,-124.1,42.5,"POLYGON((-124.1 42.5,-124.1 42.6,-124.0 42.6,-124.0 42.5,-124.1 42.5))"
14,-124.5,42.6,"POLYGON((-124.5 42.6,-124.5 42.7,-124.4 42.7,-124.4 42.6,-124.5 42.6))"
19,-124.4,42.6,"POLYGON((-124.4 42.6,-124.4 42.7,-124.3 42.7,-124.3 42.6,-124.4 42.6))"
15,-124.1,42.6,"POLYGON((-124.1 42.6,-124.1 42.7,-124.0 42.7,-124.0 42.6,-124.1 42.6))"
4,-124.0,42.6,"POLYGON((-124.0 42.6,-124.0 42.7,-123.9 42.7,-123.9 42.6,-124.0 42.6))"
375,-124.6,42.7,"POLYGON((-124.6 42.7,-124.6 42.8,-124.5 42.8,-124.5 42.7,-124.6 42.7))"
941,-124.5,42.7,"POLYGON((-124.5 42.7,-124.5 42.8,-124.4 42.8,-124.4 42.7,-124.5 42.7))"
4,-124.4,42.7,"POLYGON((-124.4 42.7,-124.4 42.8,-124.3 42.8,-124.3 42.7,-124.4 42.7))"
1,-124.0,42.7,"POLYGON((-124.0 42.7,-124.0 42.8,-123.9 42.8,-123.9 42.7,-124.0 42.7))"
57,-124.6,42.8,"POLYGON((-124.6 42.8,-124.6 42.9,-124.5 42.9,-124.5 42.8,-124.6 42.8))"
276,-124.5,42.8,"POLYGON((-124.5 42.8,-124.5 42.9,-124.4 42.9,-124.4 42.8,-124.5 42.8))"
12,-124.4,42.8,"POLYGON((-124.4 42.8,-124.4 42.9,-124.3 42.9,-124.3 42.8,-124.4 42.8))"
1,-124.2,42.8,"POLYGON((-124.2 42.8,-124.2 42.9,-124.1 42.9,-124.1 42.8,-124.2 42.8))"
9,-124.6,42.9,"POLYGON((-124.6 42.9,-124.6 43.0,-124.5 43.0,-124.5 42.9,-124.6 42.9))"
258,-124.5,42.9,"POLYGON((-124.5 42.9,-124.5 43.0,-124.4 43.0,-124.4 42.9,-124.5 42.9))"
27,-124.4,42.9,"POLYGON((-124.4 42.9,-124.4 43.0,-124.3 43.0,-124.3 42.9,-124.4 42.9))"
