count,lon,lat,area
14,-123.1,44.6,"POLYGON((-123.1 44.6,-123.1 44.7,-123.0 44.7,-123.0 44.6,-123.1 44.6))"
8,-123.0,44.6,"POLYGON((-123.0 44.6,-123.0 44.7,-122.9 44.7,-122.9 44.6,-123.0 44.6))"
60,-122.1,44.6,"POLYGON((-122.1 44.6,-122.1 44.7,-122.0 44.7,-122.0 44.6,-122.1 44.6))"
10,-122.0,44.6,"POLYGON((-122.0 44.6,-122.0 44.7,-121.9 44.7,-121.9 44.6,-122.0 44.6))"
92,-123.2,44.7,"POLYGON((-123.2 44.7,-123.2 44.8,-123.1 44.8,-123.1 44.7,-123.2 44.7))"
1866,-123.1,44.7,"POLYGON((-123.1 44.7,-123.1 44.8,-123.0 44.8,-123.0 44.7,-123.1 44.7))"
1287,-123.0,44.7,"POLYGON((-123.0 44.7,-123.0 44.8,-122.9 44.8,-122.9 44.7,-123.0 44.7))"
778,-122.9,44.7,"POLYGON((-122.9 44.7,-122.9 44.8,-122.8 44.8,-122.8 44.7,-122.9 44.7))"
551,-122.8,44.7,"POLYGON((-122.8 44.7,-122.8 44.8,-122.7 44.8,-122.7 44.7,-122.8 44.7))"
483,-122.7,44.7,"POLYGON((-122.7 44.7,-122.7 44.8,-122.6 44.8,-122.6 44.7,-122.7 44.7))"
375,-122.6,44.7,"POLYGON((-122.6 44.7,-122.6 44.8,-122.5 44.8,-122.5 44.7,-122.6 44.7))"
712,-122.5,44.7,"POLYGON((-122.5 44.7,-122.5 44.8,-122.4 44.8,-122.4 44.7,-122.5 44.7))"
153,-122.4,44.7,"POLYGON((-122.4 44.7,-122.4 44.8,-122.3 44.8,-122.3 44.7,-122.4 44.7))"
38,-122.3,44.7,"POLYGON((-122.3 44.7,-122.3 44.8,-122.2 44.8,-122.2 44.7,-122.3 44.7))"
667,-122.2,44.7,"POLYGON((-122.2 44.7,-122.2 44.8,-122.1 44.8,-122.1 44.7,-122.2 44.7))"
145,-122.1,44.7,"POLYGON((-122.1 44.7,-122.1 44.8,-122.0 44.8,-122.0 44.7,-122.1 44.7))"
88,-122.0,44.7,"POLYGON((-122.0 44.7,-122.0 44.8,-121.9 44.8,-121.9 44.7,-122.0 44.7))"
2,-121.9,44.7,"POLYGON((-121.9 44.7,-121.9 44.8,-121.8 44.8,-121.8 44.7,-121.9 44.7))"
885,-123.2,44.8,"POLYGON((-123.2 44.8,-123.2 44.9,-123.1 44.9,-123.1 44.8,-123.2 44.8))"
16659,-123.1,44.8,"POLYGON((-123.1 44.8,-123.1 44.9,-123.0 44.9,-123.0 44.8,-123.1 44.8))"
3304,-123.0,44.8,"POLYGON((-123.0 44.8,-123.0 44.9,-122.9 44.9,-122.9 44.8,-123.0 44.8))"
3661,-122.9,44.8,"POLYGON((-122.9 44.8,-122.9 44.9,-122.8 44.9,-122.8 44.8,-122.9 44.8))"
2683,-122.8,44.8,"POLYGON((-122.8 44.8,-122.8 44.9,-122.7 44.9,-122.7 44.8,-122.8 44.8))"
