count,lon,lat,area
518,-76.3,39.7,"POLYGON((-76.3 39.7,-76.3 39.8,-76.2 39.8,-76.2 39.7,-76.3 39.7))"
1509,-76.2,39.7,"POLYGON((-76.2 39.7,-76.2 39.8,-76.1 39.8,-76.1 39.7,-76.2 39.7))"
480,-76.1,39.7,"POLYGON((-76.1 39.7,-76.1 39.8,-76.0 39.8,-76.0 39.7,-76.1 39.7))"
1034,-76.4,39.8,"POLYGON((-76.4 39.8,-76.4 39.9,-76.3 39.9,-76.3 39.8,-76.4 39.8))"
2122,-76.3,39.8,"POLYGON((-76.3 39.8,-76.3 39.9,-76.2 39.9,-76.2 39.8,-76.3 39.8))"
2687,-76.2,39.8,"POLYGON((-76.2 39.8,-76.2 39.9,-76.1 39.9,-76.1 39.8,-76.2 39.8))"
1272,-76.1,39.8,"POLYGON((-76.1 39.8,-76.1 39.9,-76.0 39.9,-76.0 39.8,-76.1 39.8))"
19,-76.0,39.8,"POLYGON((-76.0 39.8,-76.0 39.9,-75.9 39.9,-75.9 39.8,-76.0 39.8))"
977,-76.5,39.9,"POLYGON((-76.5 39.9,-76.5 40.0,-76.4 40.0,-76.4 39.9,-76.5 39.9))"
4789,-76.4,39.9,"POLYGON((-76.4 39.9,-76.4 40.0,-76.3 40.0,-76.3 39.9,-76.4 39.9))"
8492,-76.3,39.9,"POLYGON((-76.3 39.9,-76.3 40.0,-76.2 40.0,-76.2 39.9,-76.3 39.9))"
4021,-76.2,39.9,"POLYGON((-76.2 39.9,-76.2 40.0,-76.1 40.0,-76.1 39.9,-76.2 39.9))"
2825,-76.1,39.9,"POLYGON((-76.1 39.9,-76.1 40.0,-76.0 40.0,-76.0 39.9,-76.1 39.9))"
1660,-76.0,39.9,"POLYGON((-76.0 39.9,-76.0 40.0,-75.9 40.0,-75.9 39.9,-76.0 39.9))"
761,-76.7,40.0,"POLYGON((-76.7 40.0,-76.7 40.1,-76.6 40.1,-76.6 40.0,-76.7 40.0))"
5631,-76.6,40.0,"POLYGON((-76.6 40.0,-76.6 40.1,-76.5 40.1,-76.5 40.0,-76.6 40.0))"
14543,-76.5,40.0,"POLYGON((-76.5 40.0,-76.5 40.1,-76.4 40.1,-76.4 40.0,-76.5 40.0))"
41042,-76.4,40.0,"POLYGON((-76.4 40.0,-76.4 40.1,-76.3 40.1,-76.3 40.0,-76.4 40.0))"
24308,-76.3,40.0,"POLYGON((-76.3 40.0,-76.3 40.1,-76.2 40.1,-76.2 40.0,-76.3 40.0))"
5689,-76.2,40.0,"POLYGON((-76.2 40.0,-76.2 40.1,-76.1 40.1,-76.1 40.0,-76.2 40.0))"
3736,-76.1,40.0,"POLYGON((-76.1 40.0,-76.1 40.1,-76.0 40.1,-76.0 40.0,-76.1 40.0))"
1332,-76.0,40.0,"POLYGON((-76.0 40.0,-76.0 40.1,-75.9 40.1,-75.9 40.0,-76.0 40.0))"
166,-76.8,40.1,"POLYGON((-76.8 40.1,-76.8 40.2,-76.7 40.2,-76.7 40.1,-76.8 40.1))"
7275,-76.7,40.1,"POLYGON((-76.7 40.1,-76.7 40.2,-76.6 40.2,-76.6 40.1,-76.7 40.1))"
10171,-76.6,40.1,"POLYGON((-76.6 40.1,-76.6 40.2,-76.5 40.2,-76.5 40.1,-76.6 40.1))"
5805,-76.5,40.1,"POLYGON((-76.5 40.1,-76.5 40.2,-76.4 40.2,-76.4 40.1,-76.5 40.1))"
15938,-76.4,40.1,"POLYGON((-76.4 40.1,-76.4 40.2,-76.3 40.2,-76.3 40.1,-76.4 40.1))"
12883,-76.3,40.1,"POLYGON((-76.3 40.1,-76.3 40.2,-76.2 40.2,-76.2 40.1,-76.3 40.1))"
10319,-76.2,40.1,"POLYGON((-76.2 40.1,-76.2 40.2,-76.1 40.2,-76.1 40.1,-76.2 40.1))"
6311,-76.1,40.1,"POLYGON((-76.1 40.1,-76.1 40.2,-76.0 40.2,-76.0 40.1,-76.1 40.1))"
1819,-76.0,40.1,"POLYGON((-76.0 40.1,-76.0 40.2,-75.9 40.2,-75.9 40.1,-76.0 40.1))"
64,-75.9,40.1,"POLYGON((-75.9 40.1,-75.9 40.2,-75.8 40.2,-75.8 40.1,-75.9 40.1))"
145,-76.7,40.2,"POLYGON((-76.7 40.2,-76.7 40.3,-76.6 40.3,-76.6 40.2,-76.7 40.2))"
197,-76.6,40.2,"POLYGON((-76.6 40.2,-76.6 40.3,-76.5 40.3,-76.5 40.2,-76.6 40.2))"
928,-76.5,40.2,"POLYGON((-76.5 40.2,-76.5 40.3,-76.4 40.3,-76.4 40.2,-76.5 40.2))"
1390,-76.4,40.2,"POLYGON((-76.4 40.2,-76.4 40.3,-76.3 40.3,-76.3 40.2,-76.4 40.2))"
3632,-76.3,40.2,"POLYGON((-76.3 40.2,-76.3 40.3,-76.2 40.3,-76.2 40.2,-76.3 40.2))"
6608,-76.2,40.2,"POLYGON((-76.2 40.2,-76.2 40.3,-76.1 40.3,-76.1 40.2,-76.2 40.2))"
3809,-76.1,40.2,"POLYGON((-76.1 40.2,-76.1 40.3,-76.0 40.3,-76.0 40.2,-76.1 40.2))"
45,-76.0,40.2,"POLYGON((-76.0 40.2,-76.0 40.3,-75.9 40.3,-75.9 40.2,-76.0 40.2))"
36,-76.2,40.3,"POLYGON((-76.2 40.3,-76.2 40.4,-76.1 40.4,-76.1 40.3,-76.2 40.3))"
