count,lon,lat,area
958,-79.4,39.7,"POLYGON((-79.4 39.7,-79.4 39.8,-79.3 39.8,-79.3 39.7,-79.4 39.7))"
301,-79.3,39.7,"POLYGON((-79.3 39.7,-79.3 39.8,-79.2 39.8,-79.2 39.7,-79.3 39.7))"
499,-79.2,39.7,"POLYGON((-79.2 39.7,-79.2 39.8,-79.1 39.8,-79.1 39.7,-79.2 39.7))"
1114,-79.1,39.7,"POLYGON((-79.1 39.7,-79.1 39.8,-79.0 39.8,-79.0 39.7,-79.1 39.7))"
439,-79.0,39.7,"POLYGON((-79.0 39.7,-79.0 39.8,-78.9 39.8,-78.9 39.7,-79.0 39.7))"
420,-78.9,39.7,"POLYGON((-78.9 39.7,-78.9 39.8,-78.8 39.8,-78.8 39.7,-78.9 39.7))"
68,-78.8,39.7,"POLYGON((-78.8 39.7,-78.8 39.8,-78.7 39.8,-78.7 39.7,-78.8 39.7))"
1013,-79.4,39.8,"POLYGON((-79.4 39.8,-79.4 39.9,-79.3 39.9,-79.3 39.8,-79.4 39.8))"
469,-79.3,39.8,"POLYGON((-79.3 39.8,-79.3 39.9,-79.2 39.9,-79.2 39.8,-79.3 39.8))"
300,-79.2,39.8,"POLYGON((-79.2 39.8,-79.2 39.9,-79.1 39.9,-79.1 39.8,-79.2 39.8))"
2059,-79.1,39.8,"POLYGON((-79.1 39.8,-79.1 39.9,-79.0 39.9,-79.0 39.8,-79.1 39.8))"
534,-79.0,39.8,"POLYGON((-79.0 39.8,-79.0 39.9,-78.9 39.9,-78.9 39.8,-79.0 39.8))"
301,-78.9,39.8,"POLYGON((-78.9 39.8,-78.9 39.9,-78.8 39.9,-78.8 39.8,-78.9 39.8))"
138,-78.8,39.8,"POLYGON((-78.8 39.8,-78.8 39.9,-78.7 39.9,-78.7 39.8,-78.8 39.8))"
427,-79.4,39.9,"POLYGON((-79.4 39.9,-79.4 40.0,-79.3 40.0,-79.3 39.9,-79.4 39.9))"
1078,-79.3,39.9,"POLYGON((-79.3 39.9,-79.3 40.0,-79.2 40.0,-79.2 39.9,-79.3 39.9))"
1614,-79.2,39.9,"POLYGON((-79.2 39.9,-79.2 40.0,-79.1 40.0,-79.1 39.9,-79.2 39.9))"
1611,-79.1,39.9,"POLYGON((-79.1 39.9,-79.1 40.0,-79.0 40.0,-79.0 39.9,-79.1 39.9))"
1747,-79.0,39.9,"POLYGON((-79.0 39.9,-79.0 40.0,-78.9 40.0,-78.9 39.9,-79.0 39.9))"
415,-78.9,39.9,"POLYGON((-78.9 39.9,-78.9 40.0,-78.8 40.0,-78.8 39.9,-78.9 39.9))"
223,-78.8,39.9,"POLYGON((-78.8 39.9,-78.8 40.0,-78.7 40.0,-78.7 39.9,-78.8 39.9))"
150,-79.4,40.0,"POLYGON((-79.4 40.0,-79.4 40.1,-79.3 40.1,-79.3 40.0,-79.4 40.0))"
1625,-79.3,40.0,"POLYGON((-79.3 40.0,-79.3 40.1,-79.2 40.1,-79.2 40.0,-79.3 40.0))"
1307,-79.2,40.0,"POLYGON((-79.2 40.0,-79.2 40.1,-79.1 40.1,-79.1 40.0,-79.2 40.0))"
5017,-79.1,40.0,"POLYGON((-79.1 40.0,-79.1 40.1,-79.0 40.1,-79.0 40.0,-79.1 40.0))"
1632,-79.0,40.0,"POLYGON((-79.0 40.0,-79.0 40.1,-78.9 40.1,-78.9 40.0,-79.0 40.0))"
1617,-78.9,40.0,"POLYGON((-78.9 40.0,-78.9 40.1,-78.8 40.1,-78.8 40.0,-78.9 40.0))"
184,-78.8,40.0,"POLYGON((-78.8 40.0,-78.8 40.1,-78.7 40.1,-78.7 40.0,-78.8 40.0))"
7,-79.3,40.1,"POLYGON((-79.3 40.1,-79.3 40.2,-79.2 40.2,-79.2 40.1,-79.3 40.1))"
389,-79.2,40.1,"POLYGON((-79.2 40.1,-79.2 40.2,-79.1 40.2,-79.1 40.1,-79.2 40.1))"
2852,-79.1,40.1,"POLYGON((-79.1 40.1,-79.1 40.2,-79.0 40.2,-79.0 40.1,-79.1 40.1))"
1536,-79.0,40.1,"POLYGON((-79.0 40.1,-79.0 40.2,-78.9 40.2,-78.9 40.1,-79.0 40.1))"
1728,-78.9,40.1,"POLYGON((-78.9 40.1,-78.9 40.2,-78.8 40.2,-78.8 40.1,-78.9 40.1))"
278,-78.8,40.1,"POLYGON((-78.8 40.1,-78.8 40.2,-78.7 40.2,-78.7 40.1,-78.8 40.1))"
76,-78.7,40.1,"POLYGON((-78.7 40.1,-78.7 40.2,-78.6 40.2,-78.6 40.1,-78.7 40.1))"
19,-79.2,40.2,"POLYGON((-79.2 40.2,-79.2 40.3,-79.1 40.3,-79.1 40.2,-79.2 40.2))"
441,-79.1,40.2,"POLYGON((-79.1 40.2,-79.1 40.3,-79.0 40.3,-79.0 40.2,-79.1 40.2))"
3358,-79.0,40.2,"POLYGON((-79.0 40.2,-79.0 40.3,-78.9 40.3,-78.9 40.2,-79.0 40.2))"
3398,-78.9,40.2,"POLYGON((-78.9 40.2,-78.9 40.3,-78.8 40.3,-78.8 40.2,-78.9 40.2))"
260,-78.8,40.2,"POLYGON((-78.8 40.2,-78.8 40.3,-78.7 40.3,-78.7 40.2,-78.8 40.2))"
20,-78.7,40.2,"POLYGON((-78.7 40.2,-78.7 40.3,-78.6 40.3,-78.6 40.2,-78.7 40.2))"
