count,lon,lat,area
1,-77.1,39.7,"POLYGON((-77.1 39.7,-77.1 39.8,-77.0 39.8,-77.0 39.7,-77.1 39.7))"
10712,-77.0,39.7,"POLYGON((-77.0 39.7,-77.0 39.8,-76.9 39.8,-76.9 39.7,-77.0 39.7))"
1950,-76.9,39.7,"POLYGON((-76.9 39.7,-76.9 39.8,-76.8 39.8,-76.8 39.7,-76.9 39.7))"
2912,-76.8,39.7,"POLYGON((-76.8 39.7,-76.8 39.8,-76.7 39.8,-76.7 39.7,-76.8 39.7))"
6112,-76.7,39.7,"POLYGON((-76.7 39.7,-76.7 39.8,-76.6 39.8,-76.6 39.7,-76.7 39.7))"
2864,-76.6,39.7,"POLYGON((-76.6 39.7,-76.6 39.8,-76.5 39.8,-76.5 39.7,-76.6 39.7))"
1541,-76.5,39.7,"POLYGON((-76.5 39.7,-76.5 39.8,-76.4 39.8,-76.4 39.7,-76.5 39.7))"
3042,-76.4,39.7,"POLYGON((-76.4 39.7,-76.4 39.8,-76.3 39.8,-76.3 39.7,-76.4 39.7))"
409,-76.3,39.7,"POLYGON((-76.3 39.7,-76.3 39.8,-76.2 39.8,-76.2 39.7,-76.3 39.7))"
2,-77.1,39.8,"POLYGON((-77.1 39.8,-77.1 39.9,-77.0 39.9,-77.0 39.8,-77.1 39.8))"
8464,-77.0,39.8,"POLYGON((-77.0 39.8,-77.0 39.9,-76.9 39.9,-76.9 39.8,-77.0 39.8))"
4939,-76.9,39.8,"POLYGON((-76.9 39.8,-76.9 39.9,-76.8 39.9,-76.8 39.8,-76.9 39.8))"
5272,-76.8,39.8,"POLYGON((-76.8 39.8,-76.8 39.9,-76.7 39.9,-76.7 39.8,-76.8 39.8))"
5548,-76.7,39.8,"POLYGON((-76.7 39.8,-76.7 39.9,-76.6 39.9,-76.6 39.8,-76.7 39.8))"
3684,-76.6,39.8,"POLYGON((-76.6 39.8,-76.6 39.9,-76.5 39.9,-76.5 39.8,-76.6 39.8))"
1317,-76.5,39.8,"POLYGON((-76.5 39.8,-76.5 39.9,-76.4 39.9,-76.4 39.8,-76.5 39.8))"
637,-76.4,39.8,"POLYGON((-76.4 39.8,-76.4 39.9,-76.3 39.9,-76.3 39.8,-76.4 39.8))"
11,-77.1,39.9,"POLYGON((-77.1 39.9,-77.1 40.0,-77.0 40.0,-77.0 39.9,-77.1 39.9))"
2116,-77.0,39.9,"POLYGON((-77.0 39.9,-77.0 40.0,-76.9 40.0,-76.9 39.9,-77.0 39.9))"
11683,-76.9,39.9,"POLYGON((-76.9 39.9,-76.9 40.0,-76.8 40.0,-76.8 39.9,-76.9 39.9))"
32762,-76.8,39.9,"POLYGON((-76.8 39.9,-76.8 40.0,-76.7 40.0,-76.7 39.9,-76.8 39.9))"
22940,-76.7,39.9,"POLYGON((-76.7 39.9,-76.7 40.0,-76.6 40.0,-76.6 39.9,-76.7 39.9))"
6210,-76.6,39.9,"POLYGON((-76.6 39.9,-76.6 40.0,-76.5 40.0,-76.5 39.9,-76.6 39.9))"
1167,-76.5,39.9,"POLYGON((-76.5 39.9,-76.5 40.0,-76.4 40.0,-76.4 39.9,-76.5 39.9))"
23,-76.4,39.9,"POLYGON((-76.4 39.9,-76.4 40.0,-76.3 40.0,-76.3 39.9,-76.4 39.9))"
304,-77.2,40.0,"POLYGON((-77.2 40.0,-77.2 40.1,-77.1 40.1,-77.1 40.0,-77.2 40.0))"
2506,-77.1,40.0,"POLYGON((-77.1 40.0,-77.1 40.1,-77.0 40.1,-77.0 40.0,-77.1 40.0))"
2552,-77.0,40.0,"POLYGON((-77.0 40.0,-77.0 40.1,-76.9 40.1,-76.9 40.0,-77.0 40.0))"
4656,-76.9,40.0,"POLYGON((-76.9 40.0,-76.9 40.1,-76.8 40.1,-76.8 40.0,-76.9 40.0))"
11710,-76.8,40.0,"POLYGON((-76.8 40.0,-76.8 40.1,-76.7 40.1,-76.7 40.0,-76.8 40.0))"
3639,-76.7,40.0,"POLYGON((-76.7 40.0,-76.7 40.1,-76.6 40.1,-76.6 40.0,-76.7 40.0))"
2605,-76.6,40.0,"POLYGON((-76.6 40.0,-76.6 40.1,-76.5 40.1,-76.5 40.0,-76.6 40.0))"
3429,-77.1,40.1,"POLYGON((-77.1 40.1,-77.1 40.2,-77.0 40.2,-77.0 40.1,-77.1 40.1))"
2448,-77.0,40.1,"POLYGON((-77.0 40.1,-77.0 40.2,-76.9 40.2,-76.9 40.1,-77.0 40.1))"
7710,-76.9,40.1,"POLYGON((-76.9 40.1,-76.9 40.2,-76.8 40.2,-76.8 40.1,-76.9 40.1))"
4837,-76.8,40.1,"POLYGON((-76.8 40.1,-76.8 40.2,-76.7 40.2,-76.7 40.1,-76.8 40.1))"
126,-77.0,40.2,"POLYGON((-77.0 40.2,-77.0 40.3,-76.9 40.3,-76.9 40.2,-77.0 40.2))"
1842,-76.9,40.2,"POLYGON((-76.9 40.2,-76.9 40.3,-76.8 40.3,-76.8 40.2,-76.9 40.2))"
