count,lon,lat,area
14,-81.0,32.0,"POLYGON((-81.0 32.0,-81.0 32.1,-80.9 32.1,-80.9 32.0,-81.0 32.0))"
2,-81.2,32.1,"POLYGON((-81.2 32.1,-81.2 32.2,-81.1 32.2,-81.1 32.1,-81.2 32.1))"
66,-81.1,32.1,"POLYGON((-81.1 32.1,-81.1 32.2,-81.0 32.2,-81.0 32.1,-81.1 32.1))"
30,-81.0,32.1,"POLYGON((-81.0 32.1,-81.0 32.2,-80.9 32.2,-80.9 32.1,-81.0 32.1))"
10,-81.2,32.2,"POLYGON((-81.2 32.2,-81.2 32.3,-81.1 32.3,-81.1 32.2,-81.2 32.2))"
66,-81.1,32.2,"POLYGON((-81.1 32.2,-81.1 32.3,-81.0 32.3,-81.0 32.2,-81.1 32.2))"
27,-81.2,32.3,"POLYGON((-81.2 32.3,-81.2 32.4,-81.1 32.4,-81.1 32.3,-81.2 32.3))"
42,-81.1,32.3,"POLYGON((-81.1 32.3,-81.1 32.4,-81.0 32.4,-81.0 32.3,-81.1 32.3))"
69,-81.0,32.3,"POLYGON((-81.0 32.3,-81.0 32.4,-80.9 32.4,-80.9 32.3,-81.0 32.3))"
10,-80.9,32.3,"POLYGON((-80.9 32.3,-80.9 32.4,-80.8 32.4,-80.8 32.3,-80.9 32.3))"
3,-81.3,32.4,"POLYGON((-81.3 32.4,-81.3 32.5,-81.2 32.5,-81.2 32.4,-81.3 32.4))"
24,-81.2,32.4,"POLYGON((-81.2 32.4,-81.2 32.5,-81.1 32.5,-81.1 32.4,-81.2 32.4))"
61,-81.1,32.4,"POLYGON((-81.1 32.4,-81.1 32.5,-81.0 32.5,-81.0 32.4,-81.1 32.4))"
56,-81.0,32.4,"POLYGON((-81.0 32.4,-81.0 32.5,-80.9 32.5,-80.9 32.4,-81.0 32.4))"
26,-80.9,32.4,"POLYGON((-80.9 32.4,-80.9 32.5,-80.8 32.5,-80.8 32.4,-80.9 32.4))"
38,-81.3,32.5,"POLYGON((-81.3 32.5,-81.3 32.6,-81.2 32.6,-81.2 32.5,-81.3 32.5))"
76,-81.2,32.5,"POLYGON((-81.2 32.5,-81.2 32.6,-81.1 32.6,-81.1 32.5,-81.2 32.5))"
50,-81.1,32.5,"POLYGON((-81.1 32.5,-81.1 32.6,-81.0 32.6,-81.0 32.5,-81.1 32.5))"
61,-81.0,32.5,"POLYGON((-81.0 32.5,-81.0 32.6,-80.9 32.6,-80.9 32.5,-81.0 32.5))"
22,-80.9,32.5,"POLYGON((-80.9 32.5,-80.9 32.6,-80.8 32.6,-80.8 32.5,-80.9 32.5))"
3,-81.3,32.6,"POLYGON((-81.3 32.6,-81.3 32.7,-81.2 32.7,-81.2 32.6,-81.3 32.6))"
49,-81.2,32.6,"POLYGON((-81.2 32.6,-81.2 32.7,-81.1 32.7,-81.1 32.6,-81.2 32.6))"
114,-81.1,32.6,"POLYGON((-81.1 32.6,-81.1 32.7,-81.0 32.7,-81.0 32.6,-81.1 32.6))"
40,-81.0,32.6,"POLYGON((-81.0 32.6,-81.0 32.7,-80.9 32.7,-80.9 32.6,-81.0 32.6))"
19,-80.9,32.6,"POLYGON((-80.9 32.6,-80.9 32.7,-80.8 32.7,-80.8 32.6,-80.9 32.6))"
52,-81.1,32.7,"POLYGON((-81.1 32.7,-81.1 32.8,-81.0 32.8,-81.0 32.7,-81.1 32.7))"
9,-81.0,32.7,"POLYGON((-81.0 32.7,-81.0 32.8,-80.9 32.8,-80.9 32.7,-81.0 32.7))"
