count,lon,lat,area
1,-170.7,0.0,"POLYGON((-170.7 0.0,-170.7 0.1,-170.6 0.1,-170.6 0.0,-170.7 0.0))"
106,-98.0,45.1,"POLYGON((-98.0 45.1,-98.0 45.2,-97.9 45.2,-97.9 45.1,-98.0 45.1))"
104,-97.9,45.1,"POLYGON((-97.9 45.1,-97.9 45.2,-97.8 45.2,-97.8 45.1,-97.9 45.1))"
103,-97.8,45.1,"POLYGON((-97.8 45.1,-97.8 45.2,-97.7 45.2,-97.7 45.1,-97.8 45.1))"
186,-97.7,45.1,"POLYGON((-97.7 45.1,-97.7 45.2,-97.6 45.2,-97.6 45.1,-97.7 45.1))"
105,-97.6,45.1,"POLYGON((-97.6 45.1,-97.6 45.2,-97.5 45.2,-97.5 45.1,-97.6 45.1))"
97,-97.5,45.1,"POLYGON((-97.5 45.1,-97.5 45.2,-97.4 45.2,-97.4 45.1,-97.5 45.1))"
91,-97.4,45.1,"POLYGON((-97.4 45.1,-97.4 45.2,-97.3 45.2,-97.3 45.1,-97.4 45.1))"
76,-97.3,45.1,"POLYGON((-97.3 45.1,-97.3 45.2,-97.2 45.2,-97.2 45.1,-97.3 45.1))"
166,-98.0,45.2,"POLYGON((-98.0 45.2,-98.0 45.3,-97.9 45.3,-97.9 45.2,-98.0 45.2))"
187,-97.9,45.2,"POLYGON((-97.9 45.2,-97.9 45.3,-97.8 45.3,-97.8 45.2,-97.9 45.2))"
251,-97.8,45.2,"POLYGON((-97.8 45.2,-97.8 45.3,-97.7 45.3,-97.7 45.2,-97.8 45.2))"
201,-97.7,45.2,"POLYGON((-97.7 45.2,-97.7 45.3,-97.6 45.3,-97.6 45.2,-97.7 45.2))"
205,-97.6,45.2,"POLYGON((-97.6 45.2,-97.6 45.3,-97.5 45.3,-97.5 45.2,-97.6 45.2))"
217,-97.5,45.2,"POLYGON((-97.5 45.2,-97.5 45.3,-97.4 45.3,-97.4 45.2,-97.5 45.2))"
158,-97.4,45.2,"POLYGON((-97.4 45.2,-97.4 45.3,-97.3 45.3,-97.3 45.2,-97.4 45.2))"
147,-97.3,45.2,"POLYGON((-97.3 45.2,-97.3 45.3,-97.2 45.3,-97.2 45.2,-97.3 45.2))"
152,-98.0,45.3,"POLYGON((-98.0 45.3,-98.0 45.4,-97.9 45.4,-97.9 45.3,-98.0 45.3))"
207,-97.9,45.3,"POLYGON((-97.9 45.3,-97.9 45.4,-97.8 45.4,-97.8 45.3,-97.9 45.3))"
561,-97.8,45.3,"POLYGON((-97.8 45.3,-97.8 45.4,-97.7 45.4,-97.7 45.3,-97.8 45.3))"
250,-97.7,45.3,"POLYGON((-97.7 45.3,-97.7 45.4,-97.6 45.4,-97.6 45.3,-97.7 45.3))"
1631,-97.6,45.3,"POLYGON((-97.6 45.3,-97.6 45.4,-97.5 45.4,-97.5 45.3,-97.6 45.3))"
274,-97.5,45.3,"POLYGON((-97.5 45.3,-97.5 45.4,-97.4 45.4,-97.4 45.3,-97.5 45.3))"
754,-97.4,45.3,"POLYGON((-97.4 45.3,-97.4 45.4,-97.3 45.4,-97.3 45.3,-97.4 45.3))"
360,-97.3,45.3,"POLYGON((-97.3 45.3,-97.3 45.4,-97.2 45.4,-97.2 45.3,-97.3 45.3))"
267,-98.0,45.4,"POLYGON((-98.0 45.4,-98.0 45.5,-97.9 45.5,-97.9 45.4,-98.0 45.4))"
392,-97.9,45.4,"POLYGON((-97.9 45.4,-97.9 45.5,-97.8 45.5,-97.8 45.4,-97.9 45.4))"
189,-97.8,45.4,"POLYGON((-97.8 45.4,-97.8 45.5,-97.7 45.5,-97.7 45.4,-97.8 45.4))"
262,-97.7,45.4,"POLYGON((-97.7 45.4,-97.7 45.5,-97.6 45.5,-97.6 45.4,-97.7 45.4))"
241,-97.6,45.4,"POLYGON((-97.6 45.4,-97.6 45.5,-97.5 45.5,-97.5 45.4,-97.6 45.4))"
389,-97.5,45.4,"POLYGON((-97.5 45.4,-97.5 45.5,-97.4 45.5,-97.4 45.4,-97.5 45.4))"
399,-97.4,45.4,"POLYGON((-97.4 45.4,-97.4 45.5,-97.3 45.5,-97.3 45.4,-97.4 45.4))"
799,-97.3,45.4,"POLYGON((-97.3 45.4,-97.3 45.5,-97.2 45.5,-97.2 45.4,-97.3 45.4))"
107,-98.0,45.5,"POLYGON((-98.0 45.5,-98.0 45.6,-97.9 45.6,-97.9 45.5,-98.0 45.5))"
149,-97.9,45.5,"POLYGON((-97.9 45.5,-97.9 45.6,-97.8 45.6,-97.8 45.5,-97.9 45.5))"
156,-97.8,45.5,"POLYGON((-97.8 45.5,-97.8 45.6,-97.7 45.6,-97.7 45.5,-97.8 45.5))"
210,-97.7,45.5,"POLYGON((-97.7 45.5,-97.7 45.6,-97.6 45.6,-97.6 45.5,-97.7 45.5))"
210,-97.6,45.5,"POLYGON((-97.6 45.5,-97.6 45.6,-97.5 45.6,-97.5 45.5,-97.6 45.5))"
250,-97.5,45.5,"POLYGON((-97.5 45.5,-97.5 45.6,-97.4 45.6,-97.4 45.5,-97.5 45.5))"
170,-97.4,45.5,"POLYGON((-97.4 45.5,-97.4 45.6,-97.3 45.6,-97.3 45.5,-97.4 45.5))"
330,-97.3,45.5,"POLYGON((-97.3 45.5,-97.3 45.6,-97.2 45.6,-97.2 45.5,-97.3 45.5))"
