count,lon,lat,area
9,-104.1,44.1,"POLYGON((-104.1 44.1,-104.1 44.2,-104.0 44.2,-104.0 44.1,-104.1 44.1))"
96,-104.0,44.1,"POLYGON((-104.0 44.1,-104.0 44.2,-103.9 44.2,-103.9 44.1,-104.0 44.1))"
20,-103.9,44.1,"POLYGON((-103.9 44.1,-103.9 44.2,-103.8 44.2,-103.8 44.1,-103.9 44.1))"
47,-103.8,44.1,"POLYGON((-103.8 44.1,-103.8 44.2,-103.7 44.2,-103.7 44.1,-103.8 44.1))"
37,-103.7,44.1,"POLYGON((-103.7 44.1,-103.7 44.2,-103.6 44.2,-103.6 44.1,-103.7 44.1))"
148,-103.6,44.1,"POLYGON((-103.6 44.1,-103.6 44.2,-103.5 44.2,-103.5 44.1,-103.6 44.1))"
38,-103.5,44.1,"POLYGON((-103.5 44.1,-103.5 44.2,-103.4 44.2,-103.4 44.1,-103.5 44.1))"
41,-104.1,44.2,"POLYGON((-104.1 44.2,-104.1 44.3,-104.0 44.3,-104.0 44.2,-104.1 44.2))"
35,-104.0,44.2,"POLYGON((-104.0 44.2,-104.0 44.3,-103.9 44.3,-103.9 44.2,-104.0 44.2))"
242,-103.9,44.2,"POLYGON((-103.9 44.2,-103.9 44.3,-103.8 44.3,-103.8 44.2,-103.9 44.2))"
252,-103.8,44.2,"POLYGON((-103.8 44.2,-103.8 44.3,-103.7 44.3,-103.7 44.2,-103.8 44.2))"
312,-103.7,44.2,"POLYGON((-103.7 44.2,-103.7 44.3,-103.6 44.3,-103.6 44.2,-103.7 44.2))"
166,-103.6,44.2,"POLYGON((-103.6 44.2,-103.6 44.3,-103.5 44.3,-103.5 44.2,-103.6 44.2))"
12,-103.5,44.2,"POLYGON((-103.5 44.2,-103.5 44.3,-103.4 44.3,-103.4 44.2,-103.5 44.2))"
86,-104.1,44.3,"POLYGON((-104.1 44.3,-104.1 44.4,-104.0 44.4,-104.0 44.3,-104.1 44.3))"
250,-104.0,44.3,"POLYGON((-104.0 44.3,-104.0 44.4,-103.9 44.4,-103.9 44.3,-104.0 44.3))"
1403,-103.9,44.3,"POLYGON((-103.9 44.3,-103.9 44.4,-103.8 44.4,-103.8 44.3,-103.9 44.3))"
4852,-103.8,44.3,"POLYGON((-103.8 44.3,-103.8 44.4,-103.7 44.4,-103.7 44.3,-103.8 44.3))"
1177,-103.7,44.3,"POLYGON((-103.7 44.3,-103.7 44.4,-103.6 44.4,-103.6 44.3,-103.7 44.3))"
232,-103.6,44.3,"POLYGON((-103.6 44.3,-103.6 44.4,-103.5 44.4,-103.5 44.3,-103.6 44.3))"
36,-104.1,44.4,"POLYGON((-104.1 44.4,-104.1 44.5,-104.0 44.5,-104.0 44.4,-104.1 44.4))"
159,-104.0,44.4,"POLYGON((-104.0 44.4,-104.0 44.5,-103.9 44.5,-103.9 44.4,-104.0 44.4))"
4326,-103.9,44.4,"POLYGON((-103.9 44.4,-103.9 44.5,-103.8 44.5,-103.8 44.4,-103.9 44.4))"
932,-103.8,44.4,"POLYGON((-103.8 44.4,-103.8 44.5,-103.7 44.5,-103.7 44.4,-103.8 44.4))"
1516,-103.7,44.4,"POLYGON((-103.7 44.4,-103.7 44.5,-103.6 44.5,-103.6 44.4,-103.7 44.4))"
247,-103.6,44.4,"POLYGON((-103.6 44.4,-103.6 44.5,-103.5 44.5,-103.5 44.4,-103.6 44.4))"
154,-104.1,44.5,"POLYGON((-104.1 44.5,-104.1 44.6,-104.0 44.6,-104.0 44.5,-104.1 44.5))"
673,-104.0,44.5,"POLYGON((-104.0 44.5,-104.0 44.6,-103.9 44.6,-103.9 44.5,-104.0 44.5))"
2577,-103.9,44.5,"POLYGON((-103.9 44.5,-103.9 44.6,-103.8 44.6,-103.8 44.5,-103.9 44.5))"
450,-103.8,44.5,"POLYGON((-103.8 44.5,-103.8 44.6,-103.7 44.6,-103.7 44.5,-103.8 44.5))"
206,-103.7,44.5,"POLYGON((-103.7 44.5,-103.7 44.6,-103.6 44.6,-103.6 44.5,-103.7 44.5))"
70,-103.6,44.5,"POLYGON((-103.6 44.5,-103.6 44.6,-103.5 44.6,-103.5 44.5,-103.6 44.5))"
5,-103.9,44.6,"POLYGON((-103.9 44.6,-103.9 44.7,-103.8 44.7,-103.8 44.6,-103.9 44.6))"
19,-103.8,44.6,"POLYGON((-103.8 44.6,-103.8 44.7,-103.7 44.7,-103.7 44.6,-103.8 44.6))"
3,-103.7,44.6,"POLYGON((-103.7 44.6,-103.7 44.7,-103.6 44.7,-103.6 44.6,-103.7 44.6))"
