count,lon,lat,area
5,-103.1,33.8,"POLYGON((-103.1 33.8,-103.1 33.9,-103.0 33.9,-103.0 33.8,-103.1 33.8))"
18,-103.0,33.8,"POLYGON((-103.0 33.8,-103.0 33.9,-102.9 33.9,-102.9 33.8,-103.0 33.8))"
37,-102.9,33.8,"POLYGON((-102.9 33.8,-102.9 33.9,-102.8 33.9,-102.8 33.8,-102.9 33.8))"
29,-102.8,33.8,"POLYGON((-102.8 33.8,-102.8 33.9,-102.7 33.9,-102.7 33.8,-102.8 33.8))"
8,-102.7,33.8,"POLYGON((-102.7 33.8,-102.7 33.9,-102.6 33.9,-102.6 33.8,-102.7 33.8))"
9,-103.0,33.9,"POLYGON((-103.0 33.9,-103.0 34.0,-102.9 34.0,-102.9 33.9,-103.0 33.9))"
3,-102.9,33.9,"POLYGON((-102.9 33.9,-102.9 34.0,-102.8 34.0,-102.8 33.9,-102.9 33.9))"
11,-102.8,33.9,"POLYGON((-102.8 33.9,-102.8 34.0,-102.7 34.0,-102.7 33.9,-102.8 33.9))"
17,-102.7,33.9,"POLYGON((-102.7 33.9,-102.7 34.0,-102.6 34.0,-102.6 33.9,-102.7 33.9))"
9,-103.0,34.0,"POLYGON((-103.0 34.0,-103.0 34.1,-102.9 34.1,-102.9 34.0,-103.0 34.0))"
8,-102.9,34.0,"POLYGON((-102.9 34.0,-102.9 34.1,-102.8 34.1,-102.8 34.0,-102.9 34.0))"
33,-102.8,34.0,"POLYGON((-102.8 34.0,-102.8 34.1,-102.7 34.1,-102.7 34.0,-102.8 34.0))"
17,-102.7,34.0,"POLYGON((-102.7 34.0,-102.7 34.1,-102.6 34.1,-102.6 34.0,-102.7 34.0))"
2,-103.1,34.1,"POLYGON((-103.1 34.1,-103.1 34.2,-103.0 34.2,-103.0 34.1,-103.1 34.1))"
5,-103.0,34.1,"POLYGON((-103.0 34.1,-103.0 34.2,-102.9 34.2,-102.9 34.1,-103.0 34.1))"
12,-102.9,34.1,"POLYGON((-102.9 34.1,-102.9 34.2,-102.8 34.2,-102.8 34.1,-102.9 34.1))"
31,-102.8,34.1,"POLYGON((-102.8 34.1,-102.8 34.2,-102.7 34.2,-102.7 34.1,-102.8 34.1))"
22,-102.7,34.1,"POLYGON((-102.7 34.1,-102.7 34.2,-102.6 34.2,-102.6 34.1,-102.7 34.1))"
20,-103.1,34.2,"POLYGON((-103.1 34.2,-103.1 34.3,-103.0 34.3,-103.0 34.2,-103.1 34.2))"
78,-103.0,34.2,"POLYGON((-103.0 34.2,-103.0 34.3,-102.9 34.3,-102.9 34.2,-103.0 34.2))"
132,-102.9,34.2,"POLYGON((-102.9 34.2,-102.9 34.3,-102.8 34.3,-102.8 34.2,-102.9 34.2))"
2389,-102.8,34.2,"POLYGON((-102.8 34.2,-102.8 34.3,-102.7 34.3,-102.7 34.2,-102.8 34.2))"
134,-102.7,34.2,"POLYGON((-102.7 34.2,-102.7 34.3,-102.6 34.3,-102.6 34.2,-102.7 34.2))"
6,-103.1,34.3,"POLYGON((-103.1 34.3,-103.1 34.4,-103.0 34.4,-103.0 34.3,-103.1 34.3))"
5,-103.0,34.3,"POLYGON((-103.0 34.3,-103.0 34.4,-102.9 34.4,-102.9 34.3,-103.0 34.3))"
11,-102.9,34.3,"POLYGON((-102.9 34.3,-102.9 34.4,-102.8 34.4,-102.8 34.3,-102.9 34.3))"
13,-102.8,34.3,"POLYGON((-102.8 34.3,-102.8 34.4,-102.7 34.4,-102.7 34.3,-102.8 34.3))"
3,-102.7,34.3,"POLYGON((-102.7 34.3,-102.7 34.4,-102.6 34.4,-102.6 34.3,-102.7 34.3))"
