count,lon,lat,area
19,-101.7,32.5,"POLYGON((-101.7 32.5,-101.7 32.6,-101.6 32.6,-101.6 32.5,-101.7 32.5))"
28,-101.6,32.5,"POLYGON((-101.6 32.5,-101.6 32.6,-101.5 32.6,-101.5 32.5,-101.6 32.5))"
3,-101.5,32.5,"POLYGON((-101.5 32.5,-101.5 32.6,-101.4 32.6,-101.4 32.5,-101.5 32.5))"
8,-101.4,32.5,"POLYGON((-101.4 32.5,-101.4 32.6,-101.3 32.6,-101.3 32.5,-101.4 32.5))"
95,-101.3,32.5,"POLYGON((-101.3 32.5,-101.3 32.6,-101.2 32.6,-101.2 32.5,-101.3 32.5))"
13,-101.2,32.5,"POLYGON((-101.2 32.5,-101.2 32.6,-101.1 32.6,-101.1 32.5,-101.2 32.5))"
5,-101.7,32.6,"POLYGON((-101.7 32.6,-101.7 32.7,-101.6 32.7,-101.6 32.6,-101.7 32.6))"
5,-101.6,32.6,"POLYGON((-101.6 32.6,-101.6 32.7,-101.5 32.7,-101.5 32.6,-101.6 32.6))"
5,-101.5,32.6,"POLYGON((-101.5 32.6,-101.5 32.7,-101.4 32.7,-101.4 32.6,-101.5 32.6))"
6,-101.4,32.6,"POLYGON((-101.4 32.6,-101.4 32.7,-101.3 32.7,-101.3 32.6,-101.4 32.6))"
38,-101.3,32.6,"POLYGON((-101.3 32.6,-101.3 32.7,-101.2 32.7,-101.2 32.6,-101.3 32.6))"
1,-101.2,32.6,"POLYGON((-101.2 32.6,-101.2 32.7,-101.1 32.7,-101.1 32.6,-101.2 32.6))"
12,-101.7,32.7,"POLYGON((-101.7 32.7,-101.7 32.8,-101.6 32.8,-101.6 32.7,-101.7 32.7))"
10,-101.6,32.7,"POLYGON((-101.6 32.7,-101.6 32.8,-101.5 32.8,-101.5 32.7,-101.6 32.7))"
192,-101.5,32.7,"POLYGON((-101.5 32.7,-101.5 32.8,-101.4 32.8,-101.4 32.7,-101.5 32.7))"
9,-101.4,32.7,"POLYGON((-101.4 32.7,-101.4 32.8,-101.3 32.8,-101.3 32.7,-101.4 32.7))"
9,-101.3,32.7,"POLYGON((-101.3 32.7,-101.3 32.8,-101.2 32.8,-101.2 32.7,-101.3 32.7))"
36,-101.7,32.8,"POLYGON((-101.7 32.8,-101.7 32.9,-101.6 32.9,-101.6 32.8,-101.7 32.8))"
14,-101.6,32.8,"POLYGON((-101.6 32.8,-101.6 32.9,-101.5 32.9,-101.5 32.8,-101.6 32.8))"
1,-101.5,32.8,"POLYGON((-101.5 32.8,-101.5 32.9,-101.4 32.9,-101.4 32.8,-101.5 32.8))"
11,-101.4,32.8,"POLYGON((-101.4 32.8,-101.4 32.9,-101.3 32.9,-101.3 32.8,-101.4 32.8))"
19,-101.3,32.8,"POLYGON((-101.3 32.8,-101.3 32.9,-101.2 32.9,-101.2 32.8,-101.3 32.8))"
12,-101.2,32.8,"POLYGON((-101.2 32.8,-101.2 32.9,-101.1 32.9,-101.1 32.8,-101.2 32.8))"
39,-101.7,32.9,"POLYGON((-101.7 32.9,-101.7 33.0,-101.6 33.0,-101.6 32.9,-101.7 32.9))"
4,-101.6,32.9,"POLYGON((-101.6 32.9,-101.6 33.0,-101.5 33.0,-101.5 32.9,-101.6 32.9))"
7,-101.4,32.9,"POLYGON((-101.4 32.9,-101.4 33.0,-101.3 33.0,-101.3 32.9,-101.4 32.9))"
8,-101.3,32.9,"POLYGON((-101.3 32.9,-101.3 33.0,-101.2 33.0,-101.2 32.9,-101.3 32.9))"
