count,lon,lat,area
79,-98.4,30.4,"POLYGON((-98.4 30.4,-98.4 30.5,-98.3 30.5,-98.3 30.4,-98.4 30.4))"
311,-98.3,30.4,"POLYGON((-98.3 30.4,-98.3 30.5,-98.2 30.5,-98.2 30.4,-98.3 30.4))"
1230,-98.2,30.4,"POLYGON((-98.2 30.4,-98.2 30.5,-98.1 30.5,-98.1 30.4,-98.2 30.4))"
31,-98.1,30.4,"POLYGON((-98.1 30.4,-98.1 30.5,-98.0 30.5,-98.0 30.4,-98.1 30.4))"
200,-98.5,30.5,"POLYGON((-98.5 30.5,-98.5 30.6,-98.4 30.6,-98.4 30.5,-98.5 30.5))"
4030,-98.4,30.5,"POLYGON((-98.4 30.5,-98.4 30.6,-98.3 30.6,-98.3 30.5,-98.4 30.5))"
4692,-98.3,30.5,"POLYGON((-98.3 30.5,-98.3 30.6,-98.2 30.6,-98.2 30.5,-98.3 30.5))"
1050,-98.2,30.5,"POLYGON((-98.2 30.5,-98.2 30.6,-98.1 30.6,-98.1 30.5,-98.2 30.5))"
38,-98.1,30.5,"POLYGON((-98.1 30.5,-98.1 30.6,-98.0 30.6,-98.0 30.5,-98.1 30.5))"
1117,-98.5,30.6,"POLYGON((-98.5 30.6,-98.5 30.7,-98.4 30.7,-98.4 30.6,-98.5 30.6))"
1725,-98.4,30.6,"POLYGON((-98.4 30.6,-98.4 30.7,-98.3 30.7,-98.3 30.6,-98.4 30.6))"
564,-98.3,30.6,"POLYGON((-98.3 30.6,-98.3 30.7,-98.2 30.7,-98.2 30.6,-98.3 30.6))"
318,-98.2,30.6,"POLYGON((-98.2 30.6,-98.2 30.7,-98.1 30.7,-98.1 30.6,-98.2 30.6))"
574,-98.1,30.6,"POLYGON((-98.1 30.6,-98.1 30.7,-98.0 30.7,-98.0 30.6,-98.1 30.6))"
460,-98.5,30.7,"POLYGON((-98.5 30.7,-98.5 30.8,-98.4 30.8,-98.4 30.7,-98.5 30.7))"
1165,-98.4,30.7,"POLYGON((-98.4 30.7,-98.4 30.8,-98.3 30.8,-98.3 30.7,-98.4 30.7))"
3584,-98.3,30.7,"POLYGON((-98.3 30.7,-98.3 30.8,-98.2 30.8,-98.2 30.7,-98.3 30.7))"
1020,-98.2,30.7,"POLYGON((-98.2 30.7,-98.2 30.8,-98.1 30.8,-98.1 30.7,-98.2 30.7))"
1848,-98.1,30.7,"POLYGON((-98.1 30.7,-98.1 30.8,-98.0 30.8,-98.0 30.7,-98.1 30.7))"
97,-98.0,30.7,"POLYGON((-98.0 30.7,-98.0 30.8,-97.9 30.8,-97.9 30.7,-98.0 30.7))"
250,-98.5,30.8,"POLYGON((-98.5 30.8,-98.5 30.9,-98.4 30.9,-98.4 30.8,-98.5 30.8))"
1218,-98.4,30.8,"POLYGON((-98.4 30.8,-98.4 30.9,-98.3 30.9,-98.3 30.8,-98.4 30.8))"
305,-98.3,30.8,"POLYGON((-98.3 30.8,-98.3 30.9,-98.2 30.9,-98.2 30.8,-98.3 30.8))"
291,-98.2,30.8,"POLYGON((-98.2 30.8,-98.2 30.9,-98.1 30.9,-98.1 30.8,-98.2 30.8))"
182,-98.1,30.8,"POLYGON((-98.1 30.8,-98.1 30.9,-98.0 30.9,-98.0 30.8,-98.1 30.8))"
395,-98.0,30.8,"POLYGON((-98.0 30.8,-98.0 30.9,-97.9 30.9,-97.9 30.8,-98.0 30.8))"
92,-97.9,30.8,"POLYGON((-97.9 30.8,-97.9 30.9,-97.8 30.9,-97.8 30.8,-97.9 30.8))"
3,-98.5,30.9,"POLYGON((-98.5 30.9,-98.5 31.0,-98.4 31.0,-98.4 30.9,-98.5 30.9))"
86,-98.4,30.9,"POLYGON((-98.4 30.9,-98.4 31.0,-98.3 31.0,-98.3 30.9,-98.4 30.9))"
180,-98.3,30.9,"POLYGON((-98.3 30.9,-98.3 31.0,-98.2 31.0,-98.2 30.9,-98.3 30.9))"
152,-98.2,30.9,"POLYGON((-98.2 30.9,-98.2 31.0,-98.1 31.0,-98.1 30.9,-98.2 30.9))"
149,-98.1,30.9,"POLYGON((-98.1 30.9,-98.1 31.0,-98.0 31.0,-98.0 30.9,-98.1 30.9))"
263,-98.0,30.9,"POLYGON((-98.0 30.9,-98.0 31.0,-97.9 31.0,-97.9 30.9,-98.0 30.9))"
88,-97.9,30.9,"POLYGON((-97.9 30.9,-97.9 31.0,-97.8 31.0,-97.8 30.9,-97.9 30.9))"
8,-98.5,31.0,"POLYGON((-98.5 31.0,-98.5 31.1,-98.4 31.1,-98.4 31.0,-98.5 31.0))"
25,-98.4,31.0,"POLYGON((-98.4 31.0,-98.4 31.1,-98.3 31.1,-98.3 31.0,-98.4 31.0))"
100,-98.3,31.0,"POLYGON((-98.3 31.0,-98.3 31.1,-98.2 31.1,-98.2 31.0,-98.3 31.0))"
87,-98.2,31.0,"POLYGON((-98.2 31.0,-98.2 31.1,-98.1 31.1,-98.1 31.0,-98.2 31.0))"
54,-98.1,31.0,"POLYGON((-98.1 31.0,-98.1 31.1,-98.0 31.1,-98.0 31.0,-98.1 31.0))"
140,-98.0,31.0,"POLYGON((-98.0 31.0,-98.0 31.1,-97.9 31.1,-97.9 31.0,-98.0 31.0))"
13,-97.9,31.0,"POLYGON((-97.9 31.0,-97.9 31.1,-97.8 31.1,-97.8 31.0,-97.9 31.0))"
